1,佐々木　英樹,佐々木　英樹.1,2,梶山 涼斗,梶山 涼斗.1,3,麻生 慎介,麻生 慎介.1,4,吉川 勇作,吉川 勇作.1,5,井内　将太郎,井内　将太郎.1,6,松田　大志郎,松田　大志郎.1
2.0,3.0,30.2,1.0,3.0,67.5,1.0,2.0,58.7,1.0,2.0,399.3,1.0,2.0,72.8,1.0,2.0,314.3
2.0,4.0,75.3,1.0,4.0,147.8,1.0,4.0,69.8,1.0,3.0,256.3,1.0,3.0,41.7,1.0,3.0,160.3
2.0,5.0,36.7,1.0,5.0,73.0,1.0,5.0,20.6,1.0,5.0,182.1,1.0,4.0,136.5,1.0,4.0,547.3
2.0,6.0,61.0,1.0,6.0,105.5,1.0,6.0,26.5,1.0,6.0,227.4,1.0,6.0,39.9,1.0,5.0,176.0
3.0,2.0,26.1,3.0,1.0,112.1,2.0,1.0,127.0,2.0,1.0,552.5,2.0,1.0,117.4,2.0,1.0,469.2
3.0,4.0,39.8,3.0,4.0,208.5,2.0,4.0,194.1,2.0,3.0,583.3,2.0,3.0,108.7,2.0,3.0,359.4
3.0,5.0,13.1,3.0,5.0,91.0,2.0,5.0,68.1,2.0,5.0,323.6,2.0,4.0,277.2,2.0,4.0,903.5
3.0,6.0,19.8,3.0,6.0,128.9,2.0,6.0,96.1,2.0,6.0,589.2,2.0,6.0,98.7,2.0,5.0,283.7
4.0,2.0,97.2,4.0,1.0,334.9,4.0,1.0,168.5,3.0,1.0,329.1,3.0,1.0,56.1,3.0,1.0,163.9
4.0,3.0,85.7,4.0,3.0,340.8,4.0,2.0,228.5,3.0,2.0,530.9,3.0,2.0,97.3,3.0,2.0,290.1
4.0,5.0,90.6,4.0,5.0,316.5,4.0,5.0,110.9,3.0,5.0,222.6,3.0,4.0,156.3,3.0,4.0,377.1
4.0,6.0,117.4,4.0,6.0,432.2,4.0,6.0,134.6,3.0,6.0,244.6,3.0,6.0,40.6,3.0,5.0,88.9
5.0,2.0,45.3,5.0,1.0,128.6,5.0,1.0,36.9,5.0,1.0,195.5,4.0,1.0,202.2,4.0,1.0,636.5
5.0,3.0,23.7,5.0,3.0,126.3,5.0,2.0,69.0,5.0,2.0,267.3,4.0,2.0,266.0,4.0,2.0,882.8
5.0,4.0,90.0,5.0,4.0,303.5,5.0,4.0,95.3,5.0,3.0,213.1,4.0,3.0,194.2,4.0,3.0,471.1
5.0,6.0,31.0,5.0,6.0,160.5,5.0,6.0,26.5,5.0,6.0,130.1,4.0,6.0,130.0,4.0,5.0,371.6
6.0,2.0,112.5,6.0,1.0,288.7,6.0,1.0,67.0,6.0,1.0,321.8,6.0,1.0,51.1,5.0,1.0,154.0
6.0,3.0,55.4,6.0,3.0,266.6,6.0,2.0,131.8,6.0,2.0,517.7,6.0,2.0,80.3,5.0,2.0,230.8
6.0,4.0,182.8,6.0,4.0,634.7,6.0,4.0,157.4,6.0,3.0,319.1,6.0,3.0,40.0,5.0,3.0,84.8
6.0,5.0,61.6,6.0,5.0,267.3,6.0,5.0,37.9,6.0,5.0,211.7,6.0,4.0,125.1,5.0,4.0,297.6
