1,中島 真二,中島 真二.1,2,岸本 隆,岸本 隆.1,3,水野 望美,水野 望美.1,4,関 裕也,関 裕也.1,5,荻野 裕介,荻野 裕介.1,6,安東 幸治,安東 幸治.1
2.0,3.0,9.9,1.0,3.0,41.7,1.0,2.0,121.9,1.0,2.0,74.2,1.0,2.0,290.8,1.0,2.0,129.9
2.0,4.0,11.1,1.0,4.0,39.6,1.0,4.0,144.8,1.0,3.0,179.0,1.0,3.0,351.5,1.0,3.0,248.3
2.0,5.0,16.1,1.0,5.0,39.9,1.0,5.0,154.7,1.0,5.0,75.5,1.0,4.0,346.2,1.0,4.0,171.3
2.0,6.0,12.6,1.0,6.0,45.1,1.0,6.0,144.4,1.0,6.0,76.8,1.0,6.0,225.7,1.0,5.0,147.9
3.0,2.0,17.3,3.0,1.0,128.1,2.0,1.0,192.7,2.0,1.0,101.1,2.0,1.0,470.5,2.0,1.0,212.1
3.0,4.0,22.6,3.0,4.0,226.8,2.0,4.0,347.5,2.0,3.0,258.4,2.0,3.0,742.9,2.0,3.0,484.1
3.0,5.0,31.6,3.0,5.0,180.6,2.0,5.0,223.2,2.0,5.0,127.0,2.0,4.0,749.0,2.0,4.0,327.6
3.0,6.0,23.1,3.0,6.0,203.2,2.0,6.0,278.4,2.0,6.0,129.9,2.0,6.0,414.2,2.0,5.0,280.5
4.0,2.0,19.0,4.0,1.0,111.2,4.0,1.0,250.0,3.0,1.0,337.3,3.0,1.0,728.2,3.0,1.0,505.5
4.0,3.0,33.6,4.0,3.0,239.5,4.0,2.0,409.6,3.0,2.0,392.9,3.0,2.0,731.1,3.0,2.0,580.7
4.0,5.0,32.0,4.0,5.0,173.4,4.0,5.0,285.8,3.0,5.0,274.7,3.0,4.0,755.1,3.0,4.0,617.8
4.0,6.0,26.1,4.0,6.0,164.4,4.0,6.0,265.9,3.0,6.0,319.1,3.0,6.0,628.4,3.0,5.0,511.1
5.0,2.0,52.7,5.0,1.0,183.5,5.0,1.0,417.0,5.0,1.0,153.9,4.0,1.0,536.5,4.0,1.0,229.6
5.0,3.0,72.1,5.0,3.0,299.8,5.0,2.0,490.6,5.0,2.0,210.2,4.0,2.0,822.9,4.0,2.0,337.9
5.0,4.0,78.4,5.0,4.0,324.7,5.0,4.0,521.3,5.0,3.0,304.8,4.0,3.0,725.3,4.0,3.0,561.1
5.0,6.0,52.4,5.0,6.0,199.0,5.0,6.0,348.2,5.0,6.0,124.1,4.0,6.0,386.3,4.0,5.0,250.6
6.0,2.0,27.6,6.0,1.0,156.1,6.0,1.0,344.9,6.0,1.0,123.7,6.0,1.0,387.9,5.0,1.0,283.6
6.0,3.0,44.5,6.0,3.0,307.3,6.0,2.0,465.7,6.0,2.0,175.6,6.0,2.0,440.0,5.0,2.0,344.2
6.0,4.0,44.2,6.0,4.0,261.4,6.0,4.0,423.8,6.0,3.0,333.0,6.0,3.0,569.8,5.0,3.0,466.9
6.0,5.0,40.4,6.0,5.0,186.3,6.0,5.0,338.5,6.0,5.0,119.0,6.0,4.0,436.9,5.0,4.0,343.6
