1,浜先 真範,浜先 真範.1,2,小林 遼太,小林 遼太.1,3,深川 真二,深川 真二.1,4,岡本 猛,岡本 猛.1,5,木下 大將,木下 大將.1,6,田頭 虎親,田頭 虎親.1
2.0,3.0,19.8,1.0,3.0,141.4,1.0,2.0,36.8,1.0,2.0,409.7,1.0,2.0,231.3,1.0,2.0,680.6
2.0,4.0,45.0,1.0,4.0,239.5,1.0,4.0,20.7,1.0,3.0,184.7,1.0,3.0,100.5,1.0,3.0,175.5
2.0,5.0,42.8,1.0,5.0,258.9,1.0,5.0,15.5,1.0,5.0,246.7,1.0,4.0,231.7,1.0,4.0,708.2
2.0,6.0,55.6,1.0,6.0,312.7,1.0,6.0,17.7,1.0,6.0,267.1,1.0,6.0,135.0,1.0,5.0,480.5
3.0,2.0,14.3,3.0,1.0,203.6,2.0,1.0,104.7,2.0,1.0,708.2,2.0,1.0,517.3,2.0,1.0,1436.0
3.0,4.0,11.0,3.0,4.0,359.4,2.0,4.0,168.0,2.0,3.0,744.5,2.0,3.0,555.9,2.0,3.0,1352.0
3.0,5.0,8.3,3.0,5.0,397.9,2.0,5.0,137.0,2.0,5.0,664.6,2.0,4.0,897.2,2.0,4.0,1690.0
3.0,6.0,11.7,3.0,6.0,422.2,2.0,6.0,167.8,2.0,6.0,671.4,2.0,6.0,613.9,2.0,5.0,1657.0
4.0,2.0,72.1,4.0,1.0,511.5,4.0,1.0,58.1,3.0,1.0,187.9,3.0,1.0,111.0,3.0,1.0,201.1
4.0,3.0,32.1,4.0,3.0,534.5,4.0,2.0,154.2,3.0,2.0,466.5,3.0,2.0,327.7,3.0,2.0,912.4
4.0,5.0,53.6,4.0,5.0,882.6,4.0,5.0,58.6,3.0,5.0,195.9,3.0,4.0,207.6,3.0,4.0,550.8
4.0,6.0,63.2,4.0,6.0,913.8,4.0,6.0,58.9,3.0,6.0,211.7,3.0,6.0,128.6,3.0,5.0,365.8
5.0,2.0,59.9,5.0,1.0,678.3,5.0,1.0,38.8,5.0,1.0,274.4,4.0,1.0,390.8,4.0,1.0,1141.0
5.0,3.0,24.9,5.0,3.0,747.3,5.0,2.0,122.9,5.0,2.0,469.9,4.0,2.0,688.5,4.0,2.0,1652.0
5.0,4.0,67.0,5.0,4.0,1099.0,5.0,4.0,65.2,5.0,3.0,244.3,4.0,3.0,329.7,4.0,3.0,784.8
5.0,6.0,43.9,5.0,6.0,897.2,5.0,6.0,39.2,5.0,6.0,220.9,4.0,6.0,288.9,4.0,5.0,894.5
6.0,2.0,112.8,6.0,1.0,976.8,6.0,1.0,55.3,6.0,1.0,458.6,6.0,1.0,213.4,5.0,1.0,564.9
6.0,3.0,44.3,6.0,3.0,1091.0,6.0,2.0,211.3,6.0,2.0,776.6,6.0,2.0,447.2,5.0,2.0,1097.0
6.0,4.0,120.9,6.0,4.0,1310.0,6.0,4.0,107.2,6.0,3.0,360.1,6.0,3.0,175.0,5.0,3.0,406.6
6.0,5.0,82.7,6.0,5.0,1150.0,6.0,5.0,66.5,6.0,5.0,372.0,6.0,4.0,317.9,5.0,4.0,732.6
