1,池田 雷太,池田 雷太.1,2,待鳥 雄紀,待鳥 雄紀.1,3,角浜 修,角浜 修.1,4,福島 勇樹,福島 勇樹.1,5,鈴木 智啓,鈴木 智啓.1,6,川崎 智幸,川崎 智幸.1
2.0,3.0,46.5,1.0,3.0,60.3,1.0,2.0,420.5,1.0,2.0,47.5,1.0,2.0,133.5,1.0,2.0,94.8
2.0,4.0,13.4,1.0,4.0,18.1,1.0,4.0,367.6,1.0,3.0,211.1,1.0,3.0,352.8,1.0,3.0,485.2
2.0,5.0,24.9,1.0,5.0,27.7,1.0,5.0,466.1,1.0,5.0,66.5,1.0,4.0,132.0,1.0,4.0,123.8
2.0,6.0,21.5,1.0,6.0,20.0,1.0,6.0,435.0,1.0,6.0,46.9,1.0,6.0,112.7,1.0,5.0,217.2
3.0,2.0,73.8,3.0,1.0,159.8,2.0,1.0,479.4,2.0,1.0,60.0,2.0,1.0,162.6,2.0,1.0,139.8
3.0,4.0,81.9,3.0,4.0,176.9,2.0,4.0,500.8,2.0,3.0,274.2,2.0,3.0,493.5,2.0,3.0,487.5
3.0,5.0,126.0,3.0,5.0,233.6,2.0,5.0,586.7,2.0,5.0,66.4,2.0,4.0,154.7,2.0,4.0,124.7
3.0,6.0,156.3,3.0,6.0,198.0,2.0,6.0,467.2,2.0,6.0,41.3,2.0,6.0,103.1,2.0,5.0,164.5
4.0,2.0,17.3,4.0,1.0,34.9,4.0,1.0,666.1,3.0,1.0,536.8,3.0,1.0,844.5,3.0,1.0,1056.0
4.0,3.0,64.8,4.0,3.0,155.9,4.0,2.0,536.8,3.0,2.0,636.7,3.0,2.0,862.5,3.0,2.0,820.5
4.0,5.0,28.4,4.0,5.0,43.4,4.0,5.0,568.5,3.0,5.0,602.5,3.0,4.0,739.3,3.0,4.0,961.1
4.0,6.0,23.8,4.0,6.0,28.2,4.0,6.0,451.5,3.0,6.0,391.9,3.0,6.0,514.9,3.0,5.0,773.3
5.0,2.0,49.1,5.0,1.0,72.2,5.0,1.0,761.6,5.0,1.0,90.5,4.0,1.0,158.3,4.0,1.0,212.9
5.0,3.0,173.5,5.0,3.0,254.5,5.0,2.0,810.6,5.0,2.0,87.9,4.0,2.0,150.5,4.0,2.0,132.2
5.0,4.0,64.1,5.0,4.0,73.6,5.0,4.0,794.6,5.0,3.0,295.0,4.0,3.0,374.4,4.0,3.0,566.9
5.0,6.0,67.9,5.0,6.0,54.6,5.0,6.0,644.8,5.0,6.0,54.1,4.0,6.0,95.6,4.0,5.0,162.9
6.0,2.0,42.6,6.0,1.0,46.0,6.0,1.0,925.9,6.0,1.0,95.5,6.0,1.0,137.9,5.0,1.0,280.3
6.0,3.0,188.8,6.0,3.0,174.1,6.0,2.0,646.9,6.0,2.0,56.5,6.0,2.0,115.0,5.0,2.0,206.1
6.0,4.0,52.7,6.0,4.0,44.6,6.0,4.0,755.9,6.0,3.0,311.9,6.0,3.0,246.1,5.0,3.0,516.2
6.0,5.0,90.5,6.0,5.0,57.1,6.0,5.0,703.2,6.0,5.0,71.7,6.0,4.0,98.0,5.0,4.0,184.3
