1,山本 修一,山本 修一.1,2,伊藤 啓三,伊藤 啓三.1,3,山下 流心,山下 流心.1,4,佐々木　翔斗,佐々木　翔斗.1,5,岡 暢祐,岡 暢祐.1,6,小林 京平,小林 京平.1
2.0,3.0,6.9,1.0,3.0,22.5,1.0,2.0,87.1,1.0,2.0,29.4,1.0,2.0,630.9,1.0,2.0,1059.0
2.0,4.0,4.3,1.0,4.0,19.7,1.0,4.0,79.1,1.0,3.0,55.6,1.0,3.0,1055.0,1.0,3.0,1035.0
2.0,5.0,44.1,1.0,5.0,129.4,1.0,5.0,275.2,1.0,5.0,76.6,1.0,4.0,632.3,1.0,4.0,1334.0
2.0,6.0,62.1,1.0,6.0,179.9,1.0,6.0,328.9,1.0,6.0,149.7,1.0,6.0,1523.0,1.0,5.0,2111.0
3.0,2.0,13.2,3.0,1.0,110.7,2.0,1.0,154.8,2.0,1.0,49.9,2.0,1.0,1150.0,2.0,1.0,1523.0
3.0,4.0,11.7,3.0,4.0,155.0,2.0,4.0,188.5,2.0,3.0,117.4,2.0,3.0,2094.0,2.0,3.0,2946.0
3.0,5.0,55.8,3.0,5.0,613.5,2.0,5.0,675.4,2.0,5.0,165.5,2.0,4.0,1347.0,2.0,4.0,2437.0
3.0,6.0,94.0,3.0,6.0,840.5,2.0,6.0,853.9,2.0,6.0,311.7,2.0,6.0,2482.0,2.0,5.0,3528.0
4.0,2.0,6.4,4.0,1.0,48.7,4.0,1.0,132.5,3.0,1.0,146.1,3.0,1.0,1549.0,3.0,1.0,1389.0
4.0,3.0,11.0,4.0,3.0,125.4,4.0,2.0,202.8,3.0,2.0,226.4,3.0,2.0,2654.0,3.0,2.0,3012.0
4.0,5.0,35.6,4.0,5.0,243.5,4.0,5.0,429.7,3.0,5.0,440.2,3.0,4.0,1824.0,3.0,4.0,3394.0
4.0,6.0,59.5,4.0,6.0,409.3,4.0,6.0,726.6,3.0,6.0,658.8,3.0,6.0,3082.0,3.0,5.0,4189.0
5.0,2.0,161.0,5.0,1.0,571.7,5.0,1.0,751.0,5.0,1.0,174.6,4.0,1.0,810.0,4.0,1.0,1697.0
5.0,3.0,184.5,5.0,3.0,1051.0,5.0,2.0,1103.0,5.0,2.0,266.0,4.0,2.0,1027.0,4.0,2.0,2094.0
5.0,4.0,160.0,5.0,4.0,703.7,5.0,4.0,893.7,5.0,3.0,377.1,4.0,3.0,1697.0,4.0,3.0,2946.0
5.0,6.0,389.1,5.0,6.0,1729.0,5.0,6.0,1241.0,5.0,6.0,336.8,4.0,6.0,1506.0,4.0,5.0,2311.0
6.0,2.0,275.2,6.0,1.0,755.3,6.0,1.0,825.0,6.0,1.0,372.9,6.0,1.0,2162.0,5.0,1.0,2764.0
6.0,3.0,273.0,6.0,3.0,1411.0,6.0,2.0,1824.0,6.0,2.0,603.9,6.0,2.0,3482.0,5.0,2.0,3830.0
6.0,4.0,301.6,6.0,4.0,1112.0,6.0,4.0,2016.0,6.0,3.0,748.9,6.0,3.0,3082.0,5.0,3.0,4468.0
6.0,5.0,469.5,6.0,5.0,2394.0,6.0,5.0,2914.0,6.0,5.0,542.7,6.0,4.0,1634.0,5.0,4.0,2736.0
