1,立間 充宏,立間 充宏.1,2,田中 堅,田中 堅.1,3,海老澤　泰行,海老澤　泰行.1,4,坂東 満,坂東 満.1,5,奥田 誠,奥田 誠.1,6,中嶋 達也,中嶋 達也.1
2.0,3.0,7.4,1.0,3.0,56.5,1.0,2.0,88.2,1.0,2.0,160.5,1.0,2.0,275.3,1.0,2.0,918.6
2.0,4.0,7.4,1.0,4.0,70.7,1.0,4.0,86.5,1.0,3.0,198.0,1.0,3.0,391.1,1.0,3.0,808.8
2.0,5.0,10.8,1.0,5.0,73.3,1.0,5.0,89.7,1.0,5.0,148.9,1.0,4.0,373.6,1.0,4.0,1010.0
2.0,6.0,28.3,1.0,6.0,165.0,1.0,6.0,176.0,1.0,6.0,207.8,1.0,6.0,474.4,1.0,5.0,1172.0
3.0,2.0,10.3,3.0,1.0,181.6,2.0,1.0,201.5,2.0,1.0,378.1,2.0,1.0,596.0,2.0,1.0,1531.0
3.0,4.0,10.2,3.0,4.0,430.8,2.0,4.0,465.3,2.0,3.0,820.0,2.0,3.0,1157.0,2.0,3.0,2164.0
3.0,5.0,15.2,3.0,5.0,446.2,2.0,5.0,405.0,2.0,5.0,619.5,2.0,4.0,1258.0,2.0,4.0,2147.0
3.0,6.0,31.7,3.0,6.0,688.9,2.0,6.0,634.9,2.0,6.0,785.0,2.0,6.0,1456.0,2.0,5.0,2953.0
4.0,2.0,12.3,4.0,1.0,289.3,4.0,1.0,230.6,3.0,1.0,369.2,3.0,1.0,588.1,3.0,1.0,1665.0
4.0,3.0,17.6,4.0,3.0,685.4,4.0,2.0,481.6,3.0,2.0,921.8,3.0,2.0,1137.0,3.0,2.0,2620.0
4.0,5.0,14.4,4.0,5.0,629.7,4.0,5.0,359.7,3.0,5.0,780.5,3.0,4.0,1523.0,3.0,4.0,3163.0
4.0,6.0,25.8,4.0,6.0,688.0,4.0,6.0,540.0,3.0,6.0,818.7,3.0,6.0,1686.0,3.0,5.0,3427.0
5.0,2.0,23.6,5.0,1.0,393.7,5.0,1.0,291.8,5.0,1.0,267.8,4.0,1.0,566.3,4.0,1.0,1489.0
5.0,3.0,35.0,5.0,3.0,697.0,5.0,2.0,628.2,5.0,2.0,497.3,4.0,2.0,1095.0,4.0,2.0,2265.0
5.0,4.0,30.5,5.0,4.0,820.0,5.0,4.0,499.2,5.0,3.0,659.2,4.0,3.0,1320.0,4.0,3.0,2770.0
5.0,6.0,51.0,5.0,6.0,1052.0,5.0,6.0,765.9,5.0,6.0,415.7,4.0,6.0,946.2,4.0,5.0,2064.0
6.0,2.0,96.3,6.0,1.0,765.9,6.0,1.0,749.8,6.0,1.0,509.1,6.0,1.0,1104.0,5.0,1.0,1776.0
6.0,3.0,132.0,6.0,3.0,1800.0,6.0,2.0,1381.0,6.0,2.0,929.8,6.0,2.0,1944.0,5.0,2.0,3090.0
6.0,4.0,107.6,6.0,4.0,1708.0,6.0,4.0,1381.0,6.0,3.0,1172.0,6.0,3.0,2209.0,5.0,3.0,2953.0
6.0,5.0,115.5,6.0,5.0,1843.0,6.0,5.0,1196.0,6.0,5.0,724.4,6.0,4.0,1856.0,5.0,4.0,2072.0
