1,永嶋 裕一,永嶋 裕一.1,2,竹田 吉行,竹田 吉行.1,3,山本　景士郎,山本　景士郎.1,4,樫葉 次郎,樫葉 次郎.1,5,藤丸 光一,藤丸 光一.1,6,柳生 泰二,柳生 泰二.1
2.0,3.0,18.3,1.0,3.0,51.6,1.0,2.0,40.6,1.0,2.0,277.3,1.0,2.0,108.2,1.0,2.0,76.1
2.0,4.0,116.6,1.0,4.0,258.5,1.0,4.0,86.3,1.0,3.0,413.5,1.0,3.0,99.1,1.0,3.0,52.6
2.0,5.0,26.1,1.0,5.0,59.0,1.0,5.0,46.7,1.0,5.0,918.3,1.0,4.0,324.3,1.0,4.0,271.4
2.0,6.0,19.3,1.0,6.0,41.4,1.0,6.0,19.8,1.0,6.0,469.8,1.0,6.0,83.0,1.0,5.0,86.2
3.0,2.0,19.5,3.0,1.0,122.8,2.0,1.0,86.9,2.0,1.0,936.6,2.0,1.0,209.8,2.0,1.0,142.8
3.0,4.0,84.9,3.0,4.0,378.1,2.0,4.0,249.8,2.0,3.0,836.8,2.0,3.0,251.6,2.0,3.0,161.8
3.0,5.0,26.4,3.0,5.0,180.8,2.0,5.0,159.8,2.0,5.0,1096.0,2.0,4.0,729.0,2.0,4.0,531.7
3.0,6.0,13.0,3.0,6.0,79.2,2.0,6.0,55.7,2.0,6.0,612.2,2.0,6.0,174.3,2.0,5.0,221.3
4.0,2.0,257.6,4.0,1.0,596.7,4.0,1.0,126.8,3.0,1.0,431.1,3.0,1.0,156.2,3.0,1.0,53.1
4.0,3.0,199.7,4.0,3.0,790.1,4.0,2.0,202.3,3.0,2.0,601.8,3.0,2.0,232.2,3.0,2.0,89.4
4.0,5.0,265.8,4.0,5.0,772.8,4.0,5.0,197.5,3.0,5.0,744.3,3.0,4.0,432.5,3.0,4.0,127.8
4.0,6.0,150.7,4.0,6.0,225.5,4.0,6.0,62.6,3.0,6.0,266.3,3.0,6.0,123.4,3.0,5.0,93.5
5.0,2.0,32.1,5.0,1.0,157.8,5.0,1.0,78.6,5.0,1.0,1122.0,4.0,1.0,625.8,4.0,1.0,466.7
5.0,3.0,35.8,5.0,3.0,222.3,5.0,2.0,104.4,5.0,2.0,1188.0,4.0,2.0,777.1,4.0,2.0,696.7
5.0,4.0,189.3,5.0,4.0,648.7,5.0,4.0,245.9,5.0,3.0,1096.0,4.0,3.0,609.6,4.0,3.0,275.1
5.0,6.0,34.0,5.0,6.0,116.6,5.0,6.0,62.4,5.0,6.0,846.9,4.0,6.0,535.7,4.0,5.0,589.3
6.0,2.0,30.7,6.0,1.0,103.8,6.0,1.0,21.4,6.0,1.0,499.7,6.0,1.0,163.3,5.0,1.0,140.0
6.0,3.0,21.5,6.0,3.0,108.0,6.0,2.0,34.8,6.0,2.0,535.7,6.0,2.0,190.0,5.0,2.0,245.1
6.0,4.0,125.2,6.0,4.0,222.3,6.0,4.0,45.4,6.0,3.0,350.0,6.0,3.0,161.0,5.0,3.0,172.6
6.0,5.0,37.8,6.0,5.0,136.1,6.0,5.0,39.1,6.0,5.0,808.1,6.0,4.0,459.1,5.0,4.0,419.6
