1,柴田 光,柴田 光.1,2,乙藤 智史,乙藤 智史.1,3,田中 勇輔,田中 勇輔.1,4,佐藤 大佑,佐藤 大佑.1,5,川崎 智稔,川崎 智稔.1,6,八戸 琉楓,八戸 琉楓.1
2.0,3.0,8.3,1.0,3.0,46.5,1.0,2.0,43.4,1.0,2.0,37.3,1.0,2.0,137.7,1.0,2.0,3772.0
2.0,4.0,5.0,1.0,4.0,40.3,1.0,4.0,47.8,1.0,3.0,72.0,1.0,3.0,219.9,1.0,3.0,5137.0
2.0,5.0,14.2,1.0,5.0,54.6,1.0,5.0,56.7,1.0,5.0,38.7,1.0,4.0,132.8,1.0,4.0,5030.0
2.0,6.0,284.7,1.0,6.0,810.2,1.0,6.0,566.8,1.0,6.0,450.4,1.0,6.0,850.2,1.0,5.0,2981.0
3.0,2.0,13.8,3.0,1.0,148.6,2.0,1.0,87.0,2.0,1.0,75.0,2.0,1.0,218.1,2.0,1.0,4092.0
3.0,4.0,16.9,3.0,4.0,278.8,2.0,4.0,134.5,2.0,3.0,183.0,2.0,3.0,570.8,2.0,3.0,5137.0
3.0,5.0,22.6,3.0,5.0,341.0,2.0,5.0,150.6,2.0,5.0,106.9,2.0,4.0,337.2,2.0,4.0,4927.0
3.0,6.0,273.7,3.0,6.0,2390.0,2.0,6.0,1312.0,2.0,6.0,1189.0,2.0,6.0,1995.0,2.0,5.0,4163.0
4.0,2.0,10.7,4.0,1.0,100.4,4.0,1.0,68.5,3.0,1.0,115.8,3.0,1.0,320.6,3.0,1.0,6354.0
4.0,3.0,22.0,4.0,3.0,271.0,4.0,2.0,100.8,3.0,2.0,186.7,3.0,2.0,458.1,3.0,2.0,4829.0
4.0,5.0,20.5,4.0,5.0,236.4,4.0,5.0,79.9,3.0,5.0,126.0,3.0,4.0,406.5,3.0,4.0,4927.0
4.0,6.0,312.3,4.0,6.0,1788.0,4.0,6.0,802.2,3.0,6.0,1195.0,3.0,6.0,1631.0,3.0,5.0,5249.0
5.0,2.0,31.0,5.0,1.0,214.4,5.0,1.0,119.0,5.0,1.0,52.2,4.0,1.0,126.8,4.0,1.0,5030.0
5.0,3.0,42.4,5.0,3.0,432.7,5.0,2.0,165.9,5.0,2.0,76.9,4.0,2.0,191.3,4.0,2.0,5749.0
5.0,4.0,41.9,5.0,4.0,336.7,5.0,4.0,130.0,5.0,3.0,148.8,4.0,3.0,333.5,4.0,3.0,5615.0
5.0,6.0,474.3,5.0,6.0,2136.0,5.0,6.0,887.7,5.0,6.0,394.5,4.0,6.0,789.0,4.0,5.0,6354.0
6.0,2.0,821.3,6.0,1.0,2840.0,6.0,1.0,2155.0,6.0,1.0,1737.0,6.0,1.0,2118.0,5.0,1.0,4163.0
6.0,3.0,1319.0,6.0,3.0,4643.0,6.0,2.0,2367.0,6.0,2.0,1653.0,6.0,2.0,3056.0,5.0,2.0,6036.0
6.0,4.0,768.9,6.0,4.0,3219.0,6.0,4.0,2195.0,6.0,3.0,2775.0,6.0,3.0,3400.0,5.0,3.0,5487.0
6.0,5.0,921.6,6.0,5.0,4024.0,6.0,5.0,2099.0,6.0,5.0,1547.0,6.0,4.0,3056.0,5.0,4.0,6354.0
