1,黒柳 浩孝,黒柳 浩孝.1,2,明石 正之,明石 正之.1,3,岡部 大輝,岡部 大輝.1,4,久田 敏之,久田 敏之.1,5,林 恵祐,林 恵祐.1,6,尾嶋 一広,尾嶋 一広.1
2.0,3.0,12.3,1.0,3.0,81.5,1.0,2.0,65.5,1.0,2.0,42.6,1.0,2.0,659.8,1.0,2.0,279.2
2.0,4.0,10.5,1.0,4.0,63.8,1.0,4.0,39.2,1.0,3.0,59.0,1.0,3.0,773.0,1.0,3.0,341.8
2.0,5.0,48.9,1.0,5.0,219.6,1.0,5.0,177.2,1.0,5.0,121.3,1.0,4.0,553.2,1.0,4.0,187.9
2.0,6.0,21.2,1.0,6.0,100.2,1.0,6.0,56.0,1.0,6.0,34.2,1.0,6.0,598.0,1.0,5.0,613.0
3.0,2.0,14.1,3.0,1.0,198.0,2.0,1.0,168.5,2.0,1.0,104.6,2.0,1.0,1106.0,2.0,1.0,417.5
3.0,4.0,9.2,3.0,4.0,269.3,2.0,4.0,196.7,2.0,3.0,201.7,2.0,3.0,1665.0,2.0,3.0,874.4
3.0,5.0,51.2,3.0,5.0,765.3,2.0,5.0,686.4,2.0,5.0,326.9,2.0,4.0,1356.0,2.0,4.0,473.7
3.0,6.0,14.9,3.0,6.0,390.4,2.0,6.0,285.6,2.0,6.0,118.8,2.0,6.0,1439.0,2.0,5.0,1359.0
4.0,2.0,13.7,4.0,1.0,126.3,4.0,1.0,75.3,3.0,1.0,107.9,3.0,1.0,1240.0,3.0,1.0,541.5
4.0,3.0,13.0,4.0,3.0,262.4,4.0,2.0,138.0,3.0,2.0,176.6,3.0,2.0,1863.0,3.0,2.0,959.3
4.0,5.0,57.6,4.0,5.0,487.6,4.0,5.0,306.2,3.0,5.0,343.8,3.0,4.0,1197.0,3.0,4.0,486.5
4.0,6.0,12.9,4.0,6.0,192.9,4.0,6.0,91.6,3.0,6.0,113.3,3.0,6.0,1402.0,3.0,5.0,1707.0
5.0,2.0,122.6,5.0,1.0,687.2,5.0,1.0,622.3,5.0,1.0,203.1,4.0,1.0,696.6,4.0,1.0,207.7
5.0,3.0,135.3,5.0,3.0,1240.0,5.0,2.0,1028.0,5.0,2.0,304.3,4.0,2.0,1102.0,4.0,2.0,379.8
5.0,4.0,138.9,5.0,4.0,894.9,5.0,4.0,628.7,5.0,3.0,389.9,4.0,3.0,1104.0,4.0,3.0,410.0
5.0,6.0,140.8,5.0,6.0,934.4,5.0,6.0,643.2,5.0,6.0,151.6,4.0,6.0,583.8,4.0,5.0,508.7
6.0,2.0,49.1,6.0,1.0,309.7,6.0,1.0,188.3,6.0,1.0,54.0,6.0,1.0,943.1,5.0,1.0,957.8
6.0,3.0,44.5,6.0,3.0,616.7,6.0,2.0,390.9,6.0,2.0,96.6,6.0,2.0,1324.0,5.0,2.0,1445.0
6.0,4.0,39.5,6.0,4.0,340.7,6.0,4.0,190.6,6.0,3.0,130.9,6.0,3.0,1584.0,5.0,3.0,1559.0
6.0,5.0,141.2,6.0,5.0,880.7,6.0,5.0,657.0,6.0,5.0,138.2,6.0,4.0,697.4,5.0,4.0,744.8
