1,坂井 滉哉,坂井 滉哉.1,2,木村 光宏,木村 光宏.1,3,品田 直樹,品田 直樹.1,4,竹田 吉行,竹田 吉行.1,5,渡邊　伸太郎,渡邊　伸太郎.1,6,重野 哲之,重野 哲之.1
2.0,3.0,17.7,1.0,3.0,65.6,1.0,2.0,116.2,1.0,2.0,146.4,1.0,2.0,506.2,1.0,2.0,50.4
2.0,4.0,17.7,1.0,4.0,47.2,1.0,4.0,95.9,1.0,3.0,158.1,1.0,3.0,739.3,1.0,3.0,64.5
2.0,5.0,53.5,1.0,5.0,127.0,1.0,5.0,156.0,1.0,5.0,202.9,1.0,4.0,670.1,1.0,4.0,67.7
2.0,6.0,18.5,1.0,6.0,47.5,1.0,6.0,74.8,1.0,6.0,95.3,1.0,6.0,447.8,1.0,5.0,162.0
3.0,2.0,21.2,3.0,1.0,120.3,2.0,1.0,192.0,2.0,1.0,175.7,2.0,1.0,656.0,2.0,1.0,79.6
3.0,4.0,15.0,3.0,4.0,90.9,2.0,4.0,142.4,2.0,3.0,196.5,2.0,3.0,817.1,2.0,3.0,112.2
3.0,5.0,46.4,3.0,5.0,168.4,2.0,5.0,224.4,2.0,5.0,222.3,2.0,4.0,651.4,2.0,4.0,88.4
3.0,6.0,19.4,3.0,6.0,75.0,2.0,6.0,103.5,2.0,6.0,101.9,2.0,6.0,487.7,2.0,5.0,175.4
4.0,2.0,24.9,4.0,1.0,96.6,4.0,1.0,149.2,3.0,1.0,212.1,3.0,1.0,1209.0,3.0,1.0,124.0
4.0,3.0,18.9,4.0,3.0,103.0,4.0,2.0,167.5,3.0,2.0,287.5,3.0,2.0,1164.0,3.0,2.0,128.1
4.0,5.0,72.2,4.0,5.0,151.7,4.0,5.0,194.0,3.0,5.0,266.1,3.0,4.0,1070.0,3.0,4.0,140.2
4.0,6.0,21.3,4.0,6.0,63.8,4.0,6.0,105.6,3.0,6.0,142.8,3.0,6.0,660.6,3.0,5.0,308.4
5.0,2.0,140.5,5.0,1.0,297.6,5.0,1.0,338.7,5.0,1.0,290.1,4.0,1.0,597.1,4.0,1.0,118.6
5.0,3.0,129.7,5.0,3.0,284.8,5.0,2.0,321.2,5.0,2.0,271.5,4.0,2.0,751.2,4.0,2.0,96.6
5.0,4.0,135.5,5.0,4.0,237.0,5.0,4.0,405.0,5.0,3.0,369.6,4.0,3.0,895.7,4.0,3.0,154.9
5.0,6.0,109.8,5.0,6.0,184.0,5.0,6.0,196.9,5.0,6.0,109.9,4.0,6.0,301.4,4.0,5.0,181.9
6.0,2.0,29.3,6.0,1.0,90.4,6.0,1.0,112.2,6.0,1.0,101.5,6.0,1.0,582.2,5.0,1.0,272.3
6.0,3.0,35.0,6.0,3.0,103.0,6.0,2.0,142.0,6.0,2.0,100.7,6.0,2.0,461.1,5.0,2.0,263.1
6.0,4.0,30.1,6.0,4.0,76.4,6.0,4.0,118.8,6.0,3.0,124.3,6.0,3.0,690.0,5.0,3.0,362.4
6.0,5.0,75.0,6.0,5.0,144.4,6.0,5.0,196.9,6.0,5.0,99.5,6.0,4.0,384.9,5.0,4.0,215.6
