1,上田 健太,上田 健太.1,2,後藤 陽介,後藤 陽介.1,3,木山 和幸,木山 和幸.1,4,鈴木 智啓,鈴木 智啓.1,5,谷川 将太,谷川 将太.1,6,梅原 祥平,梅原 祥平.1
2.0,3.0,14.2,1.0,3.0,101.6,1.0,2.0,100.2,1.0,2.0,111.8,1.0,2.0,361.7,1.0,2.0,75.1
2.0,4.0,17.8,1.0,4.0,121.5,1.0,4.0,53.3,1.0,3.0,94.6,1.0,3.0,326.5,1.0,3.0,42.4
2.0,5.0,39.8,1.0,5.0,190.4,1.0,5.0,76.9,1.0,5.0,133.2,1.0,4.0,457.7,1.0,4.0,64.2
2.0,6.0,23.1,1.0,6.0,141.2,1.0,6.0,67.4,1.0,6.0,101.6,1.0,6.0,478.2,1.0,5.0,112.4
3.0,2.0,13.6,3.0,1.0,226.3,2.0,1.0,201.2,2.0,1.0,274.5,2.0,1.0,686.2,2.0,1.0,182.8
3.0,4.0,10.9,3.0,4.0,346.0,2.0,4.0,253.5,2.0,3.0,508.6,2.0,3.0,1105.0,2.0,3.0,234.2
3.0,5.0,22.5,3.0,5.0,580.0,2.0,5.0,418.1,2.0,5.0,525.9,2.0,4.0,1120.0,2.0,4.0,299.9
3.0,6.0,15.2,3.0,6.0,397.7,2.0,6.0,337.0,2.0,6.0,518.5,2.0,6.0,1255.0,2.0,5.0,459.4
4.0,2.0,23.5,4.0,1.0,273.3,4.0,1.0,97.6,3.0,1.0,187.0,3.0,1.0,524.2,3.0,1.0,56.4
4.0,3.0,19.9,4.0,3.0,437.2,4.0,2.0,210.1,3.0,2.0,409.9,3.0,2.0,1128.0,3.0,2.0,130.0
4.0,5.0,39.1,4.0,5.0,584.9,4.0,5.0,138.0,3.0,5.0,278.7,3.0,4.0,704.3,3.0,4.0,78.6
4.0,6.0,25.2,4.0,6.0,516.3,4.0,6.0,164.8,3.0,6.0,271.7,3.0,6.0,758.9,3.0,5.0,127.2
5.0,2.0,74.2,5.0,1.0,495.0,5.0,1.0,199.3,5.0,1.0,208.1,4.0,1.0,495.5,4.0,1.0,120.4
5.0,3.0,63.7,5.0,3.0,969.0,5.0,2.0,497.5,5.0,2.0,356.8,4.0,2.0,680.3,4.0,2.0,257.0
5.0,4.0,77.2,5.0,4.0,821.3,5.0,4.0,235.0,5.0,3.0,316.4,4.0,3.0,536.5,4.0,3.0,139.9
5.0,6.0,89.2,5.0,6.0,1115.0,5.0,6.0,342.6,5.0,6.0,391.2,4.0,6.0,703.3,4.0,5.0,215.0
6.0,2.0,25.6,6.0,1.0,266.9,6.0,1.0,87.9,6.0,1.0,194.5,6.0,1.0,715.9,5.0,1.0,303.3
6.0,3.0,15.3,6.0,3.0,398.3,6.0,2.0,223.6,6.0,2.0,450.3,6.0,2.0,1095.0,5.0,2.0,590.0
6.0,4.0,22.0,6.0,4.0,499.6,6.0,4.0,137.9,6.0,3.0,281.6,6.0,3.0,760.1,5.0,3.0,349.8
6.0,5.0,49.7,6.0,5.0,808.8,6.0,5.0,200.0,6.0,5.0,417.1,6.0,4.0,906.7,5.0,4.0,371.8
