1,植木 美帆,植木 美帆.1,2,松本 怜,松本 怜.1,3,中北 涼,中北 涼.1,4,間庭 菜摘,間庭 菜摘.1,5,仁科　さやか,仁科　さやか.1,6,田中 博子,田中 博子.1
2.0,3.0,22.7,1.0,3.0,45.0,1.0,2.0,68.2,1.0,2.0,20.8,1.0,2.0,315.8,1.0,2.0,1357.0
2.0,4.0,12.6,1.0,4.0,26.6,1.0,4.0,39.7,1.0,3.0,24.7,1.0,3.0,408.9,1.0,3.0,1154.0
2.0,5.0,53.5,1.0,5.0,90.6,1.0,5.0,109.1,1.0,5.0,38.5,1.0,4.0,275.4,1.0,4.0,1226.0
2.0,6.0,168.2,1.0,6.0,342.2,1.0,6.0,245.1,1.0,6.0,115.1,1.0,6.0,894.1,1.0,5.0,1909.0
3.0,2.0,29.9,3.0,1.0,63.6,2.0,1.0,88.8,2.0,1.0,28.6,2.0,1.0,352.6,2.0,1.0,1511.0
3.0,4.0,18.0,3.0,4.0,34.7,2.0,4.0,50.6,2.0,3.0,30.1,2.0,3.0,425.3,2.0,3.0,1826.0
3.0,5.0,64.8,3.0,5.0,90.3,2.0,5.0,118.7,2.0,5.0,42.6,2.0,4.0,258.8,2.0,4.0,1118.0
3.0,6.0,156.7,3.0,6.0,345.9,2.0,6.0,386.5,2.0,6.0,120.8,2.0,6.0,958.2,2.0,5.0,2441.0
4.0,2.0,13.3,4.0,1.0,31.3,4.0,1.0,41.2,3.0,1.0,41.1,3.0,1.0,460.0,3.0,1.0,1322.0
4.0,3.0,16.6,4.0,3.0,29.7,4.0,2.0,45.1,3.0,2.0,40.9,3.0,2.0,521.4,3.0,2.0,1923.0
4.0,5.0,34.3,4.0,5.0,52.3,4.0,5.0,59.8,3.0,5.0,68.2,3.0,4.0,387.6,3.0,4.0,1343.0
4.0,6.0,94.6,4.0,6.0,164.5,4.0,6.0,171.8,3.0,6.0,188.9,3.0,6.0,1372.0,3.0,5.0,2395.0
5.0,2.0,105.0,5.0,1.0,179.7,5.0,1.0,213.5,5.0,1.0,54.8,4.0,1.0,256.4,4.0,1.0,1387.0
5.0,3.0,147.0,5.0,3.0,160.2,5.0,2.0,197.1,5.0,2.0,51.5,4.0,2.0,245.5,4.0,2.0,1192.0
5.0,4.0,79.8,5.0,4.0,104.2,5.0,4.0,144.1,5.0,3.0,76.1,4.0,3.0,328.5,4.0,3.0,1617.0
5.0,6.0,392.4,5.0,6.0,480.9,5.0,6.0,478.2,5.0,6.0,125.2,4.0,6.0,598.8,4.0,5.0,1692.0
6.0,2.0,425.3,6.0,1.0,688.1,6.0,1.0,622.3,6.0,1.0,251.9,6.0,1.0,1075.0,5.0,1.0,2395.0
6.0,3.0,512.9,6.0,3.0,884.7,6.0,2.0,947.5,6.0,2.0,262.3,6.0,2.0,1138.0,5.0,2.0,2418.0
6.0,4.0,379.5,6.0,4.0,518.2,6.0,4.0,503.8,6.0,3.0,403.0,6.0,3.0,1410.0,5.0,3.0,2730.0
6.0,5.0,758.0,6.0,5.0,991.9,6.0,5.0,835.3,6.0,5.0,276.6,6.0,4.0,1113.0,5.0,4.0,2081.0
