1,中辻 博訓,中辻 博訓.1,2,泉 具巳,泉 具巳.1,3,鳥飼 眞,鳥飼 眞.1,4,松井 賢治,松井 賢治.1,5,江藤 敦宏,江藤 敦宏.1,6,佃 來紀,佃 來紀.1
2.0,3.0,10.5,1.0,3.0,146.4,1.0,2.0,112.1,1.0,2.0,100.6,1.0,2.0,876.9,1.0,2.0,380.7
2.0,4.0,8.5,1.0,4.0,112.6,1.0,4.0,57.1,1.0,3.0,96.0,1.0,3.0,824.2,1.0,3.0,338.7
2.0,5.0,44.3,1.0,5.0,392.9,1.0,5.0,146.0,1.0,5.0,198.7,1.0,4.0,760.1,1.0,4.0,327.1
2.0,6.0,26.1,1.0,6.0,286.7,1.0,6.0,94.8,1.0,6.0,131.1,1.0,6.0,919.1,1.0,5.0,585.0
3.0,2.0,10.2,3.0,1.0,335.8,2.0,1.0,340.0,2.0,1.0,223.4,2.0,1.0,1454.0,2.0,1.0,810.5
3.0,4.0,5.5,3.0,4.0,508.4,2.0,4.0,377.7,2.0,3.0,552.6,2.0,3.0,1987.0,2.0,3.0,1408.0
3.0,5.0,25.6,3.0,5.0,1177.0,2.0,5.0,833.6,2.0,5.0,739.6,2.0,4.0,2196.0,2.0,4.0,1377.0
3.0,6.0,12.0,3.0,6.0,1095.0,2.0,6.0,633.9,2.0,6.0,627.6,2.0,6.0,2092.0,2.0,5.0,2132.0
4.0,2.0,10.2,4.0,1.0,229.4,4.0,1.0,142.5,3.0,1.0,214.4,3.0,1.0,1399.0,3.0,1.0,706.3
4.0,3.0,8.2,4.0,3.0,582.6,4.0,2.0,355.7,3.0,2.0,493.0,3.0,2.0,2763.0,3.0,2.0,1757.0
4.0,5.0,32.9,4.0,5.0,1063.0,4.0,5.0,438.8,3.0,5.0,859.7,3.0,4.0,2454.0,3.0,4.0,1016.0
4.0,6.0,14.5,4.0,6.0,719.0,4.0,6.0,290.1,3.0,6.0,513.2,3.0,6.0,2427.0,3.0,5.0,2153.0
5.0,2.0,111.5,5.0,1.0,963.4,5.0,1.0,446.4,5.0,1.0,418.4,4.0,1.0,1213.0,4.0,1.0,566.8
5.0,3.0,73.9,5.0,3.0,1807.0,5.0,2.0,1074.0,5.0,2.0,812.0,4.0,2.0,2646.0,4.0,2.0,1431.0
5.0,4.0,93.9,5.0,4.0,1499.0,5.0,4.0,629.4,5.0,3.0,1021.0,4.0,3.0,2387.0,4.0,3.0,1223.0
5.0,6.0,97.0,5.0,6.0,2174.0,5.0,6.0,732.2,5.0,6.0,729.7,4.0,6.0,2062.0,4.0,5.0,1885.0
6.0,2.0,61.5,6.0,1.0,818.1,6.0,1.0,343.7,6.0,1.0,329.0,6.0,1.0,1530.0,5.0,1.0,1277.0
6.0,3.0,37.8,6.0,3.0,1412.0,6.0,2.0,864.8,6.0,2.0,793.0,6.0,2.0,2695.0,5.0,2.0,2584.0
6.0,4.0,42.5,6.0,4.0,1090.0,6.0,4.0,436.2,6.0,3.0,760.1,6.0,3.0,2324.0,5.0,3.0,2230.0
6.0,5.0,112.4,6.0,5.0,2062.0,6.0,5.0,726.1,6.0,5.0,946.8,6.0,4.0,2082.0,5.0,4.0,1979.0
