1,丹下 将,丹下 将.1,2,野中 義生,野中 義生.1,3,金子 猛志,金子 猛志.1,4,西橋 奈未,西橋 奈未.1,5,長谷川 充,長谷川 充.1,6,浦野 海,浦野 海.1
2.0,3.0,26.1,1.0,3.0,297.0,1.0,2.0,281.8,1.0,2.0,55.6,1.0,2.0,166.6,1.0,2.0,792.8
2.0,4.0,12.7,1.0,4.0,169.8,1.0,4.0,140.7,1.0,3.0,69.9,1.0,3.0,164.3,1.0,3.0,998.4
2.0,5.0,21.5,1.0,5.0,252.8,1.0,5.0,174.1,1.0,5.0,23.9,1.0,4.0,65.9,1.0,4.0,460.1
2.0,6.0,56.5,1.0,6.0,552.5,1.0,6.0,366.6,1.0,6.0,47.4,1.0,6.0,149.4,1.0,5.0,712.3
3.0,2.0,27.8,3.0,1.0,561.0,2.0,1.0,526.4,2.0,1.0,174.8,2.0,1.0,476.0,2.0,1.0,1426.0
3.0,4.0,11.7,3.0,4.0,809.1,2.0,4.0,607.5,2.0,3.0,422.6,2.0,3.0,1208.0,2.0,3.0,2498.0
3.0,5.0,18.7,3.0,5.0,1138.0,2.0,5.0,959.1,2.0,5.0,216.2,2.0,4.0,551.3,2.0,4.0,1556.0
3.0,6.0,53.3,3.0,6.0,1306.0,2.0,6.0,1089.0,2.0,6.0,341.4,2.0,6.0,758.8,2.0,5.0,2048.0
4.0,2.0,11.1,4.0,1.0,352.5,4.0,1.0,222.5,3.0,1.0,200.0,3.0,1.0,361.9,3.0,1.0,1778.0
4.0,3.0,11.8,4.0,3.0,741.2,4.0,2.0,597.6,3.0,2.0,541.4,3.0,2.0,1216.0,3.0,2.0,2382.0
4.0,5.0,7.2,4.0,5.0,530.2,4.0,5.0,300.5,3.0,5.0,250.3,3.0,4.0,473.3,3.0,4.0,1784.0
4.0,6.0,20.0,4.0,6.0,789.2,4.0,6.0,542.0,3.0,6.0,405.5,3.0,6.0,981.2,3.0,5.0,2296.0
5.0,2.0,27.6,5.0,1.0,610.4,5.0,1.0,358.6,5.0,1.0,34.5,4.0,1.0,75.2,4.0,1.0,582.0
5.0,3.0,26.9,5.0,3.0,1422.0,5.0,2.0,934.6,5.0,2.0,100.1,4.0,2.0,279.4,4.0,2.0,1274.0
5.0,4.0,13.2,5.0,4.0,748.8,5.0,4.0,463.5,5.0,3.0,133.3,4.0,3.0,267.4,4.0,3.0,1480.0
5.0,6.0,39.1,5.0,6.0,1138.0,5.0,6.0,809.1,5.0,6.0,63.6,4.0,6.0,153.1,4.0,5.0,582.0
6.0,2.0,139.1,6.0,1.0,1358.0,6.0,1.0,1094.0,6.0,1.0,132.6,6.0,1.0,404.8,5.0,1.0,1028.0
6.0,3.0,155.2,6.0,3.0,1954.0,6.0,2.0,1626.0,6.0,2.0,333.2,6.0,2.0,926.2,5.0,2.0,1724.0
6.0,4.0,73.0,6.0,4.0,1463.0,6.0,4.0,1330.0,6.0,3.0,429.6,6.0,3.0,1002.0,5.0,3.0,1855.0
6.0,5.0,98.2,6.0,5.0,1766.0,6.0,5.0,1362.0,6.0,5.0,138.9,6.0,4.0,360.4,5.0,4.0,654.1
