1,安河内 将,安河内 将.1,2,岡部 大輝,岡部 大輝.1,3,横田 貴満,横田 貴満.1,4,浜野 孝志,浜野 孝志.1,5,溝口　海義也,溝口　海義也.1,6,花本 夏樹,花本 夏樹.1
2.0,3.0,6.0,1.0,3.0,75.9,1.0,2.0,72.1,1.0,2.0,268.5,1.0,2.0,144.7,1.0,2.0,1804.0
2.0,4.0,9.9,1.0,4.0,112.5,1.0,4.0,67.2,1.0,3.0,284.2,1.0,3.0,110.4,1.0,3.0,1681.0
2.0,5.0,10.3,1.0,5.0,110.2,1.0,5.0,53.1,1.0,5.0,229.3,1.0,4.0,199.2,1.0,4.0,2416.0
2.0,6.0,49.6,1.0,6.0,331.4,1.0,6.0,199.8,1.0,6.0,555.1,1.0,6.0,217.8,1.0,5.0,1582.0
3.0,2.0,7.0,3.0,1.0,243.9,2.0,1.0,219.4,2.0,1.0,533.3,2.0,1.0,391.6,2.0,1.0,2918.0
3.0,4.0,8.8,3.0,4.0,696.3,2.0,4.0,472.1,2.0,3.0,1153.0,2.0,3.0,570.9,2.0,3.0,4489.0
3.0,5.0,8.0,3.0,5.0,591.5,2.0,5.0,380.3,2.0,5.0,927.9,2.0,4.0,1013.0,2.0,4.0,3523.0
3.0,6.0,47.1,3.0,6.0,1674.0,2.0,6.0,1070.0,2.0,6.0,1710.0,2.0,6.0,1109.0,2.0,5.0,4272.0
4.0,2.0,20.4,4.0,1.0,435.8,4.0,1.0,229.9,3.0,1.0,486.7,3.0,1.0,227.4,3.0,1.0,2261.0
4.0,3.0,21.5,4.0,3.0,970.7,4.0,2.0,489.1,3.0,2.0,1136.0,3.0,2.0,535.9,3.0,2.0,4832.0
4.0,5.0,28.4,4.0,5.0,971.8,4.0,5.0,306.1,3.0,5.0,765.6,3.0,4.0,653.1,3.0,4.0,3930.0
4.0,6.0,75.5,4.0,6.0,1747.0,4.0,6.0,789.6,3.0,6.0,1671.0,3.0,6.0,896.0,3.0,5.0,3795.0
5.0,2.0,19.5,5.0,1.0,461.8,5.0,1.0,155.5,5.0,1.0,336.2,4.0,1.0,431.8,4.0,1.0,4292.0
5.0,3.0,17.7,5.0,3.0,884.3,5.0,2.0,365.5,5.0,2.0,777.7,4.0,2.0,896.0,4.0,2.0,4704.0
5.0,4.0,34.8,5.0,4.0,1291.0,5.0,4.0,357.0,5.0,3.0,694.7,4.0,3.0,783.3,4.0,3.0,5024.0
5.0,6.0,61.2,5.0,6.0,1772.0,5.0,6.0,647.4,5.0,6.0,727.2,4.0,6.0,896.0,4.0,5.0,3349.0
6.0,2.0,170.8,6.0,1.0,1546.0,6.0,1.0,922.1,6.0,1.0,1294.0,6.0,1.0,724.2,5.0,1.0,2233.0
6.0,3.0,178.8,6.0,3.0,2957.0,6.0,2.0,1772.0,6.0,2.0,2189.0,6.0,2.0,1362.0,5.0,2.0,4132.0
6.0,4.0,195.9,6.0,4.0,3008.0,6.0,4.0,1877.0,6.0,3.0,2333.0,6.0,3.0,1240.0,5.0,3.0,3715.0
6.0,5.0,175.8,6.0,5.0,2442.0,6.0,5.0,1509.0,6.0,5.0,1306.0,6.0,4.0,1252.0,5.0,4.0,2977.0
