1,永井 彪也,永井 彪也.1,2,井口 佳典,井口 佳典.1,3,宮之原　輝紀,宮之原　輝紀.1,4,前田 将太,前田 将太.1,5,古賀 繁輝,古賀 繁輝.1,6,石丸 海渡,石丸 海渡.1
2.0,3.0,15.7,1.0,3.0,56.4,1.0,2.0,61.7,1.0,2.0,61.0,1.0,2.0,371.2,1.0,2.0,359.3
2.0,4.0,11.3,1.0,4.0,40.9,1.0,4.0,38.3,1.0,3.0,67.6,1.0,3.0,376.5,1.0,3.0,385.2
2.0,5.0,44.3,1.0,5.0,123.6,1.0,5.0,89.6,1.0,5.0,75.7,1.0,4.0,325.7,1.0,4.0,268.2
2.0,6.0,27.2,1.0,6.0,80.9,1.0,6.0,58.7,1.0,6.0,49.5,1.0,6.0,374.7,1.0,5.0,717.5
3.0,2.0,17.2,3.0,1.0,132.8,2.0,1.0,134.1,2.0,1.0,115.4,2.0,1.0,649.8,2.0,1.0,524.7
3.0,4.0,12.4,3.0,4.0,97.9,2.0,4.0,97.8,2.0,3.0,155.8,2.0,3.0,776.0,2.0,3.0,672.3
3.0,5.0,39.7,3.0,5.0,256.9,2.0,5.0,230.6,2.0,5.0,185.0,2.0,4.0,677.0,2.0,4.0,488.1
3.0,6.0,23.7,3.0,6.0,146.8,2.0,6.0,133.5,2.0,6.0,113.0,2.0,6.0,755.5,2.0,5.0,1168.0
4.0,2.0,14.0,4.0,1.0,95.9,4.0,1.0,61.8,3.0,1.0,110.2,3.0,1.0,529.3,3.0,1.0,534.9
4.0,3.0,15.4,4.0,3.0,120.1,4.0,2.0,85.1,3.0,2.0,152.9,3.0,2.0,809.0,3.0,2.0,797.0
4.0,5.0,35.7,4.0,5.0,201.9,4.0,5.0,94.9,3.0,5.0,169.9,3.0,4.0,595.9,3.0,4.0,594.5
4.0,6.0,19.8,4.0,6.0,121.3,4.0,6.0,58.2,3.0,6.0,113.6,3.0,6.0,856.1,3.0,5.0,1339.0
5.0,2.0,89.1,5.0,1.0,397.7,5.0,1.0,225.9,5.0,1.0,105.8,4.0,1.0,279.1,4.0,1.0,319.4
5.0,3.0,94.2,5.0,3.0,502.5,5.0,2.0,293.0,5.0,2.0,143.0,4.0,2.0,439.1,4.0,2.0,462.5
5.0,4.0,89.0,5.0,4.0,438.5,5.0,4.0,189.4,5.0,3.0,184.8,4.0,3.0,497.6,4.0,3.0,560.8
5.0,6.0,107.0,5.0,6.0,497.8,5.0,6.0,189.6,5.0,6.0,90.9,4.0,6.0,278.1,4.0,5.0,632.0
6.0,2.0,62.7,6.0,1.0,283.1,6.0,1.0,156.8,6.0,1.0,84.7,6.0,1.0,682.2,5.0,1.0,1168.0
6.0,3.0,69.0,6.0,3.0,412.6,6.0,2.0,218.7,6.0,2.0,118.3,6.0,2.0,918.4,5.0,2.0,1444.0
6.0,4.0,54.8,6.0,4.0,275.3,6.0,4.0,137.3,6.0,3.0,147.6,6.0,3.0,1038.0,5.0,3.0,1475.0
6.0,5.0,136.3,6.0,5.0,673.2,6.0,5.0,289.9,6.0,5.0,133.8,6.0,4.0,593.7,5.0,4.0,807.6
