1,島田 賢人,島田 賢人.1,2,村上 純,村上 純.1,3,石川 諒,石川 諒.1,4,上野 秀和,上野 秀和.1,5,志道 吉和,志道 吉和.1,6,大塚 康雅,大塚 康雅.1
2.0,3.0,10.6,1.0,3.0,91.5,1.0,2.0,64.0,1.0,2.0,83.2,1.0,2.0,275.1,1.0,2.0,603.6
2.0,4.0,12.5,1.0,4.0,113.8,1.0,4.0,32.5,1.0,3.0,74.4,1.0,3.0,230.5,1.0,3.0,563.6
2.0,5.0,29.0,1.0,5.0,196.4,1.0,5.0,49.1,1.0,5.0,63.3,1.0,4.0,213.5,1.0,4.0,691.7
2.0,6.0,34.0,1.0,6.0,230.9,1.0,6.0,77.1,1.0,6.0,92.8,1.0,6.0,241.1,1.0,5.0,643.0
3.0,2.0,9.0,3.0,1.0,185.5,2.0,1.0,207.7,2.0,1.0,246.3,2.0,1.0,691.7,2.0,1.0,1162.0
3.0,4.0,6.7,3.0,4.0,559.2,2.0,4.0,396.3,2.0,3.0,608.7,2.0,3.0,1339.0,2.0,3.0,1888.0
3.0,5.0,14.5,3.0,5.0,848.3,2.0,5.0,526.9,2.0,5.0,448.8,2.0,4.0,1154.0,2.0,4.0,2193.0
3.0,6.0,22.7,3.0,6.0,923.2,2.0,6.0,648.8,2.0,6.0,519.3,2.0,6.0,1218.0,2.0,5.0,2303.0
4.0,2.0,15.3,4.0,1.0,376.7,4.0,1.0,84.3,3.0,1.0,135.9,3.0,1.0,426.3,3.0,1.0,982.8
4.0,3.0,11.2,4.0,3.0,771.4,4.0,2.0,275.0,3.0,2.0,456.9,3.0,2.0,1258.0,3.0,2.0,2437.0
4.0,5.0,19.8,4.0,5.0,936.9,4.0,5.0,165.3,3.0,5.0,287.3,3.0,4.0,787.1,3.0,4.0,1924.0
4.0,6.0,28.7,4.0,6.0,1101.0,4.0,6.0,220.2,3.0,6.0,354.1,3.0,6.0,916.4,3.0,5.0,1860.0
5.0,2.0,50.2,5.0,1.0,678.6,5.0,1.0,209.0,5.0,1.0,98.3,4.0,1.0,268.8,4.0,1.0,1170.0
5.0,3.0,39.6,5.0,3.0,1314.0,5.0,2.0,573.3,5.0,2.0,278.8,4.0,2.0,684.2,4.0,2.0,2954.0
5.0,4.0,39.7,5.0,4.0,1422.0,5.0,4.0,347.0,5.0,3.0,280.8,4.0,3.0,617.7,4.0,3.0,2403.0
5.0,6.0,64.6,5.0,6.0,1503.0,5.0,6.0,433.3,5.0,6.0,185.5,4.0,6.0,467.1,4.0,5.0,1768.0
6.0,2.0,91.7,6.0,1.0,898.4,6.0,1.0,316.8,6.0,1.0,221.5,6.0,1.0,403.0,5.0,1.0,801.0
6.0,3.0,81.1,6.0,3.0,1517.0,6.0,2.0,759.7,6.0,2.0,580.6,6.0,2.0,931.7,5.0,2.0,1594.0
6.0,4.0,84.3,6.0,4.0,1806.0,6.0,4.0,572.0,6.0,3.0,550.0,6.0,3.0,705.3,5.0,3.0,1451.0
6.0,5.0,110.8,6.0,5.0,2212.0,6.0,5.0,613.9,6.0,5.0,351.2,6.0,4.0,611.7,5.0,4.0,1472.0
