1,田添 康介,田添 康介.1,2,杉山 太陽,杉山 太陽.1,3,熊本 英一,熊本 英一.1,4,峰重 力也,峰重 力也.1,5,樫葉 次郎,樫葉 次郎.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,21.2,1.0,3.0,110.2,1.0,2.0,123.7,1.0,2.0,51.7,1.0,2.0,316.4,1.0,2.0,886.0
2.0,4.0,24.3,1.0,4.0,142.0,1.0,4.0,47.1,1.0,3.0,27.8,1.0,3.0,182.5,1.0,3.0,1076.0
2.0,5.0,39.0,1.0,5.0,198.2,1.0,5.0,65.5,1.0,5.0,21.0,1.0,4.0,122.5,1.0,4.0,816.8
2.0,6.0,153.7,1.0,6.0,629.4,1.0,6.0,366.8,1.0,6.0,81.1,1.0,6.0,485.9,1.0,5.0,1308.0
3.0,2.0,18.7,3.0,1.0,247.7,2.0,1.0,241.9,2.0,1.0,146.5,2.0,1.0,612.6,2.0,1.0,1439.0
3.0,4.0,5.8,3.0,4.0,349.0,2.0,4.0,306.3,2.0,3.0,253.1,2.0,3.0,921.4,2.0,3.0,2450.0
3.0,5.0,11.6,3.0,5.0,612.6,2.0,5.0,548.4,2.0,5.0,197.2,2.0,4.0,752.8,2.0,4.0,2258.0
3.0,6.0,94.0,3.0,6.0,1577.0,2.0,6.0,1457.0,2.0,6.0,370.3,2.0,6.0,1019.0,2.0,5.0,2809.0
4.0,2.0,18.3,4.0,1.0,267.2,4.0,1.0,78.4,3.0,1.0,65.3,3.0,1.0,279.5,3.0,1.0,1669.0
4.0,3.0,6.7,4.0,3.0,393.1,4.0,2.0,255.3,3.0,2.0,181.9,3.0,2.0,1019.0,3.0,2.0,3290.0
4.0,5.0,10.4,4.0,5.0,516.5,4.0,5.0,106.9,3.0,5.0,87.5,3.0,4.0,301.5,3.0,4.0,2879.0
4.0,6.0,67.6,4.0,6.0,1225.0,4.0,6.0,556.4,3.0,6.0,390.4,3.0,6.0,1439.0,3.0,5.0,2559.0
5.0,2.0,68.3,5.0,1.0,693.8,5.0,1.0,160.4,5.0,1.0,27.6,4.0,1.0,97.3,4.0,1.0,872.5
5.0,3.0,26.6,5.0,3.0,762.7,5.0,2.0,502.9,5.0,2.0,80.8,4.0,2.0,300.7,4.0,2.0,1719.0
5.0,4.0,31.4,5.0,4.0,822.7,5.0,4.0,178.0,5.0,3.0,59.0,4.0,3.0,193.2,4.0,3.0,1294.0
5.0,6.0,193.2,5.0,6.0,1339.0,5.0,6.0,976.1,5.0,6.0,85.7,4.0,6.0,272.9,4.0,5.0,879.2
6.0,2.0,387.8,6.0,1.0,1439.0,6.0,1.0,1151.0,6.0,1.0,215.6,6.0,1.0,866.0,5.0,1.0,1828.0
6.0,3.0,313.8,6.0,3.0,2559.0,6.0,2.0,1857.0,6.0,2.0,426.5,6.0,2.0,1599.0,5.0,2.0,2617.0
6.0,4.0,286.5,6.0,4.0,2094.0,6.0,4.0,2056.0,6.0,3.0,485.9,6.0,3.0,2132.0,5.0,3.0,3490.0
6.0,5.0,377.6,6.0,5.0,1828.0,6.0,5.0,1985.0,6.0,5.0,238.4,6.0,4.0,767.8,5.0,4.0,1599.0
