1,片岡 恵里,片岡 恵里.1,2,小野 生奈,小野 生奈.1,3,坂本 奈央,坂本 奈央.1,4,嶋田 有里,嶋田 有里.1,5,渡邉　真奈美,渡邉　真奈美.1,6,寺田 千恵,寺田 千恵.1
2.0,3.0,39.1,1.0,3.0,46.8,1.0,2.0,513.7,1.0,2.0,99.4,1.0,2.0,146.3,1.0,2.0,73.0
2.0,4.0,12.9,1.0,4.0,12.3,1.0,4.0,840.8,1.0,3.0,833.1,1.0,3.0,811.9,1.0,3.0,730.2
2.0,5.0,13.5,1.0,5.0,11.9,1.0,5.0,952.7,1.0,5.0,252.3,1.0,4.0,473.0,1.0,4.0,284.9
2.0,6.0,7.2,1.0,6.0,6.0,1.0,6.0,1114.0,1.0,6.0,132.1,1.0,6.0,193.0,1.0,5.0,304.9
3.0,2.0,137.5,3.0,1.0,191.5,2.0,1.0,545.6,2.0,1.0,91.9,2.0,1.0,148.2,2.0,1.0,67.1
3.0,4.0,337.8,3.0,4.0,333.3,2.0,4.0,1026.0,2.0,3.0,726.3,2.0,3.0,824.2,2.0,3.0,546.2
3.0,5.0,301.2,3.0,5.0,321.3,2.0,5.0,1150.0,2.0,5.0,204.4,2.0,4.0,414.0,2.0,4.0,164.5
3.0,6.0,280.5,3.0,6.0,231.3,2.0,6.0,1085.0,2.0,6.0,87.0,2.0,6.0,143.8,2.0,5.0,174.7
4.0,2.0,41.4,4.0,1.0,35.5,4.0,1.0,1528.0,3.0,1.0,1721.0,3.0,1.0,1458.0,3.0,1.0,1502.0
4.0,3.0,337.6,4.0,3.0,256.1,4.0,2.0,1394.0,3.0,2.0,1346.0,3.0,2.0,1420.0,3.0,2.0,1169.0
4.0,5.0,118.5,4.0,5.0,81.0,4.0,5.0,2211.0,3.0,5.0,2084.0,3.0,4.0,2220.0,3.0,4.0,1700.0
4.0,6.0,65.1,4.0,6.0,32.7,4.0,6.0,2184.0,3.0,6.0,1663.0,3.0,6.0,2176.0,3.0,5.0,2000.0
5.0,2.0,51.0,5.0,1.0,42.3,5.0,1.0,1424.0,5.0,1.0,334.9,4.0,1.0,664.2,4.0,1.0,443.0
5.0,3.0,336.2,5.0,3.0,282.4,5.0,2.0,1119.0,5.0,2.0,273.3,4.0,2.0,460.2,4.0,2.0,258.5
5.0,4.0,171.9,5.0,4.0,107.4,5.0,4.0,1875.0,5.0,3.0,1280.0,4.0,3.0,1956.0,4.0,3.0,1554.0
5.0,6.0,88.2,5.0,6.0,44.0,5.0,6.0,2295.0,5.0,6.0,247.5,4.0,6.0,461.4,4.0,5.0,818.0
6.0,2.0,28.6,6.0,1.0,16.4,6.0,1.0,1760.0,6.0,1.0,161.4,6.0,1.0,228.0,5.0,1.0,391.9
6.0,3.0,274.3,6.0,3.0,158.0,6.0,2.0,1502.0,6.0,2.0,116.7,6.0,2.0,179.9,5.0,2.0,274.2
6.0,4.0,79.8,6.0,4.0,33.2,6.0,4.0,2141.0,6.0,3.0,1005.0,6.0,3.0,1096.0,5.0,3.0,1515.0
6.0,5.0,103.8,6.0,5.0,37.9,6.0,5.0,2450.0,6.0,5.0,231.6,6.0,4.0,503.2,5.0,4.0,757.6
