1,尾形 栄治,尾形 栄治.1,2,山田 佑樹,山田 佑樹.1,3,占部 一真,占部 一真.1,4,宇田川　信一,宇田川　信一.1,5,小宮 涼雅,小宮 涼雅.1,6,松田 憲幸,松田 憲幸.1
2.0,3.0,11.0,1.0,3.0,25.1,1.0,2.0,33.4,1.0,2.0,173.5,1.0,2.0,231.3,1.0,2.0,182.9
2.0,4.0,20.9,1.0,4.0,48.0,1.0,4.0,34.1,1.0,3.0,123.9,1.0,3.0,185.9,1.0,3.0,252.2
2.0,5.0,37.5,1.0,5.0,71.3,1.0,5.0,41.7,1.0,5.0,172.5,1.0,4.0,347.6,1.0,4.0,487.5
2.0,6.0,22.8,1.0,6.0,36.4,1.0,6.0,38.8,1.0,6.0,141.9,1.0,6.0,216.5,1.0,5.0,377.6
3.0,2.0,12.8,3.0,1.0,44.9,2.0,1.0,50.8,2.0,1.0,241.8,2.0,1.0,333.4,2.0,1.0,224.5
3.0,4.0,18.0,3.0,4.0,109.2,2.0,4.0,81.3,2.0,3.0,304.3,2.0,3.0,341.7,2.0,3.0,271.3
3.0,5.0,23.2,3.0,5.0,108.9,2.0,5.0,96.9,2.0,5.0,383.5,2.0,4.0,534.3,2.0,4.0,518.4
3.0,6.0,24.5,3.0,6.0,65.6,2.0,6.0,67.1,2.0,6.0,271.9,2.0,6.0,299.1,2.0,5.0,342.7
4.0,2.0,49.9,4.0,1.0,153.1,4.0,1.0,57.4,3.0,1.0,152.1,3.0,1.0,203.5,3.0,1.0,253.3
4.0,3.0,48.0,4.0,3.0,184.5,4.0,2.0,92.1,3.0,2.0,249.2,3.0,2.0,305.9,3.0,2.0,300.6
4.0,5.0,97.9,4.0,5.0,317.8,4.0,5.0,73.5,3.0,5.0,175.8,3.0,4.0,248.7,3.0,4.0,392.1
4.0,6.0,60.2,4.0,6.0,189.1,4.0,6.0,64.3,3.0,6.0,187.6,3.0,6.0,236.6,3.0,5.0,367.4
5.0,2.0,94.1,5.0,1.0,238.5,5.0,1.0,78.8,5.0,1.0,233.0,4.0,1.0,371.9,4.0,1.0,543.8
5.0,3.0,69.1,5.0,3.0,230.4,5.0,2.0,131.7,5.0,2.0,266.0,4.0,2.0,509.8,4.0,2.0,640.6
5.0,4.0,147.6,5.0,4.0,463.4,5.0,4.0,100.4,5.0,3.0,244.7,4.0,3.0,365.2,4.0,3.0,624.3
5.0,6.0,99.8,5.0,6.0,191.1,5.0,6.0,73.5,5.0,6.0,208.4,4.0,6.0,363.0,4.0,5.0,539.0
6.0,2.0,61.6,6.0,1.0,97.0,6.0,1.0,77.3,6.0,1.0,267.7,6.0,1.0,308.9,5.0,1.0,476.1
6.0,3.0,72.1,6.0,3.0,114.8,6.0,2.0,92.8,6.0,2.0,308.2,6.0,2.0,311.3,5.0,2.0,401.1
6.0,4.0,110.1,6.0,4.0,234.4,6.0,4.0,96.2,6.0,3.0,335.2,6.0,3.0,356.7,5.0,3.0,477.9
6.0,5.0,101.2,6.0,5.0,185.1,6.0,5.0,90.0,6.0,5.0,294.1,6.0,4.0,467.0,5.0,4.0,602.7
