1,三好 勇人,三好 勇人.1,2,谷口 健一,谷口 健一.1,3,山口 達也,山口 達也.1,4,岡瀬 正人,岡瀬 正人.1,5,香月 大輝,香月 大輝.1,6,平瀬 城啓,平瀬 城啓.1
2.0,3.0,14.8,1.0,3.0,84.6,1.0,2.0,13.4,1.0,2.0,187.9,1.0,2.0,1972.0,1.0,2.0,665.6
2.0,4.0,30.6,1.0,4.0,197.9,1.0,4.0,8.3,1.0,3.0,82.6,1.0,3.0,992.2,1.0,3.0,312.1
2.0,5.0,229.1,1.0,5.0,702.7,1.0,5.0,67.1,1.0,5.0,627.3,1.0,4.0,1696.0,1.0,4.0,602.1
2.0,6.0,68.2,1.0,6.0,278.4,1.0,6.0,19.5,1.0,6.0,187.9,1.0,6.0,1454.0,1.0,5.0,1705.0
3.0,2.0,7.5,3.0,1.0,108.8,2.0,1.0,40.1,2.0,1.0,361.8,2.0,1.0,3669.0,2.0,1.0,1365.0
3.0,4.0,4.2,3.0,4.0,231.8,2.0,4.0,65.7,2.0,3.0,353.7,2.0,3.0,3545.0,2.0,3.0,1562.0
3.0,5.0,73.7,3.0,5.0,933.5,2.0,5.0,284.0,2.0,5.0,1377.0,2.0,4.0,3994.0,2.0,4.0,2103.0
3.0,6.0,15.5,3.0,6.0,390.9,2.0,6.0,116.6,2.0,6.0,642.6,2.0,6.0,3155.0,2.0,5.0,4207.0
4.0,2.0,37.4,4.0,1.0,414.0,4.0,1.0,19.0,3.0,1.0,79.6,3.0,1.0,1237.0,3.0,1.0,362.2
4.0,3.0,15.5,4.0,3.0,418.4,4.0,2.0,40.9,3.0,2.0,184.5,3.0,2.0,2446.0,3.0,2.0,961.9
4.0,5.0,236.8,4.0,5.0,1696.0,4.0,5.0,125.5,3.0,5.0,545.9,3.0,4.0,2390.0,3.0,4.0,454.0
4.0,6.0,59.1,4.0,6.0,891.3,4.0,6.0,34.7,3.0,6.0,147.9,3.0,6.0,2720.0,3.0,5.0,1935.0
5.0,2.0,578.9,5.0,1.0,2191.0,5.0,1.0,302.5,5.0,1.0,1421.0,4.0,1.0,2792.0,4.0,1.0,852.7
5.0,3.0,338.5,5.0,3.0,2075.0,5.0,2.0,698.0,5.0,2.0,2062.0,4.0,2.0,4097.0,4.0,2.0,1546.0
5.0,4.0,617.4,5.0,4.0,2629.0,5.0,4.0,492.2,5.0,3.0,1337.0,4.0,3.0,2976.0,4.0,3.0,610.3
5.0,6.0,767.7,5.0,6.0,3005.0,5.0,6.0,558.4,5.0,6.0,1813.0,4.0,6.0,4640.0,4.0,5.0,3033.0
6.0,2.0,141.7,6.0,1.0,788.8,6.0,1.0,64.2,6.0,1.0,355.7,6.0,1.0,3944.0,5.0,1.0,2976.0
6.0,3.0,77.4,6.0,3.0,1095.0,6.0,2.0,139.5,6.0,2.0,582.1,6.0,2.0,4854.0,5.0,2.0,3847.0
6.0,4.0,136.0,6.0,4.0,1427.0,6.0,4.0,80.0,6.0,3.0,305.1,6.0,3.0,3033.0,5.0,3.0,2674.0
6.0,5.0,660.1,6.0,5.0,2921.0,6.0,5.0,367.3,6.0,5.0,1282.0,6.0,4.0,4780.0,5.0,4.0,3712.0
