1,西野 翔太,西野 翔太.1,2,北川 敏弘,北川 敏弘.1,3,安東 幸治,安東 幸治.1,4,出畑 孝典,出畑 孝典.1,5,大串 重幸,大串 重幸.1,6,中嶋　誠一郎,中嶋　誠一郎.1
2.0,3.0,26.1,1.0,3.0,238.4,1.0,2.0,120.7,1.0,2.0,79.5,1.0,2.0,311.0,1.0,2.0,701.4
2.0,4.0,28.0,1.0,4.0,252.6,1.0,4.0,35.1,1.0,3.0,36.0,1.0,3.0,216.9,1.0,3.0,489.3
2.0,5.0,53.7,1.0,5.0,442.0,1.0,5.0,64.6,1.0,5.0,41.8,1.0,4.0,167.4,1.0,4.0,284.6
2.0,6.0,64.7,1.0,6.0,488.7,1.0,6.0,80.6,1.0,6.0,38.4,1.0,6.0,194.1,1.0,5.0,656.7
3.0,2.0,18.0,3.0,1.0,386.2,2.0,1.0,280.5,2.0,1.0,205.6,2.0,1.0,600.4,2.0,1.0,927.3
3.0,4.0,6.7,3.0,4.0,550.4,2.0,4.0,353.8,2.0,3.0,321.1,2.0,3.0,906.7,2.0,3.0,1189.0
3.0,5.0,14.3,3.0,5.0,834.9,2.0,5.0,592.8,2.0,5.0,314.3,2.0,4.0,726.9,2.0,4.0,557.2
3.0,6.0,19.4,3.0,6.0,982.7,2.0,6.0,586.1,2.0,6.0,220.6,2.0,6.0,758.0,2.0,5.0,1239.0
4.0,2.0,20.7,4.0,1.0,412.5,4.0,1.0,55.3,3.0,1.0,67.0,3.0,1.0,336.4,3.0,1.0,623.9
4.0,3.0,8.5,4.0,3.0,643.6,4.0,2.0,240.7,3.0,2.0,221.2,3.0,2.0,863.3,3.0,2.0,1160.0
4.0,5.0,16.6,4.0,5.0,828.3,4.0,5.0,110.7,3.0,5.0,115.6,3.0,4.0,410.5,3.0,4.0,367.1
4.0,6.0,15.9,4.0,6.0,492.6,4.0,6.0,89.5,3.0,6.0,90.2,3.0,6.0,545.6,3.0,5.0,931.0
5.0,2.0,75.5,5.0,1.0,962.5,5.0,1.0,196.7,5.0,1.0,64.8,4.0,1.0,177.0,4.0,1.0,286.5
5.0,3.0,41.1,5.0,3.0,1280.0,5.0,2.0,611.3,5.0,2.0,191.5,4.0,2.0,410.3,4.0,2.0,495.2
5.0,4.0,46.5,5.0,4.0,1258.0,5.0,4.0,245.3,5.0,3.0,126.0,4.0,3.0,298.2,4.0,3.0,341.3
5.0,6.0,70.3,5.0,6.0,1275.0,5.0,6.0,332.0,5.0,6.0,69.3,4.0,6.0,172.9,4.0,5.0,415.0
6.0,2.0,131.1,6.0,1.0,1054.0,6.0,1.0,302.3,6.0,1.0,80.5,6.0,1.0,367.0,5.0,1.0,864.1
6.0,3.0,71.7,6.0,3.0,1342.0,6.0,2.0,707.7,6.0,2.0,183.0,6.0,2.0,695.6,5.0,2.0,1266.0
6.0,4.0,62.1,6.0,4.0,713.1,6.0,4.0,239.8,6.0,3.0,130.3,6.0,3.0,560.6,5.0,3.0,947.0
6.0,5.0,121.7,6.0,5.0,1354.0,6.0,5.0,440.1,6.0,5.0,102.6,6.0,4.0,302.1,5.0,4.0,495.5
