1,植田 太一,植田 太一.1,2,奥田 誠,奥田 誠.1,3,井川 大作,井川 大作.1,4,福島 勇樹,福島 勇樹.1,5,森 晋太郎,森 晋太郎.1,6,宮武 英司,宮武 英司.1
2.0,3.0,22.1,1.0,3.0,226.5,1.0,2.0,244.6,1.0,2.0,43.0,1.0,2.0,292.2,1.0,2.0,782.4
2.0,4.0,14.9,1.0,4.0,155.2,1.0,4.0,112.5,1.0,3.0,58.8,1.0,3.0,332.9,1.0,3.0,854.3
2.0,5.0,46.3,1.0,5.0,325.6,1.0,5.0,212.7,1.0,5.0,28.8,1.0,4.0,162.5,1.0,4.0,224.6
2.0,6.0,39.3,1.0,6.0,372.9,1.0,6.0,201.3,1.0,6.0,24.2,1.0,6.0,199.9,1.0,5.0,657.0
3.0,2.0,18.8,3.0,1.0,533.8,2.0,1.0,537.6,2.0,1.0,133.4,2.0,1.0,563.4,2.0,1.0,1341.0
3.0,4.0,9.3,3.0,4.0,843.0,2.0,4.0,815.3,2.0,3.0,408.4,2.0,3.0,1362.0,2.0,3.0,2364.0
3.0,5.0,25.4,3.0,5.0,1337.0,2.0,5.0,1191.0,2.0,5.0,234.7,2.0,4.0,843.0,2.0,4.0,1237.0
3.0,6.0,22.2,3.0,6.0,1816.0,2.0,6.0,1524.0,2.0,6.0,194.6,2.0,6.0,632.8,2.0,5.0,2068.0
4.0,2.0,11.2,4.0,1.0,299.2,4.0,1.0,163.4,3.0,1.0,135.1,3.0,1.0,625.7,3.0,1.0,1291.0
4.0,3.0,9.4,4.0,3.0,709.2,4.0,2.0,466.8,3.0,2.0,381.5,3.0,2.0,1504.0,3.0,2.0,2510.0
4.0,5.0,14.1,4.0,5.0,716.0,4.0,5.0,341.3,3.0,5.0,285.4,3.0,4.0,975.5,3.0,4.0,1298.0
4.0,6.0,10.6,4.0,6.0,687.3,4.0,6.0,307.7,3.0,6.0,209.4,3.0,6.0,841.4,3.0,5.0,2256.0
5.0,2.0,60.9,5.0,1.0,825.8,5.0,1.0,520.1,5.0,1.0,44.1,4.0,1.0,170.7,4.0,1.0,236.9
5.0,3.0,50.6,5.0,3.0,1613.0,5.0,2.0,1280.0,5.0,2.0,107.1,4.0,2.0,409.5,4.0,2.0,849.4
5.0,4.0,33.9,5.0,4.0,1166.0,5.0,4.0,779.7,5.0,3.0,172.4,4.0,3.0,576.5,4.0,3.0,962.9
5.0,6.0,48.8,5.0,6.0,1648.0,5.0,6.0,913.7,5.0,6.0,47.3,4.0,6.0,183.4,4.0,5.0,473.8
6.0,2.0,88.5,6.0,1.0,1172.0,6.0,1.0,665.8,6.0,1.0,46.9,6.0,1.0,380.5,5.0,1.0,911.8
6.0,3.0,63.9,6.0,3.0,2724.0,6.0,2.0,1624.0,6.0,2.0,124.5,6.0,2.0,719.4,5.0,2.0,1801.0
6.0,4.0,42.0,6.0,4.0,1450.0,6.0,4.0,806.5,6.0,3.0,180.8,6.0,3.0,1095.0,5.0,3.0,2012.0
6.0,5.0,88.5,6.0,5.0,2127.0,6.0,5.0,1272.0,6.0,5.0,67.9,6.0,4.0,353.7,5.0,4.0,645.6
