1,梶山 涼斗,梶山 涼斗.1,2,川上 清人,川上 清人.1,3,松下 哲也,松下 哲也.1,4,柴田 光,柴田 光.1,5,亀山 雅幸,亀山 雅幸.1,6,田中 孝明,田中 孝明.1
2.0,3.0,49.0,1.0,3.0,100.0,1.0,2.0,173.3,1.0,2.0,29.4,1.0,2.0,134.4,1.0,2.0,1172.0
2.0,4.0,25.0,1.0,4.0,69.6,1.0,4.0,92.1,1.0,3.0,44.7,1.0,3.0,189.6,1.0,3.0,1758.0
2.0,5.0,43.6,1.0,5.0,101.6,1.0,5.0,131.2,1.0,5.0,13.9,1.0,4.0,59.6,1.0,4.0,1339.0
2.0,6.0,174.0,1.0,6.0,407.7,1.0,6.0,365.3,1.0,6.0,94.5,1.0,6.0,241.1,1.0,5.0,1758.0
3.0,2.0,47.3,3.0,1.0,196.7,2.0,1.0,237.0,2.0,1.0,52.9,2.0,1.0,206.8,2.0,1.0,1278.0
3.0,4.0,25.7,3.0,4.0,143.7,2.0,4.0,154.8,2.0,3.0,101.2,2.0,3.0,294.0,2.0,3.0,1223.0
3.0,5.0,39.0,3.0,5.0,178.4,2.0,5.0,206.3,2.0,5.0,33.1,2.0,4.0,115.9,2.0,4.0,948.3
3.0,6.0,177.6,3.0,6.0,499.4,2.0,6.0,471.5,2.0,6.0,151.5,2.0,6.0,376.8,2.0,5.0,1298.0
4.0,2.0,16.9,4.0,1.0,85.5,4.0,1.0,102.4,3.0,1.0,74.3,3.0,1.0,302.5,3.0,1.0,1758.0
4.0,3.0,20.5,4.0,3.0,131.2,4.0,2.0,128.0,3.0,2.0,115.3,3.0,2.0,354.6,3.0,2.0,1758.0
4.0,5.0,12.7,4.0,5.0,54.1,4.0,5.0,69.6,3.0,5.0,48.4,3.0,4.0,152.9,3.0,4.0,1563.0
4.0,6.0,79.1,4.0,6.0,294.0,4.0,6.0,245.3,3.0,6.0,239.1,3.0,6.0,482.3,3.0,5.0,1623.0
5.0,2.0,42.8,5.0,1.0,193.5,5.0,1.0,214.2,5.0,1.0,13.1,4.0,1.0,44.3,4.0,1.0,1004.0
5.0,3.0,55.3,5.0,3.0,241.8,5.0,2.0,241.1,5.0,2.0,17.8,4.0,2.0,64.0,4.0,2.0,992.9
5.0,4.0,23.7,5.0,4.0,106.3,5.0,4.0,110.4,5.0,3.0,28.2,4.0,3.0,96.4,4.0,3.0,1406.0
5.0,6.0,152.3,5.0,6.0,541.0,5.0,6.0,357.6,5.0,6.0,30.8,4.0,6.0,85.0,4.0,5.0,574.1
6.0,2.0,368.5,6.0,1.0,835.6,6.0,1.0,1172.0,6.0,1.0,211.0,6.0,1.0,534.1,5.0,1.0,1318.0
6.0,3.0,398.1,6.0,3.0,981.4,6.0,2.0,917.4,6.0,2.0,231.8,6.0,2.0,578.1,5.0,2.0,1318.0
6.0,4.0,320.9,6.0,4.0,774.3,6.0,4.0,680.6,6.0,3.0,316.1,6.0,3.0,582.0,5.0,3.0,1480.0
6.0,5.0,468.9,6.0,5.0,1004.0,6.0,5.0,774.3,6.0,5.0,125.7,6.0,4.0,267.0,5.0,4.0,586.1
