1,冨名腰　桃奈,冨名腰　桃奈.1,2,森田 梨湖,森田 梨湖.1,3,川原 愛未,川原 愛未.1,4,河内　悠利杏,河内　悠利杏.1,5,宇野 弥生,宇野 弥生.1,6,川野 芽唯,川野 芽唯.1
2.0,3.0,131.8,1.0,3.0,532.6,1.0,2.0,416.2,1.0,2.0,755.8,1.0,2.0,72.2,1.0,2.0,145.3
2.0,4.0,217.3,1.0,4.0,775.3,1.0,4.0,354.6,1.0,3.0,575.7,1.0,3.0,43.1,1.0,3.0,102.1
2.0,5.0,80.6,1.0,5.0,376.3,1.0,5.0,99.4,1.0,5.0,276.6,1.0,4.0,116.1,1.0,4.0,227.7
2.0,6.0,73.4,1.0,6.0,378.9,1.0,6.0,72.0,1.0,6.0,229.9,1.0,6.0,11.3,1.0,5.0,26.5
3.0,2.0,123.0,3.0,1.0,669.7,2.0,1.0,622.0,2.0,1.0,1052.0,2.0,1.0,189.2,2.0,1.0,313.1
3.0,4.0,140.3,3.0,4.0,1044.0,2.0,4.0,791.2,2.0,3.0,1186.0,2.0,3.0,384.9,2.0,3.0,629.2
3.0,5.0,31.6,3.0,5.0,835.1,2.0,5.0,627.8,2.0,5.0,1095.0,2.0,4.0,557.9,2.0,4.0,784.3
3.0,6.0,23.4,3.0,6.0,782.0,2.0,6.0,659.9,2.0,6.0,994.8,2.0,6.0,111.1,2.0,5.0,205.9
4.0,2.0,271.6,4.0,1.0,1136.0,4.0,1.0,624.9,3.0,1.0,861.7,3.0,1.0,86.9,3.0,1.0,185.3
4.0,3.0,204.0,4.0,3.0,1387.0,4.0,2.0,923.5,3.0,2.0,1202.0,3.0,2.0,339.0,3.0,2.0,596.0
4.0,5.0,119.5,4.0,5.0,1229.0,4.0,5.0,559.0,3.0,5.0,822.4,3.0,4.0,370.6,3.0,4.0,526.4
4.0,6.0,91.6,4.0,6.0,1146.0,4.0,6.0,548.8,3.0,6.0,741.3,3.0,6.0,53.8,3.0,5.0,125.6
5.0,2.0,55.7,5.0,1.0,373.7,5.0,1.0,103.6,5.0,1.0,246.4,4.0,1.0,230.6,4.0,1.0,440.7
5.0,3.0,26.1,5.0,3.0,815.0,5.0,2.0,464.1,5.0,2.0,715.8,4.0,2.0,586.9,4.0,2.0,923.5
5.0,4.0,75.1,5.0,4.0,1028.0,5.0,4.0,389.9,5.0,3.0,535.8,4.0,3.0,428.1,4.0,3.0,755.8
5.0,6.0,8.3,5.0,6.0,257.7,5.0,6.0,68.3,5.0,6.0,138.6,4.0,6.0,122.3,4.0,5.0,237.3
6.0,2.0,62.3,6.0,1.0,482.3,6.0,1.0,110.4,6.0,1.0,235.9,6.0,1.0,7.6,5.0,1.0,17.4
6.0,3.0,22.2,6.0,3.0,893.0,6.0,2.0,590.8,6.0,2.0,837.7,6.0,2.0,31.0,5.0,2.0,63.5
6.0,4.0,61.0,6.0,4.0,1181.0,6.0,4.0,463.3,6.0,3.0,620.6,6.0,3.0,19.5,5.0,3.0,43.4
6.0,5.0,11.2,6.0,5.0,292.8,6.0,5.0,89.1,6.0,5.0,178.0,6.0,4.0,39.5,5.0,4.0,78.3
