1,田中 孝明,田中 孝明.1,2,内田 圭,内田 圭.1,3,大西 賢,大西 賢.1,4,松下 哲也,松下 哲也.1,5,東 健介,東 健介.1,6,栗原 謙治,栗原 謙治.1
2.0,3.0,9.8,1.0,3.0,11.6,1.0,2.0,42.5,1.0,2.0,75.0,1.0,2.0,198.9,1.0,2.0,1154.0
2.0,4.0,14.4,1.0,4.0,21.5,1.0,4.0,61.1,1.0,3.0,95.5,1.0,3.0,322.4,1.0,3.0,1669.0
2.0,5.0,24.9,1.0,5.0,24.2,1.0,5.0,63.3,1.0,5.0,64.7,1.0,4.0,309.6,1.0,4.0,1870.0
2.0,6.0,49.5,1.0,6.0,45.4,1.0,6.0,137.5,1.0,6.0,141.2,1.0,6.0,354.2,1.0,5.0,1908.0
3.0,2.0,14.8,3.0,1.0,28.1,2.0,1.0,62.7,2.0,1.0,80.8,2.0,1.0,224.7,2.0,1.0,1700.0
3.0,4.0,22.9,3.0,4.0,34.2,2.0,4.0,62.3,2.0,3.0,84.9,2.0,3.0,262.6,2.0,3.0,1335.0
3.0,5.0,39.6,3.0,5.0,44.4,2.0,5.0,72.3,2.0,5.0,69.9,2.0,4.0,281.6,2.0,4.0,1280.0
3.0,6.0,85.4,3.0,6.0,100.6,2.0,6.0,169.4,2.0,6.0,137.5,2.0,6.0,343.7,2.0,5.0,1263.0
4.0,2.0,29.6,4.0,1.0,50.7,4.0,1.0,116.7,3.0,1.0,168.7,3.0,1.0,413.7,3.0,1.0,1989.0
4.0,3.0,41.4,4.0,3.0,49.7,4.0,2.0,83.6,3.0,2.0,130.6,3.0,2.0,352.8,3.0,2.0,1355.0
4.0,5.0,65.6,4.0,5.0,61.7,4.0,5.0,95.3,3.0,5.0,121.4,3.0,4.0,439.0,3.0,4.0,2032.0
4.0,6.0,107.9,4.0,6.0,154.0,4.0,6.0,239.7,3.0,6.0,305.5,3.0,6.0,636.1,3.0,5.0,1989.0
5.0,2.0,61.8,5.0,1.0,77.9,5.0,1.0,166.6,5.0,1.0,97.9,4.0,1.0,284.2,4.0,1.0,2460.0
5.0,3.0,80.5,5.0,3.0,87.5,5.0,2.0,126.7,5.0,2.0,90.7,4.0,2.0,242.8,4.0,2.0,1317.0
5.0,4.0,121.1,5.0,4.0,107.6,5.0,4.0,172.5,5.0,3.0,156.8,4.0,3.0,397.9,4.0,3.0,1989.0
5.0,6.0,203.2,5.0,6.0,209.1,5.0,6.0,316.9,5.0,6.0,118.6,4.0,6.0,320.2,4.0,5.0,1700.0
6.0,2.0,304.5,6.0,1.0,301.6,6.0,1.0,713.8,6.0,1.0,326.9,6.0,1.0,553.3,5.0,1.0,2226.0
6.0,3.0,337.5,6.0,3.0,325.8,6.0,2.0,401.3,6.0,2.0,302.6,6.0,2.0,556.6,5.0,2.0,1230.0
6.0,4.0,411.9,6.0,4.0,519.5,6.0,4.0,513.7,6.0,3.0,513.7,6.0,3.0,779.2,5.0,3.0,1584.0
6.0,5.0,513.7,6.0,5.0,443.1,6.0,5.0,631.8,6.0,5.0,259.7,6.0,4.0,644.8,5.0,4.0,1584.0
