1,田中 孝明,田中 孝明.1,2,橋本 英一,橋本 英一.1,3,江藤 敦宏,江藤 敦宏.1,4,小松 卓司,小松 卓司.1,5,安河内鈴之介,安河内鈴之介.1,6,上野 俊樹,上野 俊樹.1
2.0,3.0,13.9,1.0,3.0,35.0,1.0,2.0,82.1,1.0,2.0,35.3,1.0,2.0,142.9,1.0,2.0,294.7
2.0,4.0,9.4,1.0,4.0,19.0,1.0,4.0,60.7,1.0,3.0,82.2,1.0,3.0,215.7,1.0,3.0,482.8
2.0,5.0,30.7,1.0,5.0,57.6,1.0,5.0,121.6,1.0,5.0,71.8,1.0,4.0,119.3,1.0,4.0,314.6
2.0,6.0,28.2,1.0,6.0,50.1,1.0,6.0,108.4,1.0,6.0,63.2,1.0,6.0,188.7,1.0,5.0,779.7
3.0,2.0,21.5,3.0,1.0,87.7,2.0,1.0,129.5,2.0,1.0,48.6,2.0,1.0,234.6,2.0,1.0,357.6
3.0,4.0,19.4,3.0,4.0,93.6,2.0,4.0,109.0,2.0,3.0,119.5,2.0,3.0,523.1,2.0,3.0,789.5
3.0,5.0,41.6,3.0,5.0,223.7,2.0,5.0,202.1,2.0,5.0,137.6,2.0,4.0,249.5,2.0,4.0,388.6
3.0,6.0,41.7,3.0,6.0,161.9,2.0,6.0,221.0,2.0,6.0,94.1,2.0,6.0,403.6,2.0,5.0,951.0
4.0,2.0,12.1,4.0,1.0,38.7,4.0,1.0,93.4,3.0,1.0,135.5,3.0,1.0,394.7,3.0,1.0,671.3
4.0,3.0,21.0,4.0,3.0,84.4,4.0,2.0,116.6,3.0,2.0,185.4,3.0,2.0,667.7,3.0,2.0,1082.0
4.0,5.0,31.6,4.0,5.0,110.0,4.0,5.0,123.4,3.0,5.0,303.9,3.0,4.0,473.7,3.0,4.0,825.9
4.0,6.0,24.6,4.0,6.0,81.3,4.0,6.0,139.6,3.0,6.0,258.3,3.0,6.0,637.2,3.0,5.0,1819.0
5.0,2.0,68.7,5.0,1.0,167.6,5.0,1.0,285.9,5.0,1.0,108.1,4.0,1.0,170.3,4.0,1.0,360.7
5.0,3.0,77.0,5.0,3.0,349.7,5.0,2.0,418.4,5.0,2.0,155.9,4.0,2.0,248.6,4.0,2.0,458.1
5.0,4.0,62.9,5.0,4.0,160.3,5.0,4.0,259.9,5.0,3.0,289.2,4.0,3.0,410.2,4.0,3.0,836.9
5.0,6.0,138.2,5.0,6.0,296.0,5.0,6.0,415.7,5.0,6.0,151.6,4.0,6.0,242.3,4.0,5.0,1020.0
6.0,2.0,89.6,6.0,1.0,195.2,6.0,1.0,325.2,6.0,1.0,137.9,6.0,1.0,443.6,5.0,1.0,1151.0
6.0,3.0,126.6,6.0,3.0,434.4,6.0,2.0,565.5,6.0,2.0,164.9,6.0,2.0,667.7,5.0,2.0,1459.0
6.0,4.0,88.2,6.0,4.0,187.3,6.0,4.0,355.6,6.0,3.0,379.2,6.0,3.0,871.8,5.0,3.0,1992.0
6.0,5.0,238.6,6.0,5.0,440.5,6.0,5.0,637.2,6.0,5.0,242.3,6.0,4.0,468.4,5.0,4.0,1063.0
