1,石倉 洋行,石倉 洋行.1,2,青木　幸太郎,青木　幸太郎.1,3,池田 剛規,池田 剛規.1,4,鳥飼 眞,鳥飼 眞.1,5,荒牧 凪沙,荒牧 凪沙.1,6,下河 誉史,下河 誉史.1
2.0,3.0,7.4,1.0,3.0,63.5,1.0,2.0,108.4,1.0,2.0,116.6,1.0,2.0,230.7,1.0,2.0,412.3
2.0,4.0,7.0,1.0,4.0,70.6,1.0,4.0,102.2,1.0,3.0,158.9,1.0,3.0,256.4,1.0,3.0,430.4
2.0,5.0,21.8,1.0,5.0,154.7,1.0,5.0,181.7,1.0,5.0,150.8,1.0,4.0,293.8,1.0,4.0,584.2
2.0,6.0,20.8,1.0,6.0,127.1,1.0,6.0,144.1,1.0,6.0,143.4,1.0,6.0,268.0,1.0,5.0,975.0
3.0,2.0,9.4,3.0,1.0,205.6,2.0,1.0,205.9,2.0,1.0,265.5,2.0,1.0,438.9,2.0,1.0,776.6
3.0,4.0,8.7,3.0,4.0,354.3,2.0,4.0,405.2,2.0,3.0,525.9,2.0,3.0,904.6,2.0,3.0,1207.0
3.0,5.0,19.9,3.0,5.0,604.4,2.0,5.0,574.1,2.0,5.0,573.3,2.0,4.0,972.7,2.0,4.0,1406.0
3.0,6.0,19.3,3.0,6.0,521.8,2.0,6.0,553.5,2.0,6.0,560.5,2.0,6.0,833.1,2.0,5.0,2154.0
4.0,2.0,11.8,4.0,1.0,231.6,4.0,1.0,253.1,3.0,1.0,338.7,3.0,1.0,478.8,3.0,1.0,709.3
4.0,3.0,14.4,4.0,3.0,430.0,4.0,2.0,436.5,3.0,2.0,653.7,3.0,2.0,1116.0,3.0,2.0,1363.0
4.0,5.0,24.9,4.0,5.0,642.2,4.0,5.0,628.1,3.0,5.0,811.2,3.0,4.0,1116.0,3.0,4.0,1789.0
4.0,6.0,21.4,4.0,6.0,522.5,4.0,6.0,519.1,3.0,6.0,715.6,3.0,6.0,1094.0,3.0,5.0,2178.0
5.0,2.0,39.7,5.0,1.0,555.8,5.0,1.0,445.2,5.0,1.0,257.3,4.0,1.0,450.8,4.0,1.0,910.8
5.0,3.0,39.8,5.0,3.0,884.6,5.0,2.0,1051.0,5.0,2.0,456.4,4.0,2.0,807.9,4.0,2.0,1535.0
5.0,4.0,43.3,5.0,4.0,865.5,5.0,4.0,951.9,5.0,3.0,695.7,4.0,3.0,975.0,4.0,3.0,1993.0
5.0,6.0,58.4,5.0,6.0,898.5,5.0,6.0,1054.0,5.0,6.0,413.5,4.0,6.0,624.2,4.0,5.0,1781.0
6.0,2.0,61.4,6.0,1.0,524.5,6.0,1.0,420.9,6.0,1.0,332.8,6.0,1.0,579.1,5.0,1.0,1553.0
6.0,3.0,67.0,6.0,3.0,1074.0,6.0,2.0,847.2,6.0,2.0,606.3,6.0,2.0,1182.0,5.0,2.0,2414.0
6.0,4.0,68.8,6.0,4.0,906.7,6.0,4.0,863.7,6.0,3.0,847.2,6.0,3.0,1462.0,5.0,3.0,2473.0
6.0,5.0,102.4,6.0,5.0,1260.0,6.0,5.0,1288.0,6.0,5.0,607.2,6.0,4.0,1182.0,5.0,4.0,2166.0
