1,三好 勇人,三好 勇人.1,2,杉江 浩明,杉江 浩明.1,3,富永 正人,富永 正人.1,4,田中 宏樹,田中 宏樹.1,5,山口 亮,山口 亮.1,6,永井 源,永井 源.1
2.0,3.0,33.2,1.0,3.0,224.8,1.0,2.0,179.5,1.0,2.0,80.2,1.0,2.0,719.5,1.0,2.0,48.6
2.0,4.0,51.1,1.0,4.0,250.3,1.0,4.0,129.2,1.0,3.0,53.5,1.0,3.0,526.3,1.0,3.0,31.5
2.0,5.0,78.3,1.0,5.0,496.5,1.0,5.0,188.5,1.0,5.0,100.1,1.0,4.0,509.4,1.0,4.0,25.4
2.0,6.0,26.7,1.0,6.0,147.3,1.0,6.0,66.4,1.0,6.0,27.9,1.0,6.0,288.1,1.0,5.0,79.0
3.0,2.0,28.1,3.0,1.0,325.9,2.0,1.0,343.8,2.0,1.0,138.0,2.0,1.0,985.6,2.0,1.0,113.2
3.0,4.0,21.8,3.0,4.0,922.8,2.0,4.0,841.2,2.0,3.0,222.6,2.0,3.0,1399.0,2.0,3.0,181.9
3.0,5.0,39.1,3.0,5.0,1081.0,2.0,5.0,769.4,2.0,5.0,333.8,2.0,4.0,1800.0,2.0,4.0,145.4
3.0,6.0,8.9,3.0,6.0,448.3,2.0,6.0,441.2,2.0,6.0,134.1,2.0,6.0,1125.0,2.0,5.0,354.4
4.0,2.0,64.9,4.0,1.0,404.8,4.0,1.0,249.3,3.0,1.0,107.0,3.0,1.0,722.6,3.0,1.0,70.5
4.0,3.0,29.5,4.0,3.0,839.1,4.0,2.0,714.9,3.0,2.0,252.9,3.0,2.0,1448.0,3.0,2.0,174.0
4.0,5.0,72.5,4.0,5.0,1173.0,4.0,5.0,566.5,3.0,5.0,319.1,3.0,4.0,1286.0,3.0,4.0,95.1
4.0,6.0,17.4,4.0,6.0,429.8,4.0,6.0,188.8,3.0,6.0,101.6,3.0,6.0,762.3,3.0,5.0,246.2
5.0,2.0,135.8,5.0,1.0,979.8,5.0,1.0,391.4,5.0,1.0,188.9,4.0,1.0,569.4,4.0,1.0,29.2
5.0,3.0,89.4,5.0,3.0,1507.0,5.0,2.0,928.0,5.0,2.0,376.8,4.0,2.0,1114.0,4.0,2.0,74.6
5.0,4.0,121.3,5.0,4.0,1657.0,5.0,4.0,804.7,5.0,3.0,340.6,4.0,3.0,1018.0,4.0,3.0,50.7
5.0,6.0,61.6,5.0,6.0,1129.0,5.0,6.0,393.7,5.0,6.0,150.6,4.0,6.0,382.4,4.0,5.0,94.6
6.0,2.0,26.2,6.0,1.0,231.6,6.0,1.0,97.6,6.0,1.0,31.6,6.0,1.0,307.6,5.0,1.0,184.0
6.0,3.0,10.9,6.0,3.0,466.6,6.0,2.0,288.9,6.0,2.0,90.2,6.0,2.0,757.1,5.0,2.0,430.9
6.0,4.0,15.0,6.0,4.0,422.2,6.0,4.0,155.0,6.0,3.0,60.5,6.0,3.0,626.2,5.0,3.0,338.2
6.0,5.0,38.1,6.0,5.0,748.6,6.0,5.0,287.4,6.0,5.0,91.8,6.0,4.0,356.6,5.0,4.0,200.0
