1,榎 幸司,榎 幸司.1,2,菊池 峰晴,菊池 峰晴.1,3,藤山 雅弘,藤山 雅弘.1,4,白井 友晴,白井 友晴.1,5,鈴木 賢一,鈴木 賢一.1,6,石塚 裕介,石塚 裕介.1
2.0,3.0,9.8,1.0,3.0,32.2,1.0,2.0,43.3,1.0,2.0,52.9,1.0,2.0,285.3,1.0,2.0,574.4
2.0,4.0,8.1,1.0,4.0,23.3,1.0,4.0,35.5,1.0,3.0,71.8,1.0,3.0,313.4,1.0,3.0,862.5
2.0,5.0,31.0,1.0,5.0,73.8,1.0,5.0,62.1,1.0,5.0,85.2,1.0,4.0,313.4,1.0,4.0,717.8
2.0,6.0,29.7,1.0,6.0,64.4,1.0,6.0,63.3,1.0,6.0,94.0,1.0,6.0,385.0,1.0,5.0,1477.0
3.0,2.0,12.6,3.0,1.0,77.2,2.0,1.0,94.5,2.0,1.0,80.8,2.0,1.0,566.4,2.0,1.0,983.0
3.0,4.0,13.3,3.0,4.0,89.8,2.0,4.0,106.8,2.0,3.0,139.7,2.0,3.0,907.9,2.0,3.0,1336.0
3.0,5.0,30.7,3.0,5.0,195.3,2.0,5.0,189.4,2.0,5.0,186.5,2.0,4.0,748.9,2.0,4.0,1084.0
3.0,6.0,33.9,3.0,6.0,157.3,2.0,6.0,165.6,2.0,6.0,163.5,2.0,6.0,862.5,2.0,5.0,2033.0
4.0,2.0,13.0,4.0,1.0,52.8,4.0,1.0,76.6,3.0,1.0,136.9,3.0,1.0,535.3,3.0,1.0,986.6
4.0,3.0,17.6,4.0,3.0,91.6,4.0,2.0,104.1,3.0,2.0,194.0,3.0,2.0,816.4,3.0,2.0,1357.0
4.0,5.0,43.8,4.0,5.0,174.9,4.0,5.0,132.5,3.0,5.0,269.2,3.0,4.0,795.7,3.0,4.0,1536.0
4.0,6.0,36.4,4.0,6.0,148.5,4.0,6.0,122.7,3.0,6.0,243.4,3.0,6.0,678.6,3.0,5.0,1426.0
5.0,2.0,73.6,5.0,1.0,359.3,5.0,1.0,189.0,5.0,1.0,158.8,4.0,1.0,496.9,4.0,1.0,829.1
5.0,3.0,92.9,5.0,3.0,429.8,5.0,2.0,259.5,5.0,2.0,206.1,4.0,2.0,660.2,4.0,2.0,1147.0
5.0,4.0,96.4,5.0,4.0,430.2,5.0,4.0,241.2,5.0,3.0,370.8,4.0,3.0,832.9,4.0,3.0,1747.0
5.0,6.0,145.0,5.0,6.0,605.6,5.0,6.0,221.4,5.0,6.0,194.7,4.0,6.0,588.3,4.0,5.0,1995.0
6.0,2.0,110.2,6.0,1.0,375.8,6.0,1.0,235.9,6.0,1.0,238.0,6.0,1.0,831.6,5.0,1.0,2048.0
6.0,3.0,119.4,6.0,3.0,445.6,6.0,2.0,309.8,6.0,2.0,308.7,6.0,2.0,1050.0,5.0,2.0,2200.0
6.0,4.0,121.8,6.0,4.0,398.4,6.0,4.0,270.0,6.0,3.0,383.0,6.0,3.0,734.5,5.0,3.0,1610.0
6.0,5.0,203.4,6.0,5.0,804.1,6.0,5.0,310.3,6.0,5.0,413.5,6.0,4.0,1010.0,5.0,4.0,2105.0
