1,廣瀬 真也,廣瀬 真也.1,2,永井 源,永井 源.1,3,富永 正人,富永 正人.1,4,小林 遼太,小林 遼太.1,5,尾上 雅也,尾上 雅也.1,6,中村 泰平,中村 泰平.1
2.0,3.0,11.3,1.0,3.0,19.9,1.0,2.0,145.6,1.0,2.0,231.7,1.0,2.0,77.8,1.0,2.0,408.7
2.0,4.0,15.7,1.0,4.0,27.5,1.0,4.0,277.9,1.0,3.0,494.6,1.0,3.0,189.3,1.0,3.0,1022.0
2.0,5.0,8.5,1.0,5.0,11.2,1.0,5.0,163.4,1.0,5.0,265.7,1.0,4.0,221.4,1.0,4.0,1078.0
2.0,6.0,17.9,1.0,6.0,22.8,1.0,6.0,217.7,1.0,6.0,305.1,1.0,6.0,111.8,1.0,5.0,551.9
3.0,2.0,21.9,3.0,1.0,66.5,2.0,1.0,178.9,2.0,1.0,304.3,2.0,1.0,85.5,2.0,1.0,369.3
3.0,4.0,48.5,3.0,4.0,144.9,2.0,4.0,322.6,2.0,3.0,518.6,2.0,3.0,204.7,2.0,3.0,626.4
3.0,5.0,31.2,3.0,5.0,70.0,2.0,5.0,147.9,2.0,5.0,259.7,2.0,4.0,277.9,2.0,4.0,545.1
3.0,6.0,46.3,3.0,6.0,96.9,2.0,6.0,180.7,2.0,6.0,296.1,2.0,6.0,84.2,2.0,5.0,243.0
4.0,2.0,40.4,4.0,1.0,105.4,4.0,1.0,626.4,3.0,1.0,678.2,3.0,1.0,418.8,3.0,1.0,1394.0
4.0,3.0,84.2,4.0,3.0,203.0,4.0,2.0,575.3,3.0,2.0,801.6,3.0,2.0,352.7,3.0,2.0,955.8
4.0,5.0,58.4,4.0,5.0,112.6,4.0,5.0,587.8,3.0,5.0,948.1,3.0,4.0,971.6,3.0,4.0,1632.0
4.0,6.0,81.8,4.0,6.0,135.9,4.0,6.0,590.8,3.0,6.0,854.0,3.0,6.0,474.7,3.0,5.0,1273.0
5.0,2.0,18.1,5.0,1.0,32.6,5.0,1.0,268.6,5.0,1.0,327.1,4.0,1.0,388.0,4.0,1.0,1336.0
5.0,3.0,40.3,5.0,3.0,73.1,5.0,2.0,217.5,5.0,2.0,264.0,4.0,2.0,356.2,4.0,2.0,948.1
5.0,4.0,52.7,5.0,4.0,94.7,5.0,4.0,501.0,5.0,3.0,620.9,4.0,3.0,755.2,4.0,3.0,1712.0
5.0,6.0,40.5,5.0,6.0,36.9,5.0,6.0,330.8,5.0,6.0,262.6,4.0,6.0,373.2,4.0,5.0,1237.0
6.0,2.0,62.9,6.0,1.0,96.7,6.0,1.0,604.9,6.0,1.0,523.3,6.0,1.0,207.1,5.0,1.0,468.4
6.0,3.0,128.0,6.0,3.0,193.2,6.0,2.0,474.0,6.0,2.0,427.5,6.0,2.0,139.6,5.0,2.0,245.6
6.0,4.0,161.4,6.0,4.0,206.5,6.0,4.0,833.8,6.0,3.0,792.6,6.0,3.0,455.1,5.0,3.0,773.4
6.0,5.0,90.3,6.0,5.0,84.9,6.0,5.0,559.8,6.0,5.0,420.3,6.0,4.0,459.8,5.0,4.0,670.5
