1,小野 信樹,小野 信樹.1,2,盛本 真輔,盛本 真輔.1,3,川原 正明,川原 正明.1,4,西原 明生,西原 明生.1,5,島田 賢人,島田 賢人.1,6,宮武 英司,宮武 英司.1
2.0,3.0,48.6,1.0,3.0,59.7,1.0,2.0,104.9,1.0,2.0,425.9,1.0,2.0,55.9,1.0,2.0,1170.0
2.0,4.0,108.8,1.0,4.0,132.6,1.0,4.0,178.2,1.0,3.0,491.8,1.0,3.0,56.7,1.0,3.0,1092.0
2.0,5.0,36.1,1.0,5.0,42.0,1.0,5.0,54.7,1.0,5.0,334.7,1.0,4.0,138.4,1.0,4.0,1835.0
2.0,6.0,120.0,1.0,6.0,133.9,1.0,6.0,158.0,1.0,6.0,598.7,1.0,6.0,57.6,1.0,5.0,566.6
3.0,2.0,57.2,3.0,1.0,71.7,2.0,1.0,103.9,2.0,1.0,409.4,2.0,1.0,51.5,2.0,1.0,1343.0
3.0,4.0,102.1,3.0,4.0,70.6,2.0,4.0,92.7,2.0,3.0,320.4,2.0,3.0,22.0,2.0,3.0,610.9
3.0,5.0,38.2,3.0,5.0,19.3,2.0,5.0,26.3,2.0,5.0,161.7,2.0,4.0,72.6,2.0,4.0,1320.0
3.0,6.0,125.6,3.0,6.0,67.9,2.0,6.0,84.7,2.0,6.0,329.1,2.0,6.0,32.9,2.0,5.0,327.2
4.0,2.0,210.4,4.0,1.0,223.4,4.0,1.0,303.3,3.0,1.0,672.9,3.0,1.0,50.9,3.0,1.0,1126.0
4.0,3.0,186.7,4.0,3.0,108.9,4.0,2.0,173.8,3.0,2.0,427.3,3.0,2.0,22.0,3.0,2.0,626.6
4.0,5.0,158.1,4.0,5.0,68.5,4.0,5.0,97.4,3.0,5.0,226.6,3.0,4.0,70.5,3.0,4.0,1181.0
4.0,6.0,284.1,4.0,6.0,186.9,4.0,6.0,244.8,3.0,6.0,535.6,3.0,6.0,26.9,3.0,5.0,269.6
5.0,2.0,40.5,5.0,1.0,46.3,5.0,1.0,47.9,5.0,1.0,263.3,4.0,1.0,208.7,4.0,1.0,2196.0
5.0,3.0,36.8,5.0,3.0,17.4,5.0,2.0,22.6,5.0,2.0,139.2,4.0,2.0,117.9,4.0,2.0,1521.0
5.0,4.0,103.7,5.0,4.0,51.6,5.0,4.0,59.3,5.0,3.0,171.1,4.0,3.0,131.6,4.0,3.0,1515.0
5.0,6.0,67.0,5.0,6.0,34.2,5.0,6.0,31.0,5.0,6.0,145.6,4.0,6.0,91.5,4.0,5.0,695.7
6.0,2.0,365.0,6.0,1.0,340.8,6.0,1.0,299.8,6.0,1.0,842.6,6.0,1.0,67.1,5.0,1.0,377.0
6.0,3.0,276.3,6.0,3.0,176.6,6.0,2.0,187.8,6.0,2.0,488.1,6.0,2.0,41.1,5.0,2.0,248.7
6.0,4.0,425.9,6.0,4.0,315.8,6.0,4.0,349.1,6.0,3.0,664.9,6.0,3.0,35.6,5.0,3.0,212.3
6.0,5.0,200.7,6.0,5.0,115.2,6.0,5.0,97.2,6.0,5.0,302.1,6.0,4.0,86.3,5.0,4.0,456.2
