1,吉川 貴仁,吉川 貴仁.1,2,中田 竜太,中田 竜太.1,3,新開 航,新開 航.1,4,市橋 卓士,市橋 卓士.1,5,永井 彪也,永井 彪也.1,6,高倉 和士,高倉 和士.1
2.0,3.0,8.7,1.0,3.0,33.5,1.0,2.0,43.3,1.0,2.0,157.7,1.0,2.0,224.5,1.0,2.0,415.8
2.0,4.0,11.3,1.0,4.0,41.6,1.0,4.0,37.5,1.0,3.0,172.2,1.0,3.0,215.3,1.0,3.0,553.2
2.0,5.0,20.0,1.0,5.0,53.2,1.0,5.0,42.8,1.0,5.0,198.1,1.0,4.0,325.1,1.0,4.0,744.9
2.0,6.0,28.4,1.0,6.0,63.6,1.0,6.0,56.4,1.0,6.0,192.8,1.0,6.0,286.5,1.0,5.0,987.2
3.0,2.0,10.5,3.0,1.0,71.4,2.0,1.0,80.9,2.0,1.0,233.1,2.0,1.0,394.8,2.0,1.0,540.8
3.0,4.0,11.9,3.0,4.0,105.3,2.0,4.0,93.9,2.0,3.0,308.3,2.0,3.0,553.2,2.0,3.0,864.2
3.0,5.0,17.6,3.0,5.0,126.7,2.0,5.0,118.6,2.0,5.0,328.6,2.0,4.0,690.9,2.0,4.0,602.6
3.0,6.0,27.5,3.0,6.0,149.4,2.0,6.0,128.4,2.0,6.0,281.8,2.0,6.0,623.5,2.0,5.0,1208.0
4.0,2.0,24.9,4.0,1.0,130.2,4.0,1.0,82.1,3.0,1.0,231.8,3.0,1.0,363.0,3.0,1.0,884.7
4.0,3.0,24.7,4.0,3.0,169.9,4.0,2.0,116.9,3.0,2.0,322.5,3.0,2.0,588.7,3.0,2.0,946.8
4.0,5.0,42.3,4.0,5.0,214.4,4.0,5.0,103.7,3.0,5.0,305.4,3.0,4.0,596.6,3.0,4.0,1124.0
4.0,6.0,41.0,4.0,6.0,178.6,4.0,6.0,109.0,3.0,6.0,344.9,3.0,6.0,622.7,3.0,5.0,1170.0
5.0,2.0,40.5,5.0,1.0,178.3,5.0,1.0,113.9,5.0,1.0,331.7,4.0,1.0,591.6,4.0,1.0,897.8
5.0,3.0,40.9,5.0,3.0,233.1,5.0,2.0,159.4,5.0,2.0,382.4,4.0,2.0,756.5,4.0,2.0,699.8
5.0,4.0,72.7,5.0,4.0,305.8,5.0,4.0,153.2,5.0,3.0,432.5,4.0,3.0,780.8,4.0,3.0,1288.0
5.0,6.0,74.5,5.0,6.0,306.4,5.0,6.0,164.0,5.0,6.0,340.8,4.0,6.0,680.2,4.0,5.0,1424.0
6.0,2.0,73.4,6.0,1.0,216.4,6.0,1.0,204.0,6.0,1.0,334.5,6.0,1.0,527.3,5.0,1.0,1093.0
6.0,3.0,91.4,6.0,3.0,363.8,6.0,2.0,287.9,6.0,2.0,399.1,6.0,2.0,679.3,5.0,2.0,1129.0
6.0,4.0,92.1,6.0,4.0,320.8,6.0,4.0,255.2,6.0,3.0,536.1,6.0,3.0,701.8,5.0,3.0,1187.0
6.0,5.0,148.6,6.0,5.0,457.7,6.0,5.0,310.3,6.0,5.0,570.7,6.0,4.0,688.9,5.0,4.0,1079.0
