1,大串 重幸,大串 重幸.1,2,末永 和也,末永 和也.1,3,小林 孝弘,小林 孝弘.1,4,山谷 央,山谷 央.1,5,齋藤 勇,齋藤 勇.1,6,竹田 広樹,竹田 広樹.1
2.0,3.0,7.6,1.0,3.0,7.3,1.0,2.0,145.4,1.0,2.0,73.7,1.0,2.0,738.5,1.0,2.0,593.5
2.0,4.0,6.5,1.0,4.0,5.4,1.0,4.0,175.6,1.0,3.0,184.6,1.0,3.0,1208.0,1.0,3.0,2553.0
2.0,5.0,29.1,1.0,5.0,24.4,1.0,5.0,352.9,1.0,5.0,185.3,1.0,4.0,1039.0,1.0,4.0,1627.0
2.0,6.0,49.4,1.0,6.0,43.3,1.0,6.0,488.7,1.0,6.0,259.1,1.0,6.0,1794.0,1.0,5.0,2820.0
3.0,2.0,19.5,3.0,1.0,29.6,2.0,1.0,149.5,2.0,1.0,75.0,2.0,1.0,785.5,2.0,1.0,610.6
3.0,4.0,30.2,3.0,4.0,38.5,2.0,4.0,150.2,2.0,3.0,166.4,2.0,3.0,1583.0,2.0,3.0,2820.0
3.0,5.0,86.6,3.0,5.0,100.3,2.0,5.0,311.0,2.0,5.0,174.5,2.0,4.0,1096.0,2.0,4.0,1377.0
3.0,6.0,197.3,3.0,6.0,160.5,2.0,6.0,473.1,2.0,6.0,211.6,2.0,6.0,2071.0,2.0,5.0,3568.0
4.0,2.0,16.5,4.0,1.0,17.9,4.0,1.0,257.0,3.0,1.0,274.7,3.0,1.0,1466.0,3.0,1.0,2903.0
4.0,3.0,34.1,4.0,3.0,39.5,4.0,2.0,213.8,3.0,2.0,267.2,3.0,2.0,1682.0,3.0,2.0,3611.0
4.0,5.0,81.8,4.0,5.0,73.4,4.0,5.0,472.3,3.0,5.0,491.1,3.0,4.0,1961.0,3.0,4.0,3748.0
4.0,6.0,126.3,4.0,6.0,95.7,4.0,6.0,724.1,3.0,6.0,680.8,3.0,6.0,2313.0,3.0,5.0,3150.0
5.0,2.0,132.6,5.0,1.0,144.1,5.0,1.0,831.9,5.0,1.0,312.0,4.0,1.0,1050.0,4.0,1.0,2369.0
5.0,3.0,247.2,5.0,3.0,272.9,5.0,2.0,687.1,5.0,2.0,270.2,4.0,2.0,1076.0,4.0,2.0,1673.0
5.0,4.0,274.9,5.0,4.0,218.0,5.0,4.0,961.5,5.0,3.0,583.0,4.0,3.0,1742.0,4.0,3.0,3656.0
5.0,6.0,619.5,5.0,6.0,442.6,5.0,6.0,1017.0,5.0,6.0,446.7,4.0,6.0,1935.0,4.0,5.0,4487.0
6.0,2.0,198.5,6.0,1.0,211.5,6.0,1.0,1383.0,6.0,1.0,556.7,6.0,1.0,2488.0,5.0,1.0,3656.0
6.0,3.0,521.4,6.0,3.0,501.1,6.0,2.0,1254.0,6.0,2.0,426.1,6.0,2.0,2875.0,5.0,2.0,3702.0
6.0,4.0,389.1,6.0,4.0,348.4,6.0,4.0,1886.0,6.0,3.0,843.7,6.0,3.0,2575.0,5.0,3.0,3254.0
6.0,5.0,977.4,6.0,5.0,610.6,6.0,5.0,1304.0,6.0,5.0,740.4,6.0,4.0,2620.0,5.0,4.0,3656.0
