1,川島 圭司,川島 圭司.1,2,和田 拓也,和田 拓也.1,3,宮野 仁,宮野 仁.1,4,横田 茂,横田 茂.1,5,大西 隆洋,大西 隆洋.1,6,中村 有裕,中村 有裕.1
2.0,3.0,7.4,1.0,3.0,9.8,1.0,2.0,62.4,1.0,2.0,97.1,1.0,2.0,554.3,1.0,2.0,95.0
2.0,4.0,16.5,1.0,4.0,22.9,1.0,4.0,153.6,1.0,3.0,187.4,1.0,3.0,853.3,1.0,3.0,156.5
2.0,5.0,57.9,1.0,5.0,77.8,1.0,5.0,271.7,1.0,5.0,271.2,1.0,4.0,644.1,1.0,4.0,254.5
2.0,6.0,10.8,1.0,6.0,13.2,1.0,6.0,98.3,1.0,6.0,181.3,1.0,6.0,851.5,1.0,5.0,473.4
3.0,2.0,16.8,3.0,1.0,22.0,2.0,1.0,71.6,2.0,1.0,92.8,2.0,1.0,619.2,2.0,1.0,111.9
3.0,4.0,46.0,3.0,4.0,50.2,2.0,4.0,126.4,2.0,3.0,141.8,2.0,3.0,778.9,2.0,3.0,126.4
3.0,5.0,126.0,3.0,5.0,131.2,2.0,5.0,245.8,2.0,5.0,225.4,2.0,4.0,666.5,2.0,4.0,226.0
3.0,6.0,30.1,3.0,6.0,25.4,2.0,6.0,70.5,2.0,6.0,126.2,2.0,6.0,762.6,2.0,5.0,445.5
4.0,2.0,45.3,4.0,1.0,73.1,4.0,1.0,286.8,3.0,1.0,294.4,3.0,1.0,1092.0,3.0,1.0,254.7
4.0,3.0,75.7,4.0,3.0,105.9,4.0,2.0,221.4,3.0,2.0,220.9,3.0,2.0,1033.0,3.0,2.0,165.8
4.0,5.0,192.5,4.0,5.0,252.9,4.0,5.0,601.6,3.0,5.0,545.3,3.0,4.0,1066.0,3.0,4.0,452.1
4.0,6.0,91.6,4.0,6.0,97.8,4.0,6.0,334.6,3.0,6.0,356.6,3.0,6.0,1182.0,3.0,5.0,775.9
5.0,2.0,211.4,5.0,1.0,287.0,5.0,1.0,616.4,5.0,1.0,321.0,4.0,1.0,562.9,4.0,1.0,427.1
5.0,3.0,294.2,5.0,3.0,328.9,5.0,2.0,544.6,5.0,2.0,290.4,4.0,2.0,507.4,4.0,2.0,311.0
5.0,4.0,304.0,5.0,4.0,418.6,5.0,4.0,768.4,5.0,3.0,512.6,4.0,3.0,820.2,4.0,3.0,481.9
5.0,6.0,348.8,5.0,6.0,340.6,5.0,6.0,705.1,5.0,6.0,451.5,4.0,6.0,825.3,4.0,5.0,877.5
6.0,2.0,28.1,6.0,1.0,37.4,6.0,1.0,176.4,6.0,1.0,275.6,6.0,1.0,1086.0,5.0,1.0,717.7
6.0,3.0,46.1,6.0,3.0,42.5,6.0,2.0,118.6,6.0,2.0,194.2,6.0,2.0,905.2,5.0,2.0,636.9
6.0,4.0,82.1,6.0,4.0,88.1,6.0,4.0,286.6,6.0,3.0,386.0,6.0,3.0,1168.0,5.0,3.0,858.8
6.0,5.0,197.5,6.0,5.0,216.0,6.0,5.0,462.5,6.0,5.0,508.1,6.0,4.0,1098.0,5.0,4.0,905.2
