1,大田 直弥,大田 直弥.1,2,下河 誉史,下河 誉史.1,3,宮下 元胤,宮下 元胤.1,4,山本　景士郎,山本　景士郎.1,5,水摩 敦,水摩 敦.1,6,内田 圭,内田 圭.1
2.0,3.0,27.4,1.0,3.0,51.0,1.0,2.0,61.8,1.0,2.0,156.6,1.0,2.0,52.6,1.0,2.0,1259.0
2.0,4.0,41.0,1.0,4.0,69.2,1.0,4.0,40.0,1.0,3.0,129.6,1.0,3.0,36.7,1.0,3.0,1067.0
2.0,5.0,33.0,1.0,5.0,52.2,1.0,5.0,22.0,1.0,5.0,95.6,1.0,4.0,69.8,1.0,4.0,1970.0
2.0,6.0,185.6,1.0,6.0,294.4,1.0,6.0,170.2,1.0,6.0,343.9,1.0,6.0,99.9,1.0,5.0,1305.0
3.0,2.0,29.8,3.0,1.0,94.8,2.0,1.0,111.4,2.0,1.0,210.1,2.0,1.0,71.0,2.0,1.0,1605.0
3.0,4.0,24.5,3.0,4.0,125.1,2.0,4.0,105.4,2.0,3.0,179.9,2.0,3.0,62.0,2.0,3.0,1329.0
3.0,5.0,15.7,3.0,5.0,86.0,2.0,5.0,68.0,2.0,5.0,137.3,2.0,4.0,87.1,2.0,4.0,2381.0
3.0,6.0,147.2,3.0,6.0,425.7,2.0,6.0,376.2,2.0,6.0,482.6,2.0,6.0,149.2,2.0,5.0,1504.0
4.0,2.0,57.1,4.0,1.0,166.4,4.0,1.0,54.2,3.0,1.0,123.6,3.0,1.0,39.8,3.0,1.0,1805.0
4.0,3.0,44.5,4.0,3.0,160.7,4.0,2.0,83.8,3.0,2.0,167.9,3.0,2.0,57.2,3.0,2.0,1934.0
4.0,5.0,38.8,4.0,5.0,136.4,4.0,5.0,22.2,3.0,5.0,50.1,3.0,4.0,36.9,3.0,4.0,1805.0
4.0,6.0,184.1,4.0,6.0,535.0,4.0,6.0,124.7,3.0,6.0,245.4,3.0,6.0,84.7,3.0,5.0,971.8
5.0,2.0,38.9,5.0,1.0,97.5,5.0,1.0,25.8,5.0,1.0,88.3,4.0,1.0,87.4,4.0,1.0,2211.0
5.0,3.0,25.3,5.0,3.0,98.0,5.0,2.0,42.7,5.0,2.0,85.4,4.0,2.0,81.1,4.0,2.0,2145.0
5.0,4.0,45.3,5.0,4.0,140.2,5.0,4.0,22.6,5.0,3.0,66.0,4.0,3.0,57.0,4.0,3.0,1274.0
5.0,6.0,151.0,5.0,6.0,337.5,5.0,6.0,61.8,5.0,6.0,125.1,4.0,6.0,118.5,4.0,5.0,1083.0
6.0,2.0,411.9,6.0,1.0,906.7,6.0,1.0,565.8,6.0,1.0,619.1,6.0,1.0,162.6,5.0,1.0,930.0
6.0,3.0,443.1,6.0,3.0,793.8,6.0,2.0,656.7,6.0,2.0,624.5,6.0,2.0,170.1,5.0,2.0,950.4
6.0,4.0,551.4,6.0,4.0,1152.0,6.0,4.0,393.3,6.0,3.0,481.5,6.0,3.0,151.5,5.0,3.0,658.6
6.0,5.0,403.5,6.0,5.0,765.7,6.0,5.0,257.6,6.0,5.0,311.8,6.0,4.0,192.6,5.0,4.0,863.3
