1,仲本 舜,仲本 舜.1,2,柳瀬 幹太,柳瀬 幹太.1,3,大森 翼,大森 翼.1,4,高山 敬悟,高山 敬悟.1,5,村松 栄太,村松 栄太.1,6,田中 宏典,田中 宏典.1
2.0,3.0,11.3,1.0,3.0,18.4,1.0,2.0,71.8,1.0,2.0,127.4,1.0,2.0,69.7,1.0,2.0,452.1
2.0,4.0,22.5,1.0,4.0,32.0,1.0,4.0,176.6,1.0,3.0,221.9,1.0,3.0,123.5,1.0,3.0,824.8
2.0,5.0,13.0,1.0,5.0,18.0,1.0,5.0,96.2,1.0,5.0,126.5,1.0,4.0,184.1,1.0,4.0,1070.0
2.0,6.0,29.6,1.0,6.0,48.7,1.0,6.0,185.2,1.0,6.0,177.9,1.0,6.0,142.1,1.0,5.0,841.8
3.0,2.0,18.9,3.0,1.0,37.8,2.0,1.0,82.5,2.0,1.0,132.9,2.0,1.0,84.1,2.0,1.0,565.1
3.0,4.0,46.6,3.0,4.0,59.3,2.0,4.0,114.0,2.0,3.0,195.9,2.0,3.0,120.0,2.0,3.0,836.1
3.0,5.0,32.7,3.0,5.0,38.9,2.0,5.0,86.2,2.0,5.0,114.7,2.0,4.0,135.7,2.0,4.0,713.8
3.0,6.0,60.6,3.0,6.0,78.1,2.0,6.0,173.8,2.0,6.0,164.5,2.0,6.0,142.4,2.0,5.0,540.1
4.0,2.0,49.1,4.0,1.0,58.0,4.0,1.0,243.1,3.0,1.0,311.4,3.0,1.0,180.8,3.0,1.0,917.8
4.0,3.0,69.3,4.0,3.0,72.9,4.0,2.0,174.3,3.0,2.0,242.6,3.0,2.0,166.9,3.0,2.0,984.4
4.0,5.0,66.3,4.0,5.0,50.1,4.0,5.0,219.1,3.0,5.0,223.5,3.0,4.0,299.2,3.0,4.0,753.5
4.0,6.0,99.6,4.0,6.0,92.5,4.0,6.0,256.9,3.0,6.0,238.4,3.0,6.0,309.0,3.0,5.0,871.9
5.0,2.0,26.6,5.0,1.0,38.0,5.0,1.0,146.9,5.0,1.0,123.9,4.0,1.0,198.8,4.0,1.0,1140.0
5.0,3.0,47.6,5.0,3.0,51.5,5.0,2.0,130.4,5.0,2.0,111.3,4.0,2.0,159.1,4.0,2.0,685.8
5.0,4.0,83.9,5.0,4.0,60.4,5.0,4.0,225.6,5.0,3.0,223.5,4.0,3.0,285.8,4.0,3.0,891.0
5.0,6.0,72.5,5.0,6.0,69.3,5.0,6.0,247.6,5.0,6.0,116.8,4.0,6.0,190.1,4.0,5.0,693.6
6.0,2.0,82.8,6.0,1.0,139.5,6.0,1.0,462.4,6.0,1.0,304.4,6.0,1.0,231.6,5.0,1.0,841.8
6.0,3.0,163.8,6.0,3.0,160.6,6.0,2.0,455.5,6.0,2.0,256.9,6.0,2.0,216.0,5.0,2.0,476.8
6.0,4.0,194.0,6.0,4.0,186.0,6.0,4.0,450.4,6.0,3.0,363.3,6.0,3.0,381.4,5.0,3.0,824.8
6.0,5.0,138.5,6.0,5.0,142.9,6.0,5.0,429.8,6.0,5.0,210.1,6.0,4.0,290.6,5.0,4.0,622.8
