1,佐竹 太一,佐竹 太一.1,2,黒井 達矢,黒井 達矢.1,3,松本 弓雄,松本 弓雄.1,4,丸岡 正典,丸岡 正典.1,5,多田 有佑,多田 有佑.1,6,小川 晃司,小川 晃司.1
2.0,3.0,14.1,1.0,3.0,27.4,1.0,2.0,174.8,1.0,2.0,22.3,1.0,2.0,637.9,1.0,2.0,670.0
2.0,4.0,5.0,1.0,4.0,8.8,1.0,4.0,137.7,1.0,3.0,72.2,1.0,3.0,1103.0,1.0,3.0,1866.0
2.0,5.0,52.5,1.0,5.0,67.5,1.0,5.0,320.5,1.0,5.0,84.2,1.0,4.0,612.4,1.0,4.0,895.3
2.0,6.0,31.5,1.0,6.0,50.8,1.0,6.0,378.1,1.0,6.0,69.1,1.0,6.0,1056.0,1.0,5.0,2016.0
3.0,2.0,31.3,3.0,1.0,101.7,2.0,1.0,220.8,2.0,1.0,27.2,2.0,1.0,821.7,2.0,1.0,941.8
3.0,4.0,25.9,3.0,4.0,77.0,2.0,4.0,148.7,2.0,3.0,70.1,2.0,3.0,1416.0,2.0,3.0,2058.0
3.0,5.0,105.5,3.0,5.0,263.0,2.0,5.0,460.0,2.0,5.0,93.7,2.0,4.0,703.0,2.0,4.0,616.2
3.0,6.0,88.6,3.0,6.0,237.4,2.0,6.0,411.6,2.0,6.0,55.6,2.0,6.0,1056.0,2.0,5.0,2377.0
4.0,2.0,7.8,4.0,1.0,17.2,4.0,1.0,206.7,3.0,1.0,186.0,3.0,1.0,1340.0,3.0,1.0,1957.0
4.0,3.0,21.5,4.0,3.0,45.6,4.0,2.0,166.1,3.0,2.0,138.2,3.0,2.0,1535.0,3.0,2.0,2124.0
4.0,5.0,51.8,4.0,5.0,78.3,4.0,5.0,393.0,3.0,5.0,337.2,3.0,4.0,1490.0,3.0,4.0,2243.0
4.0,6.0,33.4,4.0,6.0,53.1,4.0,6.0,396.1,3.0,6.0,263.4,3.0,6.0,1692.0,3.0,5.0,3025.0
5.0,2.0,244.3,5.0,1.0,335.0,5.0,1.0,838.9,5.0,1.0,165.4,4.0,1.0,718.2,4.0,1.0,993.4
5.0,3.0,293.2,5.0,3.0,679.1,5.0,2.0,920.1,5.0,2.0,160.6,4.0,2.0,631.8,4.0,2.0,596.0
5.0,4.0,233.2,5.0,4.0,317.4,5.0,4.0,795.5,5.0,3.0,373.2,4.0,3.0,1367.0,4.0,3.0,1957.0
5.0,6.0,297.1,5.0,6.0,528.2,5.0,6.0,1115.0,5.0,6.0,170.9,4.0,6.0,920.1,4.0,5.0,1976.0
6.0,2.0,162.9,6.0,1.0,246.2,6.0,1.0,978.7,6.0,1.0,161.9,6.0,1.0,2147.0,5.0,1.0,3220.0
6.0,3.0,296.2,6.0,3.0,554.6,6.0,2.0,1013.0,6.0,2.0,132.5,6.0,2.0,2016.0,5.0,2.0,2773.0
6.0,4.0,164.4,6.0,4.0,176.3,6.0,4.0,883.5,6.0,3.0,400.9,6.0,3.0,2627.0,5.0,3.0,3384.0
6.0,5.0,459.0,6.0,5.0,652.5,6.0,5.0,1367.0,6.0,5.0,304.8,6.0,4.0,2058.0,5.0,4.0,2662.0
