1,川口 貴久,川口 貴久.1,2,室田 泰史,室田 泰史.1,3,宮嵜　隆太郎,宮嵜　隆太郎.1,4,中田 元泰,中田 元泰.1,5,嘉手苅　徹哉,嘉手苅　徹哉.1,6,新田 智彰,新田 智彰.1
2.0,3.0,39.0,1.0,3.0,97.3,1.0,2.0,182.8,1.0,2.0,12.3,1.0,2.0,929.4,1.0,2.0,239.4
2.0,4.0,8.0,1.0,4.0,27.4,1.0,4.0,115.8,1.0,3.0,46.3,1.0,3.0,1657.0,1.0,3.0,503.8
2.0,5.0,237.9,1.0,5.0,447.3,1.0,5.0,797.4,1.0,5.0,95.9,1.0,4.0,1078.0,1.0,4.0,178.7
2.0,6.0,37.3,1.0,6.0,76.5,1.0,6.0,297.4,1.0,6.0,14.3,1.0,6.0,1046.0,1.0,5.0,955.2
3.0,2.0,57.1,3.0,1.0,259.0,2.0,1.0,366.8,2.0,1.0,19.0,2.0,1.0,1554.0,2.0,1.0,300.6
3.0,4.0,34.1,3.0,4.0,164.1,2.0,4.0,240.2,2.0,3.0,56.5,2.0,3.0,2456.0,2.0,3.0,700.0
3.0,5.0,418.1,3.0,5.0,884.6,2.0,5.0,1151.0,2.0,5.0,117.5,2.0,4.0,1503.0,2.0,4.0,171.9
3.0,6.0,105.3,3.0,6.0,342.1,2.0,6.0,471.8,2.0,6.0,17.7,2.0,6.0,1463.0,2.0,5.0,1011.0
4.0,2.0,6.5,4.0,1.0,33.2,4.0,1.0,154.6,3.0,1.0,110.8,3.0,1.0,2413.0,3.0,1.0,1091.0
4.0,3.0,19.8,4.0,3.0,87.6,4.0,2.0,194.5,3.0,2.0,123.5,3.0,2.0,3668.0,3.0,2.0,1127.0
4.0,5.0,126.8,4.0,5.0,328.3,4.0,5.0,772.8,3.0,5.0,423.9,3.0,4.0,2807.0,3.0,4.0,777.1
4.0,6.0,16.1,4.0,6.0,45.1,4.0,6.0,223.8,3.0,6.0,110.4,3.0,6.0,3314.0,3.0,5.0,2311.0
5.0,2.0,666.1,5.0,1.0,1104.0,5.0,1.0,1763.0,5.0,1.0,162.5,4.0,1.0,1151.0,4.0,1.0,141.6
5.0,3.0,792.8,5.0,3.0,1440.0,5.0,2.0,2132.0,5.0,2.0,177.3,4.0,2.0,1136.0,4.0,2.0,124.1
5.0,4.0,633.9,5.0,4.0,899.0,5.0,4.0,1719.0,5.0,3.0,450.2,4.0,3.0,1910.0,4.0,3.0,360.5
5.0,6.0,733.6,5.0,6.0,1050.0,5.0,6.0,1910.0,5.0,6.0,119.3,4.0,6.0,1004.0,4.0,5.0,563.7
6.0,2.0,85.8,6.0,1.0,183.2,6.0,1.0,603.3,6.0,1.0,19.3,6.0,1.0,1846.0,5.0,1.0,1572.0
6.0,3.0,203.7,6.0,3.0,396.9,6.0,2.0,790.5,6.0,2.0,19.5,6.0,2.0,1798.0,5.0,2.0,1608.0
6.0,4.0,57.0,6.0,4.0,110.9,6.0,4.0,521.0,6.0,3.0,65.7,6.0,3.0,2990.0,5.0,3.0,2292.0
6.0,5.0,550.2,6.0,5.0,1007.0,6.0,5.0,1563.0,6.0,5.0,87.3,6.0,4.0,1487.0,5.0,4.0,1250.0
