1,石田 貴洋,石田 貴洋.1,2,松田 隆司,松田 隆司.1,3,木山 誠一,木山 誠一.1,4,西川 真人,西川 真人.1,5,藤山 翔大,藤山 翔大.1,6,田中 辰彦,田中 辰彦.1
2.0,3.0,46.2,1.0,3.0,140.5,1.0,2.0,356.2,1.0,2.0,406.9,1.0,2.0,17.9,1.0,2.0,82.3
2.0,4.0,49.1,1.0,4.0,133.1,1.0,4.0,728.1,1.0,3.0,924.6,1.0,3.0,72.5,1.0,3.0,245.7
2.0,5.0,15.4,1.0,5.0,39.3,1.0,5.0,272.5,1.0,5.0,417.6,1.0,4.0,69.2,1.0,4.0,321.1
2.0,6.0,16.9,1.0,6.0,43.8,1.0,6.0,419.8,1.0,6.0,434.9,1.0,6.0,12.4,1.0,5.0,55.6
3.0,2.0,83.2,3.0,1.0,311.0,2.0,1.0,467.1,2.0,1.0,566.3,2.0,1.0,28.2,2.0,1.0,121.0
3.0,4.0,193.3,3.0,4.0,790.4,2.0,4.0,1132.0,2.0,3.0,1295.0,2.0,3.0,107.1,2.0,3.0,415.4
3.0,5.0,93.7,3.0,5.0,332.4,2.0,5.0,489.6,2.0,5.0,673.8,2.0,4.0,118.7,2.0,4.0,419.8
3.0,6.0,114.4,3.0,6.0,457.5,2.0,6.0,589.0,2.0,6.0,589.0,2.0,6.0,22.9,2.0,5.0,95.7
4.0,2.0,125.6,4.0,1.0,402.0,4.0,1.0,1242.0,3.0,1.0,1684.0,3.0,1.0,190.7,3.0,1.0,597.8
4.0,3.0,237.2,4.0,3.0,962.6,4.0,2.0,1329.0,3.0,2.0,1583.0,3.0,2.0,201.6,3.0,2.0,636.1
4.0,5.0,110.4,4.0,5.0,476.1,4.0,5.0,998.9,3.0,5.0,1517.0,3.0,4.0,409.0,3.0,4.0,853.1
4.0,6.0,116.5,4.0,6.0,493.2,4.0,6.0,1135.0,3.0,6.0,1790.0,3.0,6.0,141.2,3.0,5.0,470.5
5.0,2.0,15.9,5.0,1.0,60.4,5.0,1.0,372.6,5.0,1.0,425.6,4.0,1.0,165.1,4.0,1.0,726.8
5.0,3.0,63.9,5.0,3.0,242.4,5.0,2.0,461.2,5.0,2.0,490.8,4.0,2.0,202.6,4.0,2.0,799.9
5.0,4.0,59.7,5.0,4.0,292.3,5.0,4.0,955.7,5.0,3.0,1107.0,4.0,3.0,371.2,4.0,3.0,1290.0
5.0,6.0,17.8,5.0,6.0,67.2,5.0,6.0,384.5,5.0,6.0,282.7,4.0,6.0,106.4,4.0,5.0,418.5
6.0,2.0,33.7,6.0,1.0,116.2,6.0,1.0,644.3,6.0,1.0,578.7,6.0,1.0,9.8,5.0,1.0,40.5
6.0,3.0,121.5,6.0,3.0,436.9,6.0,2.0,738.9,6.0,2.0,627.0,6.0,2.0,12.1,5.0,2.0,49.1
6.0,4.0,102.1,6.0,4.0,414.1,6.0,4.0,1165.0,6.0,3.0,1320.0,6.0,3.0,44.6,5.0,3.0,164.4
6.0,5.0,33.5,6.0,5.0,102.0,6.0,5.0,563.1,6.0,5.0,389.7,6.0,4.0,41.8,5.0,4.0,172.4
