1,石丸 海渡,石丸 海渡.1,2,山口 達也,山口 達也.1,3,守田 俊介,守田 俊介.1,4,吉川 貴仁,吉川 貴仁.1,5,重成 一人,重成 一人.1,6,永井 彪也,永井 彪也.1
2.0,3.0,8.0,1.0,3.0,70.5,1.0,2.0,47.3,1.0,2.0,139.8,1.0,2.0,211.5,1.0,2.0,890.2
2.0,4.0,14.4,1.0,4.0,98.0,1.0,4.0,52.1,1.0,3.0,141.3,1.0,3.0,177.6,1.0,3.0,952.2
2.0,5.0,16.4,1.0,5.0,106.6,1.0,5.0,46.5,1.0,5.0,121.4,1.0,4.0,240.1,1.0,4.0,961.2
2.0,6.0,24.7,1.0,6.0,152.2,1.0,6.0,97.8,1.0,6.0,132.8,1.0,6.0,238.2,1.0,5.0,1026.0
3.0,2.0,7.8,3.0,1.0,152.2,2.0,1.0,126.4,2.0,1.0,300.3,2.0,1.0,568.1,2.0,1.0,1559.0
3.0,4.0,9.2,3.0,4.0,295.8,2.0,4.0,249.7,2.0,3.0,461.5,2.0,3.0,836.8,2.0,3.0,1927.0
3.0,5.0,9.9,3.0,5.0,341.4,2.0,5.0,240.0,2.0,5.0,497.0,2.0,4.0,1232.0,2.0,4.0,2044.0
3.0,6.0,26.1,3.0,6.0,526.5,2.0,6.0,453.9,2.0,6.0,483.2,2.0,6.0,933.4,2.0,5.0,2725.0
4.0,2.0,21.4,4.0,1.0,295.1,4.0,1.0,154.4,3.0,1.0,269.1,3.0,1.0,344.9,3.0,1.0,1357.0
4.0,3.0,17.5,4.0,3.0,455.1,4.0,2.0,263.3,3.0,2.0,472.3,3.0,2.0,732.5,3.0,2.0,1685.0
4.0,5.0,27.8,4.0,5.0,691.9,4.0,5.0,257.1,3.0,5.0,473.5,3.0,4.0,895.8,3.0,4.0,2347.0
4.0,6.0,38.5,4.0,6.0,610.5,4.0,6.0,388.7,3.0,6.0,580.1,3.0,6.0,793.8,3.0,5.0,2085.0
5.0,2.0,33.1,5.0,1.0,375.1,5.0,1.0,147.6,5.0,1.0,162.3,4.0,1.0,324.0,4.0,1.0,1347.0
5.0,3.0,23.9,5.0,3.0,614.7,5.0,2.0,289.6,5.0,2.0,328.8,4.0,2.0,597.2,4.0,2.0,1917.0
5.0,4.0,40.8,5.0,4.0,945.9,5.0,4.0,381.6,5.0,3.0,383.2,4.0,3.0,714.8,4.0,3.0,2644.0
5.0,6.0,44.9,5.0,6.0,762.4,5.0,6.0,389.5,5.0,6.0,192.1,4.0,6.0,360.7,4.0,5.0,1809.0
6.0,2.0,81.2,6.0,1.0,733.3,6.0,1.0,493.6,6.0,1.0,266.6,6.0,1.0,537.2,5.0,1.0,1466.0
6.0,3.0,80.6,6.0,3.0,1228.0,6.0,2.0,808.3,6.0,2.0,480.6,6.0,2.0,1042.0,5.0,2.0,2371.0
6.0,4.0,98.1,6.0,4.0,1143.0,6.0,4.0,862.2,6.0,3.0,730.3,6.0,3.0,1085.0,5.0,3.0,2324.0
6.0,5.0,88.7,6.0,5.0,1224.0,6.0,5.0,768.9,6.0,5.0,321.5,6.0,4.0,630.6,5.0,4.0,1986.0
