1,中辻 崇人,中辻 崇人.1,2,山本 英志,山本 英志.1,3,片岡 恵里,片岡 恵里.1,4,中村 泰平,中村 泰平.1,5,鈴木 秀茉,鈴木 秀茉.1,6,本村 大,本村 大.1
2.0,3.0,15.2,1.0,3.0,142.8,1.0,2.0,424.2,1.0,2.0,21.1,1.0,2.0,284.4,1.0,2.0,929.0
2.0,4.0,4.3,1.0,4.0,53.6,1.0,4.0,431.5,1.0,3.0,87.7,1.0,3.0,924.1,1.0,3.0,2035.0
2.0,5.0,22.8,1.0,5.0,160.8,1.0,5.0,933.9,1.0,5.0,25.3,1.0,4.0,178.4,1.0,4.0,704.2
2.0,6.0,32.3,1.0,6.0,198.4,1.0,6.0,1271.0,1.0,6.0,33.4,1.0,6.0,332.4,1.0,5.0,1419.0
3.0,2.0,37.8,3.0,1.0,491.7,2.0,1.0,646.0,2.0,1.0,53.1,2.0,1.0,619.9,2.0,1.0,1485.0
3.0,4.0,32.5,3.0,4.0,707.0,2.0,4.0,765.4,2.0,3.0,328.7,2.0,3.0,2271.0,2.0,3.0,3172.0
3.0,5.0,90.6,3.0,5.0,1146.0,2.0,5.0,1600.0,2.0,5.0,128.4,2.0,4.0,832.3,2.0,4.0,1700.0
3.0,6.0,130.8,3.0,6.0,1743.0,2.0,6.0,2173.0,2.0,6.0,119.5,2.0,6.0,924.1,2.0,5.0,3088.0
4.0,2.0,4.9,4.0,1.0,92.1,4.0,1.0,674.5,3.0,1.0,423.7,3.0,1.0,2551.0,3.0,1.0,3452.0
4.0,3.0,16.9,4.0,3.0,458.4,4.0,2.0,1100.0,3.0,2.0,701.4,3.0,2.0,3143.0,3.0,2.0,5102.0
4.0,5.0,11.1,4.0,5.0,365.6,4.0,5.0,1967.0,3.0,5.0,834.3,3.0,4.0,3290.0,3.0,4.0,4142.0
4.0,6.0,15.9,4.0,6.0,380.6,4.0,6.0,2515.0,3.0,6.0,878.0,3.0,6.0,4293.0,3.0,5.0,5868.0
5.0,2.0,51.4,5.0,1.0,653.2,5.0,1.0,2316.0,5.0,1.0,47.7,4.0,1.0,194.9,4.0,1.0,770.4
5.0,3.0,119.0,5.0,3.0,1485.0,5.0,2.0,2479.0,5.0,2.0,85.7,4.0,2.0,308.3,4.0,2.0,1571.0
5.0,4.0,42.9,5.0,4.0,886.9,5.0,4.0,2533.0,5.0,3.0,313.5,4.0,3.0,1189.0,4.0,3.0,3260.0
5.0,6.0,93.4,5.0,6.0,1354.0,5.0,6.0,3786.0,5.0,6.0,71.3,4.0,6.0,263.5,4.0,5.0,1370.0
6.0,2.0,104.1,6.0,1.0,886.9,6.0,1.0,2497.0,6.0,1.0,88.1,6.0,1.0,802.0,5.0,1.0,2146.0
6.0,3.0,244.1,6.0,3.0,2551.0,6.0,2.0,3290.0,6.0,2.0,160.1,6.0,2.0,1214.0,5.0,2.0,3556.0
6.0,4.0,83.0,6.0,4.0,1003.0,6.0,4.0,4242.0,6.0,3.0,471.9,6.0,3.0,3009.0,5.0,3.0,5030.0
6.0,5.0,155.1,6.0,5.0,1862.0,6.0,5.0,5679.0,6.0,5.0,131.6,6.0,4.0,818.8,5.0,4.0,1709.0
