1,高橋 竜矢,高橋 竜矢.1,2,塚越 海斗,塚越 海斗.1,3,大場 恒季,大場 恒季.1,4,一色 凌雅,一色 凌雅.1,5,小林 京平,小林 京平.1,6,生方 靖亜,生方 靖亜.1
2.0,3.0,8.8,1.0,3.0,100.1,1.0,2.0,52.2,1.0,2.0,190.3,1.0,2.0,448.5,1.0,2.0,945.5
2.0,4.0,17.9,1.0,4.0,177.9,1.0,4.0,28.8,1.0,3.0,122.2,1.0,3.0,305.3,1.0,3.0,546.4
2.0,5.0,41.7,1.0,5.0,339.2,1.0,5.0,53.0,1.0,5.0,205.1,1.0,4.0,419.8,1.0,4.0,873.3
2.0,6.0,45.9,1.0,6.0,340.1,1.0,6.0,55.8,1.0,6.0,154.9,1.0,6.0,459.2,1.0,5.0,1580.0
3.0,2.0,6.8,3.0,1.0,173.1,2.0,1.0,152.3,2.0,1.0,567.7,2.0,1.0,1146.0,2.0,1.0,1826.0
3.0,4.0,4.5,3.0,4.0,621.4,2.0,4.0,352.1,2.0,3.0,984.3,2.0,3.0,1826.0,2.0,3.0,2859.0
3.0,5.0,10.3,3.0,5.0,1130.0,2.0,5.0,742.4,2.0,5.0,1028.0,2.0,4.0,2213.0,2.0,4.0,3040.0
3.0,6.0,13.8,3.0,6.0,1081.0,2.0,6.0,674.6,2.0,6.0,1206.0,2.0,6.0,2052.0,2.0,5.0,4176.0
4.0,2.0,20.4,4.0,1.0,595.9,4.0,1.0,115.6,3.0,1.0,273.2,3.0,1.0,547.0,3.0,1.0,708.4
4.0,3.0,11.5,4.0,3.0,836.8,4.0,2.0,334.2,3.0,2.0,712.6,3.0,2.0,1554.0,3.0,2.0,2528.0
4.0,5.0,31.3,4.0,5.0,1559.0,4.0,5.0,373.8,3.0,5.0,683.2,3.0,4.0,1520.0,3.0,4.0,1968.0
4.0,6.0,25.4,4.0,6.0,1312.0,4.0,6.0,294.6,3.0,6.0,598.9,3.0,6.0,1524.0,3.0,5.0,3584.0
5.0,2.0,75.3,5.0,1.0,972.3,5.0,1.0,268.0,5.0,1.0,379.7,4.0,1.0,747.0,4.0,1.0,1421.0
5.0,3.0,33.8,5.0,3.0,1482.0,5.0,2.0,902.9,5.0,2.0,911.4,4.0,2.0,2097.0,4.0,2.0,3406.0
5.0,4.0,62.8,5.0,4.0,2514.0,5.0,4.0,609.5,5.0,3.0,721.2,4.0,3.0,1746.0,4.0,3.0,2928.0
5.0,6.0,83.9,5.0,6.0,2911.0,5.0,6.0,774.7,5.0,6.0,551.4,4.0,6.0,1270.0,4.0,5.0,3202.0
6.0,2.0,114.4,6.0,1.0,943.7,6.0,1.0,306.3,6.0,1.0,500.8,6.0,1.0,913.2,5.0,1.0,2144.0
6.0,3.0,56.9,6.0,3.0,2234.0,6.0,2.0,1053.0,6.0,2.0,1171.0,6.0,2.0,1473.0,5.0,2.0,3782.0
6.0,4.0,78.6,6.0,4.0,2366.0,6.0,4.0,615.8,6.0,3.0,899.5,6.0,3.0,1323.0,5.0,3.0,3099.0
6.0,5.0,135.3,6.0,5.0,3040.0,6.0,5.0,1111.0,6.0,5.0,914.9,6.0,4.0,1345.0,5.0,4.0,2825.0
