1,中村 辰也,中村 辰也.1,2,宗行 治哉,宗行 治哉.1,3,古川 誠之,古川 誠之.1,4,小林 甘寧,小林 甘寧.1,5,中渡 修作,中渡 修作.1,6,谷口 健一,谷口 健一.1
2.0,3.0,3.4,1.0,3.0,16.7,1.0,2.0,23.5,1.0,2.0,1512.0,1.0,2.0,204.7,1.0,2.0,1091.0
2.0,4.0,118.7,1.0,4.0,308.4,1.0,4.0,259.9,1.0,3.0,1630.0,1.0,3.0,197.8,1.0,3.0,1039.0
2.0,5.0,10.6,1.0,5.0,47.9,1.0,5.0,33.2,1.0,5.0,1891.0,1.0,4.0,945.8,1.0,4.0,4104.0
2.0,6.0,35.9,1.0,6.0,138.4,1.0,6.0,79.9,1.0,6.0,2769.0,1.0,6.0,407.5,1.0,5.0,1414.0
3.0,2.0,4.0,3.0,1.0,37.2,2.0,1.0,47.7,2.0,1.0,1939.0,2.0,1.0,340.2,2.0,1.0,1747.0
3.0,4.0,92.3,3.0,4.0,461.9,2.0,4.0,522.9,2.0,3.0,2357.0,2.0,3.0,471.4,2.0,3.0,1883.0
3.0,5.0,7.3,3.0,5.0,106.5,2.0,5.0,109.4,2.0,5.0,3004.0,2.0,4.0,2657.0,2.0,4.0,4738.0
3.0,6.0,23.9,3.0,6.0,253.5,2.0,6.0,266.0,2.0,6.0,3148.0,2.0,6.0,1008.0,2.0,5.0,2321.0
4.0,2.0,402.8,4.0,1.0,1126.0,4.0,1.0,1351.0,3.0,1.0,2703.0,3.0,1.0,285.3,3.0,1.0,1492.0
4.0,3.0,474.3,4.0,3.0,1497.0,4.0,2.0,1802.0,3.0,2.0,2736.0,3.0,2.0,432.8,3.0,2.0,1883.0
4.0,5.0,553.8,4.0,5.0,1891.0,4.0,5.0,1767.0,3.0,5.0,3482.0,3.0,4.0,2079.0,3.0,4.0,4838.0
4.0,6.0,768.6,4.0,6.0,2209.0,4.0,6.0,2357.0,3.0,6.0,4890.0,3.0,6.0,734.2,3.0,5.0,2333.0
5.0,2.0,26.9,5.0,1.0,191.4,5.0,1.0,118.5,5.0,1.0,3148.0,4.0,1.0,2345.0,4.0,1.0,6661.0
5.0,3.0,24.2,5.0,3.0,253.3,5.0,2.0,180.6,5.0,2.0,3084.0,4.0,2.0,3962.0,4.0,2.0,5605.0
5.0,4.0,310.3,5.0,4.0,1596.0,5.0,4.0,1068.0,5.0,3.0,4032.0,4.0,3.0,3928.0,4.0,3.0,7182.0
5.0,6.0,81.9,5.0,6.0,699.6,5.0,6.0,300.6,5.0,6.0,4178.0,4.0,6.0,3997.0,4.0,5.0,6759.0
6.0,2.0,141.6,6.0,1.0,742.5,6.0,1.0,408.9,6.0,1.0,4838.0,6.0,1.0,694.3,5.0,1.0,1838.0
6.0,3.0,121.2,6.0,3.0,859.1,6.0,2.0,579.6,6.0,2.0,2965.0,6.0,2.0,930.4,5.0,2.0,2147.0
6.0,4.0,683.0,6.0,4.0,2769.0,6.0,4.0,2108.0,6.0,3.0,5164.0,6.0,3.0,901.3,5.0,3.0,2089.0
6.0,5.0,179.2,6.0,5.0,1225.0,6.0,5.0,578.1,6.0,5.0,4996.0,6.0,4.0,2525.0,5.0,4.0,4462.0
