1,水谷 理人,水谷 理人.1,2,小林 孝彰,小林 孝彰.1,3,原田　才一郎,原田　才一郎.1,4,小宮 涼雅,小宮 涼雅.1,5,山下 大輝,山下 大輝.1,6,高井 駿弥,高井 駿弥.1
2.0,3.0,15.0,1.0,3.0,48.8,1.0,2.0,19.8,1.0,2.0,576.8,1.0,2.0,56.2,1.0,2.0,2085.0
2.0,4.0,79.9,1.0,4.0,195.9,1.0,4.0,35.0,1.0,3.0,342.3,1.0,3.0,28.2,1.0,3.0,1822.0
2.0,5.0,31.2,1.0,5.0,76.1,1.0,5.0,7.4,1.0,5.0,419.4,1.0,4.0,174.9,1.0,4.0,3675.0
2.0,6.0,171.0,1.0,6.0,432.0,1.0,6.0,79.6,1.0,6.0,930.8,1.0,6.0,138.5,1.0,5.0,2295.0
3.0,2.0,9.6,3.0,1.0,64.7,2.0,1.0,52.9,2.0,1.0,905.5,2.0,1.0,104.4,2.0,1.0,2911.0
3.0,4.0,23.7,3.0,4.0,257.7,2.0,4.0,156.9,2.0,3.0,934.8,2.0,3.0,100.6,2.0,3.0,4092.0
3.0,5.0,6.6,3.0,5.0,101.6,2.0,5.0,48.6,2.0,5.0,1068.0,2.0,4.0,459.0,2.0,4.0,5289.0
3.0,6.0,71.7,3.0,6.0,677.7,2.0,6.0,349.2,2.0,6.0,1869.0,2.0,6.0,367.9,2.0,5.0,3907.0
4.0,2.0,164.4,4.0,1.0,461.4,4.0,1.0,80.5,3.0,1.0,388.3,3.0,1.0,29.9,3.0,1.0,1936.0
4.0,3.0,103.3,4.0,3.0,507.9,4.0,2.0,158.0,3.0,2.0,771.8,3.0,2.0,61.7,3.0,2.0,3336.0
4.0,5.0,153.1,4.0,5.0,675.6,4.0,5.0,67.8,3.0,5.0,329.8,3.0,4.0,147.9,3.0,4.0,4131.0
4.0,6.0,424.0,4.0,6.0,1636.0,4.0,6.0,262.8,3.0,6.0,1115.0,3.0,6.0,141.1,3.0,5.0,1869.0
5.0,2.0,32.3,5.0,1.0,155.0,5.0,1.0,14.2,5.0,1.0,411.9,4.0,1.0,372.6,4.0,1.0,4518.0
5.0,3.0,15.3,5.0,3.0,156.1,5.0,2.0,30.2,5.0,2.0,694.0,4.0,2.0,592.5,4.0,2.0,4819.0
5.0,4.0,95.4,5.0,4.0,603.2,5.0,4.0,52.2,5.0,3.0,339.9,4.0,3.0,280.5,4.0,3.0,4714.0
5.0,6.0,144.8,5.0,6.0,907.4,5.0,6.0,79.2,5.0,6.0,911.2,4.0,6.0,724.1,4.0,5.0,5289.0
6.0,2.0,565.5,6.0,1.0,1117.0,6.0,1.0,366.0,6.0,1.0,1953.0,6.0,1.0,268.2,5.0,1.0,2157.0
6.0,3.0,398.3,6.0,3.0,1694.0,6.0,2.0,617.0,6.0,2.0,2628.0,6.0,2.0,434.6,5.0,2.0,2872.0
6.0,4.0,869.2,6.0,4.0,2970.0,6.0,4.0,691.7,6.0,3.0,2396.0,6.0,3.0,306.7,5.0,3.0,1749.0
6.0,5.0,512.7,6.0,5.0,1756.0,6.0,5.0,330.1,6.0,5.0,2409.0,6.0,4.0,862.3,5.0,4.0,4426.0
