1,大峯 豊,大峯 豊.1,2,早川 尚人,早川 尚人.1,3,若林 義人,若林 義人.1,4,川上 昇平,川上 昇平.1,5,濱崎 直矢,濱崎 直矢.1,6,杉山 正樹,杉山 正樹.1
2.0,3.0,23.6,1.0,3.0,233.9,1.0,2.0,46.9,1.0,2.0,485.9,1.0,2.0,337.5,1.0,2.0,424.0
2.0,4.0,53.2,1.0,4.0,478.1,1.0,4.0,42.0,1.0,3.0,258.6,1.0,3.0,120.9,1.0,3.0,149.7
2.0,5.0,47.1,1.0,5.0,435.7,1.0,5.0,19.4,1.0,5.0,291.5,1.0,4.0,391.7,1.0,4.0,412.3
2.0,6.0,46.3,1.0,6.0,425.1,1.0,6.0,17.6,1.0,6.0,242.4,1.0,6.0,143.6,1.0,5.0,264.4
3.0,2.0,12.3,3.0,1.0,367.6,2.0,1.0,164.4,2.0,1.0,871.5,2.0,1.0,880.9,2.0,1.0,817.5
3.0,4.0,13.7,3.0,4.0,838.3,2.0,4.0,362.8,2.0,3.0,1105.0,2.0,3.0,1193.0,2.0,3.0,838.3
3.0,5.0,5.7,3.0,5.0,805.5,2.0,5.0,294.9,2.0,5.0,1109.0,2.0,4.0,2125.0,2.0,4.0,1344.0
3.0,6.0,6.5,3.0,6.0,607.8,2.0,6.0,203.4,2.0,6.0,853.5,2.0,6.0,966.1,2.0,5.0,1312.0
4.0,2.0,68.8,4.0,1.0,803.5,4.0,1.0,114.6,3.0,1.0,347.1,3.0,1.0,200.2,3.0,1.0,196.9
4.0,3.0,36.8,4.0,3.0,1128.0,4.0,2.0,301.1,3.0,2.0,849.1,3.0,2.0,730.5,3.0,2.0,716.2
4.0,5.0,50.4,4.0,5.0,1390.0,4.0,5.0,138.9,3.0,5.0,472.6,3.0,4.0,645.9,3.0,4.0,517.2
4.0,6.0,43.5,4.0,6.0,1344.0,4.0,6.0,114.3,3.0,6.0,359.6,3.0,6.0,205.2,3.0,5.0,302.5
5.0,2.0,65.2,5.0,1.0,938.6,5.0,1.0,49.4,5.0,1.0,373.9,4.0,1.0,527.9,4.0,1.0,699.4
5.0,3.0,18.1,5.0,3.0,1220.0,5.0,2.0,252.0,5.0,2.0,892.8,4.0,2.0,1457.0,4.0,2.0,1355.0
5.0,4.0,76.0,5.0,4.0,2226.0,5.0,4.0,146.9,5.0,3.0,590.4,4.0,3.0,836.1,4.0,3.0,805.5
5.0,6.0,28.4,5.0,6.0,1591.0,5.0,6.0,54.2,5.0,6.0,314.6,4.0,6.0,513.1,4.0,5.0,910.1
6.0,2.0,72.3,6.0,1.0,1238.0,6.0,1.0,61.6,6.0,1.0,383.0,6.0,1.0,275.4,5.0,1.0,354.6
6.0,3.0,25.5,6.0,3.0,1215.0,6.0,2.0,228.6,6.0,2.0,869.2,6.0,2.0,910.1,5.0,2.0,1247.0
6.0,4.0,71.0,6.0,4.0,1663.0,6.0,4.0,139.1,6.0,3.0,472.0,6.0,3.0,298.1,5.0,3.0,376.0
6.0,5.0,40.5,6.0,5.0,1961.0,6.0,5.0,72.4,6.0,5.0,387.1,6.0,4.0,600.1,5.0,4.0,795.7
