1,上田 龍星,上田 龍星.1,2,佐藤 悠,佐藤 悠.1,3,大澤 大夢,大澤 大夢.1,4,池田 雄祐,池田 雄祐.1,5,木幡 純也,木幡 純也.1,6,吉原 快誓,吉原 快誓.1
2.0,3.0,13.3,1.0,3.0,136.0,1.0,2.0,323.3,1.0,2.0,14.9,1.0,2.0,379.0,1.0,2.0,4462.0
2.0,4.0,5.3,1.0,4.0,41.3,1.0,4.0,171.9,1.0,3.0,33.1,1.0,3.0,694.5,1.0,3.0,4353.0
2.0,5.0,31.2,1.0,5.0,194.4,1.0,5.0,325.7,1.0,5.0,19.6,1.0,4.0,268.4,1.0,4.0,3368.0
2.0,6.0,261.7,1.0,6.0,756.4,1.0,6.0,1475.0,1.0,6.0,217.9,1.0,6.0,1239.0,1.0,5.0,5409.0
3.0,2.0,19.8,3.0,1.0,334.2,2.0,1.0,435.3,2.0,1.0,35.5,2.0,1.0,628.5,2.0,1.0,4958.0
3.0,4.0,12.9,3.0,4.0,389.7,2.0,4.0,467.3,2.0,3.0,126.2,2.0,3.0,1122.0,2.0,3.0,7140.0
3.0,5.0,35.6,3.0,5.0,782.9,2.0,5.0,834.1,2.0,5.0,62.4,2.0,4.0,552.6,2.0,4.0,7437.0
3.0,6.0,435.3,3.0,6.0,4151.0,2.0,6.0,3077.0,2.0,6.0,448.5,2.0,6.0,1652.0,2.0,5.0,8114.0
4.0,2.0,4.8,4.0,1.0,68.7,4.0,1.0,267.6,3.0,1.0,116.4,3.0,1.0,1716.0,3.0,1.0,5250.0
4.0,3.0,9.1,4.0,3.0,288.8,4.0,2.0,534.4,3.0,2.0,233.6,3.0,2.0,2231.0,3.0,2.0,6865.0
4.0,5.0,11.5,4.0,5.0,277.6,4.0,5.0,591.0,3.0,5.0,207.3,3.0,4.0,1652.0,3.0,4.0,6611.0
4.0,6.0,202.6,4.0,6.0,1088.0,4.0,6.0,2514.0,3.0,6.0,1565.0,3.0,6.0,4462.0,3.0,5.0,8925.0
5.0,2.0,69.1,5.0,1.0,514.4,5.0,1.0,879.3,5.0,1.0,31.6,4.0,1.0,218.2,4.0,1.0,4697.0
5.0,3.0,101.0,5.0,3.0,1008.0,5.0,2.0,1383.0,5.0,2.0,56.3,4.0,2.0,286.5,4.0,2.0,6865.0
5.0,4.0,50.2,5.0,4.0,511.4,5.0,4.0,1373.0,5.0,3.0,148.1,4.0,3.0,700.0,4.0,3.0,8925.0
5.0,6.0,581.4,5.0,6.0,1716.0,5.0,6.0,4250.0,5.0,6.0,291.2,4.0,6.0,1101.0,4.0,5.0,7761.0
6.0,2.0,1362.0,6.0,1.0,3131.0,6.0,1.0,5578.0,6.0,1.0,964.9,6.0,1.0,5100.0,5.0,1.0,4697.0
6.0,3.0,986.2,6.0,3.0,4353.0,6.0,2.0,5100.0,6.0,2.0,1137.0,6.0,2.0,7437.0,5.0,2.0,8114.0
6.0,4.0,975.4,6.0,4.0,4697.0,6.0,4.0,3187.0,6.0,3.0,1700.0,6.0,3.0,6375.0,5.0,3.0,9999.0
6.0,5.0,1525.0,6.0,5.0,3500.0,6.0,5.0,3718.0,6.0,5.0,883.7,6.0,4.0,6611.0,5.0,4.0,9999.0
