1,塚越 海斗,塚越 海斗.1,2,川辺 郭人,川辺 郭人.1,3,篠原 飛翔,篠原 飛翔.1,4,坂本 雄紀,坂本 雄紀.1,5,原田　才一郎,原田　才一郎.1,6,浦野 海,浦野 海.1
2.0,3.0,109.3,1.0,3.0,423.7,1.0,2.0,327.4,1.0,2.0,374.8,1.0,2.0,74.2,1.0,2.0,639.3
2.0,4.0,148.8,1.0,4.0,574.5,1.0,4.0,97.5,1.0,3.0,190.5,1.0,3.0,21.1,1.0,3.0,380.7
2.0,5.0,85.2,1.0,5.0,301.3,1.0,5.0,46.8,1.0,5.0,71.6,1.0,4.0,21.8,1.0,4.0,388.0
2.0,6.0,163.4,1.0,6.0,740.5,1.0,6.0,108.8,1.0,6.0,144.7,1.0,6.0,20.1,1.0,5.0,190.4
3.0,2.0,81.0,3.0,1.0,498.7,2.0,1.0,626.8,2.0,1.0,844.7,2.0,1.0,190.5,2.0,1.0,1060.0
3.0,4.0,34.3,3.0,4.0,1065.0,2.0,4.0,773.0,2.0,3.0,1028.0,2.0,3.0,171.1,2.0,3.0,1262.0
3.0,5.0,15.0,3.0,5.0,497.7,2.0,5.0,424.4,2.0,5.0,601.6,2.0,4.0,268.6,2.0,4.0,1364.0
3.0,6.0,46.5,3.0,6.0,1104.0,2.0,6.0,759.2,2.0,6.0,831.0,2.0,6.0,134.1,2.0,5.0,770.7
4.0,2.0,137.5,4.0,1.0,882.7,4.0,1.0,184.9,3.0,1.0,276.1,3.0,1.0,39.8,3.0,1.0,547.4
4.0,3.0,59.1,4.0,3.0,1483.0,4.0,2.0,624.5,3.0,2.0,799.7,3.0,2.0,153.7,3.0,2.0,1144.0
4.0,5.0,28.5,4.0,5.0,861.8,4.0,5.0,97.5,3.0,5.0,142.2,3.0,4.0,47.8,3.0,4.0,561.3
4.0,6.0,84.3,4.0,6.0,1449.0,4.0,6.0,188.0,3.0,6.0,248.6,3.0,6.0,29.6,3.0,5.0,242.5
5.0,2.0,50.9,5.0,1.0,343.1,5.0,1.0,53.4,5.0,1.0,50.6,4.0,1.0,31.2,4.0,1.0,485.4
5.0,3.0,12.6,5.0,3.0,472.8,5.0,2.0,232.0,5.0,2.0,244.1,4.0,2.0,148.9,4.0,2.0,1109.0
5.0,4.0,16.4,5.0,4.0,715.6,5.0,4.0,65.5,5.0,3.0,87.3,4.0,3.0,44.4,4.0,3.0,531.4
5.0,6.0,20.9,5.0,6.0,561.3,5.0,6.0,52.3,5.0,6.0,42.7,4.0,6.0,23.2,4.0,5.0,178.2
6.0,2.0,241.2,6.0,1.0,1167.0,6.0,1.0,248.2,6.0,1.0,242.1,6.0,1.0,27.6,5.0,1.0,146.7
6.0,3.0,93.0,6.0,3.0,1353.0,6.0,2.0,630.6,6.0,2.0,635.4,6.0,2.0,92.6,5.0,2.0,363.9
6.0,4.0,154.8,6.0,4.0,1700.0,6.0,4.0,260.7,6.0,3.0,278.3,6.0,3.0,29.2,5.0,3.0,152.9
6.0,5.0,66.1,6.0,5.0,917.6,6.0,5.0,123.0,6.0,5.0,104.7,6.0,4.0,23.8,5.0,4.0,119.0
