1,松尾 昂明,松尾 昂明.1,2,宮野 仁,宮野 仁.1,3,下田 哲也,下田 哲也.1,4,新田 智彰,新田 智彰.1,5,川原 正明,川原 正明.1,6,宮武 英司,宮武 英司.1
2.0,3.0,18.4,1.0,3.0,123.7,1.0,2.0,137.7,1.0,2.0,154.4,1.0,2.0,198.6,1.0,2.0,481.4
2.0,4.0,33.0,1.0,4.0,152.1,1.0,4.0,43.8,1.0,3.0,67.9,1.0,3.0,112.6,1.0,3.0,413.6
2.0,5.0,46.7,1.0,5.0,181.0,1.0,5.0,50.3,1.0,5.0,47.3,1.0,4.0,104.3,1.0,4.0,403.0
2.0,6.0,46.5,1.0,6.0,211.9,1.0,6.0,75.8,1.0,6.0,69.0,1.0,6.0,107.1,1.0,5.0,455.4
3.0,2.0,16.4,3.0,1.0,318.9,2.0,1.0,359.0,2.0,1.0,473.1,2.0,1.0,509.0,2.0,1.0,1062.0
3.0,4.0,8.6,3.0,4.0,645.4,2.0,4.0,617.0,2.0,3.0,786.1,2.0,3.0,836.0,2.0,3.0,1803.0
3.0,5.0,11.4,3.0,5.0,716.5,2.0,5.0,653.4,2.0,5.0,673.6,2.0,4.0,1018.0,2.0,4.0,1889.0
3.0,6.0,16.1,3.0,6.0,742.6,2.0,6.0,605.2,2.0,6.0,611.6,2.0,6.0,750.5,2.0,5.0,1539.0
4.0,2.0,31.1,4.0,1.0,427.6,4.0,1.0,69.1,3.0,1.0,111.5,3.0,1.0,216.1,3.0,1.0,679.4
4.0,3.0,11.0,4.0,3.0,895.3,4.0,2.0,390.1,3.0,2.0,521.6,3.0,2.0,722.2,3.0,2.0,1648.0
4.0,5.0,13.9,4.0,5.0,921.5,4.0,5.0,72.0,3.0,5.0,112.3,3.0,4.0,282.9,3.0,4.0,886.5
4.0,6.0,20.8,4.0,6.0,871.8,4.0,6.0,104.6,3.0,6.0,163.4,3.0,6.0,347.0,3.0,5.0,975.6
5.0,2.0,54.0,5.0,1.0,530.9,5.0,1.0,110.2,5.0,1.0,65.7,4.0,1.0,145.5,4.0,1.0,571.2
5.0,3.0,22.9,5.0,3.0,966.6,5.0,2.0,502.5,5.0,2.0,321.5,4.0,2.0,566.1,4.0,2.0,1594.0
5.0,4.0,27.4,5.0,4.0,1323.0,5.0,4.0,115.8,5.0,3.0,132.3,4.0,3.0,245.2,4.0,3.0,929.6
5.0,6.0,35.5,5.0,6.0,1080.0,5.0,6.0,160.9,5.0,6.0,74.3,4.0,6.0,162.9,4.0,5.0,492.3
6.0,2.0,97.3,6.0,1.0,682.4,6.0,1.0,276.6,6.0,1.0,137.9,6.0,1.0,221.9,5.0,1.0,631.8
6.0,3.0,54.6,6.0,3.0,1363.0,6.0,2.0,760.5,6.0,2.0,467.9,6.0,2.0,607.5,5.0,2.0,1235.0
6.0,4.0,61.9,6.0,4.0,1412.0,6.0,4.0,309.2,6.0,3.0,269.9,6.0,3.0,382.3,5.0,3.0,933.7
6.0,5.0,74.5,6.0,5.0,1506.0,6.0,5.0,334.8,6.0,5.0,132.5,6.0,4.0,249.2,5.0,4.0,501.3
