1,坂本 奈央,坂本 奈央.1,2,犬童 千秋,犬童 千秋.1,3,渡邉　真奈美,渡邉　真奈美.1,4,北村 寧々,北村 寧々.1,5,大橋　栄里佳,大橋　栄里佳.1,6,佐藤　ほのか,佐藤　ほのか.1
2.0,3.0,56.8,1.0,3.0,72.0,1.0,2.0,111.4,1.0,2.0,117.2,1.0,2.0,302.4,1.0,2.0,197.2
2.0,4.0,55.5,1.0,4.0,71.2,1.0,4.0,158.3,1.0,3.0,240.3,1.0,3.0,416.5,1.0,3.0,271.5
2.0,5.0,99.0,1.0,5.0,120.7,1.0,5.0,193.2,1.0,5.0,153.7,1.0,4.0,353.7,1.0,4.0,321.3
2.0,6.0,142.0,1.0,6.0,144.7,1.0,6.0,171.9,1.0,6.0,244.1,1.0,6.0,427.5,1.0,5.0,434.4
3.0,2.0,90.6,3.0,1.0,71.0,2.0,1.0,73.1,2.0,1.0,91.8,2.0,1.0,246.4,2.0,1.0,163.0
3.0,4.0,125.1,3.0,4.0,18.8,2.0,4.0,31.7,2.0,3.0,39.4,2.0,3.0,121.9,2.0,3.0,71.7
3.0,5.0,170.4,3.0,5.0,27.6,2.0,5.0,39.4,2.0,5.0,32.3,2.0,4.0,85.6,2.0,4.0,65.5
3.0,6.0,203.6,3.0,6.0,41.5,2.0,6.0,36.1,2.0,6.0,47.8,2.0,6.0,128.5,2.0,5.0,97.0
4.0,2.0,91.9,4.0,1.0,60.7,4.0,1.0,149.1,3.0,1.0,241.2,3.0,1.0,392.8,3.0,1.0,264.1
4.0,3.0,149.1,4.0,3.0,21.4,4.0,2.0,47.1,3.0,2.0,63.2,3.0,2.0,134.7,3.0,2.0,89.8
4.0,5.0,127.2,4.0,5.0,20.6,4.0,5.0,64.1,3.0,5.0,94.9,3.0,4.0,179.1,3.0,4.0,121.1
4.0,6.0,208.7,4.0,6.0,31.6,4.0,6.0,66.5,3.0,6.0,120.3,3.0,6.0,208.2,3.0,5.0,151.4
5.0,2.0,202.1,5.0,1.0,138.2,5.0,1.0,196.5,5.0,1.0,102.1,4.0,1.0,227.2,4.0,1.0,315.0
5.0,3.0,283.3,5.0,3.0,52.6,5.0,2.0,71.3,5.0,2.0,35.4,4.0,2.0,79.9,4.0,2.0,96.9
5.0,4.0,225.9,5.0,4.0,40.5,5.0,4.0,93.7,5.0,3.0,72.9,4.0,3.0,148.1,4.0,3.0,147.1
5.0,6.0,370.0,5.0,6.0,71.3,5.0,6.0,89.1,5.0,6.0,45.7,4.0,6.0,105.4,4.0,5.0,151.3
6.0,2.0,299.8,6.0,1.0,189.5,6.0,1.0,218.0,6.0,1.0,231.5,6.0,1.0,435.2,5.0,1.0,453.1
6.0,3.0,384.7,6.0,3.0,79.1,6.0,2.0,65.7,6.0,2.0,75.0,6.0,2.0,183.6,5.0,2.0,153.8
6.0,4.0,401.9,6.0,4.0,68.7,6.0,4.0,91.8,6.0,3.0,141.1,6.0,3.0,231.1,5.0,3.0,189.2
6.0,5.0,507.3,6.0,5.0,103.6,6.0,5.0,105.7,6.0,5.0,89.2,6.0,4.0,162.3,5.0,4.0,176.3
