1,竹之内 極,竹之内 極.1,2,戸敷 晃美,戸敷 晃美.1,3,原田　才一郎,原田　才一郎.1,4,倉尾 大介,倉尾 大介.1,5,池永 太,池永 太.1,6,今井 貴士,今井 貴士.1
2.0,3.0,22.0,1.0,3.0,56.7,1.0,2.0,74.5,1.0,2.0,467.2,1.0,2.0,101.5,1.0,2.0,258.3
2.0,4.0,62.6,1.0,4.0,134.5,1.0,4.0,96.4,1.0,3.0,475.1,1.0,3.0,49.1,1.0,3.0,160.6
2.0,5.0,26.5,1.0,5.0,60.0,1.0,5.0,24.3,1.0,5.0,340.5,1.0,4.0,158.3,1.0,4.0,360.1
2.0,6.0,41.8,1.0,6.0,81.6,1.0,6.0,36.5,1.0,6.0,337.4,1.0,6.0,37.4,1.0,5.0,99.2
3.0,2.0,20.1,3.0,1.0,118.0,2.0,1.0,133.9,2.0,1.0,676.9,2.0,1.0,194.5,2.0,1.0,546.8
3.0,4.0,32.7,3.0,4.0,345.2,2.0,4.0,316.5,2.0,3.0,1129.0,2.0,3.0,222.7,2.0,3.0,585.2
3.0,5.0,10.3,3.0,5.0,111.3,2.0,5.0,94.0,2.0,5.0,785.8,2.0,4.0,491.8,2.0,4.0,981.4
3.0,6.0,14.3,3.0,6.0,176.8,2.0,6.0,168.4,2.0,6.0,791.3,2.0,6.0,162.8,2.0,5.0,413.9
4.0,2.0,106.8,4.0,1.0,399.2,4.0,1.0,238.5,3.0,1.0,636.6,3.0,1.0,70.7,3.0,1.0,212.0
4.0,3.0,95.4,4.0,3.0,602.5,4.0,2.0,369.0,3.0,2.0,1035.0,3.0,2.0,175.0,3.0,2.0,448.6
4.0,5.0,84.5,4.0,5.0,493.9,4.0,5.0,143.7,3.0,5.0,361.3,3.0,4.0,226.7,3.0,4.0,525.1
4.0,6.0,95.6,4.0,6.0,586.8,4.0,6.0,216.9,3.0,6.0,531.3,3.0,6.0,50.0,3.0,5.0,113.9
5.0,2.0,34.4,5.0,1.0,146.3,5.0,1.0,41.9,5.0,1.0,357.8,4.0,1.0,314.3,4.0,1.0,659.1
5.0,3.0,15.3,5.0,3.0,162.5,5.0,2.0,106.6,5.0,2.0,612.4,4.0,2.0,536.4,4.0,2.0,994.4
5.0,4.0,66.2,5.0,4.0,427.2,5.0,4.0,115.3,5.0,3.0,415.4,4.0,3.0,369.0,4.0,3.0,754.2
5.0,6.0,17.8,5.0,6.0,180.2,5.0,6.0,33.7,5.0,6.0,215.4,4.0,6.0,183.0,4.0,5.0,361.9
6.0,2.0,72.4,6.0,1.0,256.8,6.0,1.0,97.5,6.0,1.0,523.9,6.0,1.0,48.4,5.0,1.0,94.9
6.0,3.0,47.3,6.0,3.0,351.1,6.0,2.0,212.8,6.0,2.0,928.7,6.0,2.0,110.4,5.0,2.0,232.6
6.0,4.0,122.1,6.0,4.0,700.1,6.0,4.0,231.7,6.0,3.0,573.3,6.0,3.0,45.0,5.0,3.0,91.6
6.0,5.0,41.6,6.0,5.0,248.0,6.0,5.0,61.3,6.0,5.0,317.0,6.0,4.0,130.1,5.0,4.0,222.3
