1,木下 大將,木下 大將.1,2,大庭 元明,大庭 元明.1,3,中尾 彩香,中尾 彩香.1,4,岡崎 恭裕,岡崎 恭裕.1,5,小林 文彦,小林 文彦.1,6,小川 晃司,小川 晃司.1
2.0,3.0,34.4,1.0,3.0,147.6,1.0,2.0,457.9,1.0,2.0,16.8,1.0,2.0,282.9,1.0,2.0,1037.0
2.0,4.0,6.1,1.0,4.0,34.8,1.0,4.0,394.2,1.0,3.0,90.3,1.0,3.0,693.6,1.0,3.0,2285.0
2.0,5.0,22.2,1.0,5.0,83.7,1.0,5.0,663.5,1.0,5.0,18.6,1.0,4.0,179.4,1.0,4.0,592.8
2.0,6.0,28.3,1.0,6.0,127.4,1.0,6.0,902.8,1.0,6.0,29.6,1.0,6.0,331.0,1.0,5.0,1403.0
3.0,2.0,80.9,3.0,1.0,380.5,2.0,1.0,703.9,2.0,1.0,37.1,2.0,1.0,517.5,2.0,1.0,1592.0
3.0,4.0,54.1,3.0,4.0,428.1,2.0,4.0,942.4,2.0,3.0,246.7,2.0,3.0,1636.0,2.0,3.0,4340.0
3.0,5.0,125.2,3.0,5.0,604.1,2.0,5.0,1310.0,2.0,5.0,59.7,2.0,4.0,450.9,2.0,4.0,1278.0
3.0,6.0,161.5,3.0,6.0,951.8,2.0,6.0,1855.0,2.0,6.0,86.3,2.0,6.0,860.1,2.0,5.0,2975.0
4.0,2.0,5.7,4.0,1.0,48.3,4.0,1.0,518.7,3.0,1.0,398.8,3.0,1.0,1938.0,3.0,1.0,3175.0
4.0,3.0,26.0,4.0,3.0,222.4,4.0,2.0,827.0,3.0,2.0,606.5,3.0,2.0,2599.0,3.0,2.0,5913.0
4.0,5.0,9.3,4.0,5.0,89.1,4.0,5.0,906.2,3.0,5.0,595.8,3.0,4.0,2307.0,3.0,4.0,4262.0
4.0,6.0,13.2,4.0,6.0,136.5,4.0,6.0,894.3,3.0,6.0,477.8,3.0,6.0,2832.0,3.0,5.0,5375.0
5.0,2.0,52.6,5.0,1.0,265.7,5.0,1.0,1200.0,5.0,1.0,32.4,4.0,1.0,185.1,4.0,1.0,681.6
5.0,3.0,142.0,5.0,3.0,720.0,5.0,2.0,1899.0,5.0,2.0,53.3,4.0,2.0,309.0,4.0,2.0,1153.0
5.0,4.0,37.2,5.0,4.0,252.4,5.0,4.0,1732.0,5.0,3.0,243.4,4.0,3.0,1042.0,4.0,3.0,2703.0
5.0,6.0,83.3,5.0,6.0,614.3,5.0,6.0,2330.0,5.0,6.0,50.4,4.0,6.0,258.6,4.0,5.0,1019.0
6.0,2.0,120.0,6.0,1.0,618.4,6.0,1.0,2102.0,6.0,1.0,81.4,6.0,1.0,840.2,5.0,1.0,1840.0
6.0,3.0,307.5,6.0,3.0,1598.0,6.0,2.0,2426.0,6.0,2.0,134.7,6.0,2.0,1271.0,5.0,2.0,3428.0
6.0,4.0,72.1,6.0,4.0,507.0,6.0,4.0,2150.0,6.0,3.0,402.6,6.0,3.0,2782.0,5.0,3.0,4979.0
6.0,5.0,157.6,6.0,5.0,1019.0,6.0,5.0,3262.0,6.0,5.0,102.2,6.0,4.0,655.2,5.0,4.0,1317.0
