1,永松 良教,永松 良教.1,2,大森 翼,大森 翼.1,3,藤本 元輝,藤本 元輝.1,4,村松 栄太,村松 栄太.1,5,中島 航,中島 航.1,6,森清 友翔,森清 友翔.1
2.0,3.0,29.5,1.0,3.0,54.7,1.0,2.0,100.4,1.0,2.0,66.1,1.0,2.0,51.6,1.0,2.0,1003.0
2.0,4.0,25.2,1.0,4.0,38.2,1.0,4.0,81.0,1.0,3.0,89.4,1.0,3.0,100.7,1.0,3.0,840.0
2.0,5.0,23.3,1.0,5.0,33.6,1.0,5.0,70.4,1.0,5.0,32.0,1.0,4.0,37.5,1.0,4.0,918.3
2.0,6.0,95.8,1.0,6.0,139.8,1.0,6.0,264.9,1.0,6.0,105.1,1.0,6.0,146.6,1.0,5.0,555.7
3.0,2.0,28.4,3.0,1.0,105.7,2.0,1.0,175.9,2.0,1.0,84.2,2.0,1.0,70.7,2.0,1.0,967.5
3.0,4.0,24.0,3.0,4.0,115.1,2.0,4.0,132.6,2.0,3.0,139.1,2.0,3.0,158.6,2.0,3.0,1617.0
3.0,5.0,24.6,3.0,5.0,93.8,2.0,5.0,111.8,2.0,5.0,65.2,2.0,4.0,93.8,2.0,4.0,1022.0
3.0,6.0,89.0,3.0,6.0,278.5,2.0,6.0,348.4,2.0,6.0,144.3,2.0,6.0,238.7,2.0,5.0,1152.0
4.0,2.0,33.1,4.0,1.0,67.3,4.0,1.0,122.7,3.0,1.0,132.8,3.0,1.0,175.0,3.0,1.0,967.5
4.0,3.0,32.8,4.0,3.0,110.8,4.0,2.0,134.9,3.0,2.0,184.6,3.0,2.0,217.1,3.0,2.0,1868.0
4.0,5.0,20.6,4.0,5.0,56.4,4.0,5.0,71.4,3.0,5.0,83.2,3.0,4.0,133.9,3.0,4.0,796.8
4.0,6.0,68.5,4.0,6.0,145.2,4.0,6.0,193.1,3.0,6.0,181.2,3.0,6.0,285.1,3.0,5.0,959.0
5.0,2.0,39.8,5.0,1.0,67.5,5.0,1.0,120.8,5.0,1.0,28.5,4.0,1.0,40.3,4.0,1.0,694.6
5.0,3.0,43.2,5.0,3.0,101.4,5.0,2.0,123.5,5.0,2.0,44.6,4.0,2.0,66.2,4.0,2.0,796.8
5.0,4.0,27.5,5.0,4.0,73.5,5.0,4.0,82.8,5.0,3.0,57.1,4.0,3.0,86.0,4.0,3.0,685.8
5.0,6.0,75.0,5.0,6.0,167.2,5.0,6.0,198.4,5.0,6.0,44.5,4.0,6.0,75.4,4.0,5.0,430.0
6.0,2.0,290.5,6.0,1.0,335.5,6.0,1.0,595.4,6.0,1.0,174.2,6.0,1.0,318.7,5.0,1.0,690.2
6.0,3.0,274.3,6.0,3.0,412.0,6.0,2.0,573.3,6.0,2.0,206.0,6.0,2.0,391.2,5.0,2.0,1152.0
6.0,4.0,241.3,6.0,4.0,274.3,6.0,4.0,384.2,6.0,3.0,238.7,6.0,3.0,402.8,5.0,3.0,888.2
6.0,5.0,231.0,6.0,5.0,330.3,6.0,5.0,394.0,6.0,5.0,120.4,6.0,4.0,215.4,5.0,4.0,430.0
