1,杉江 浩明,杉江 浩明.1,2,近藤 友宝,近藤 友宝.1,3,大塚 雅治,大塚 雅治.1,4,中島 昂章,中島 昂章.1,5,中田 友也,中田 友也.1,6,澤崎 雄哉,澤崎 雄哉.1
2.0,3.0,17.9,1.0,3.0,49.9,1.0,2.0,77.8,1.0,2.0,44.4,1.0,2.0,259.5,1.0,2.0,635.3
2.0,4.0,17.1,1.0,4.0,34.0,1.0,4.0,48.5,1.0,3.0,59.7,1.0,3.0,306.5,1.0,3.0,549.0
2.0,5.0,41.4,1.0,5.0,98.7,1.0,5.0,83.1,1.0,5.0,46.6,1.0,4.0,174.4,1.0,4.0,387.1
2.0,6.0,67.9,1.0,6.0,132.8,1.0,6.0,87.0,1.0,6.0,52.3,1.0,6.0,263.0,1.0,5.0,865.7
3.0,2.0,20.6,3.0,1.0,95.0,2.0,1.0,111.0,2.0,1.0,81.2,2.0,1.0,304.1,2.0,1.0,808.0
3.0,4.0,18.2,3.0,4.0,75.5,2.0,4.0,66.4,2.0,3.0,126.3,2.0,3.0,484.8,2.0,3.0,732.8
3.0,5.0,38.3,3.0,5.0,135.2,2.0,5.0,122.2,2.0,5.0,98.0,2.0,4.0,265.2,2.0,4.0,318.3
3.0,6.0,52.3,3.0,6.0,164.8,2.0,6.0,173.9,2.0,6.0,100.6,2.0,6.0,390.0,2.0,5.0,960.7
4.0,2.0,18.9,4.0,1.0,50.7,4.0,1.0,61.9,3.0,1.0,90.8,3.0,1.0,395.9,3.0,1.0,535.9
4.0,3.0,21.0,4.0,3.0,83.4,4.0,2.0,74.4,3.0,2.0,124.0,3.0,2.0,417.9,3.0,2.0,679.1
4.0,5.0,26.2,4.0,5.0,122.8,4.0,5.0,59.8,3.0,5.0,96.3,3.0,4.0,257.8,3.0,4.0,428.1
4.0,6.0,31.0,4.0,6.0,92.7,4.0,6.0,68.8,3.0,6.0,91.8,3.0,6.0,263.9,3.0,5.0,780.0
5.0,2.0,90.3,5.0,1.0,263.9,5.0,1.0,152.0,5.0,1.0,56.9,4.0,1.0,149.7,4.0,1.0,344.7
5.0,3.0,80.6,5.0,3.0,250.9,5.0,2.0,178.6,5.0,2.0,72.7,4.0,2.0,192.1,4.0,2.0,310.1
5.0,4.0,71.0,5.0,4.0,212.0,5.0,4.0,95.7,5.0,3.0,91.2,4.0,3.0,247.3,4.0,3.0,463.4
5.0,6.0,106.5,5.0,6.0,329.6,5.0,6.0,145.6,5.0,6.0,34.1,4.0,6.0,97.9,4.0,5.0,233.4
6.0,2.0,170.3,6.0,1.0,374.2,6.0,1.0,210.3,6.0,1.0,83.8,6.0,1.0,291.2,5.0,1.0,664.8
6.0,3.0,154.0,6.0,3.0,483.3,6.0,2.0,324.2,6.0,2.0,100.8,6.0,2.0,363.0,5.0,2.0,706.5
6.0,4.0,106.1,6.0,4.0,236.5,6.0,4.0,159.8,6.0,3.0,122.6,6.0,3.0,409.2,5.0,3.0,783.9
6.0,5.0,198.7,6.0,5.0,543.3,6.0,5.0,234.8,6.0,5.0,58.1,6.0,4.0,159.1,5.0,4.0,234.1
