1,竹田 辰也,竹田 辰也.1,2,宮迫 暢彦,宮迫 暢彦.1,3,平瀬 城啓,平瀬 城啓.1,4,島田 賢人,島田 賢人.1,5,大塚 康雅,大塚 康雅.1,6,冨名腰　桃奈,冨名腰　桃奈.1
2.0,3.0,32.8,1.0,3.0,242.9,1.0,2.0,513.6,1.0,2.0,16.0,1.0,2.0,200.2,1.0,2.0,2220.0
2.0,4.0,7.1,1.0,4.0,76.2,1.0,4.0,289.1,1.0,3.0,49.7,1.0,3.0,413.0,1.0,3.0,2334.0
2.0,5.0,29.4,1.0,5.0,187.1,1.0,5.0,526.5,1.0,5.0,11.2,1.0,4.0,101.0,1.0,4.0,1581.0
2.0,6.0,126.3,1.0,6.0,544.4,1.0,6.0,1377.0,1.0,6.0,51.3,1.0,6.0,340.6,1.0,5.0,1963.0
3.0,2.0,68.6,3.0,1.0,658.5,2.0,1.0,969.5,2.0,1.0,47.1,2.0,1.0,383.8,2.0,1.0,3626.0
3.0,4.0,31.9,3.0,4.0,801.0,2.0,4.0,1012.0,2.0,3.0,213.3,2.0,3.0,926.6,2.0,3.0,4570.0
3.0,5.0,79.9,3.0,5.0,1048.0,2.0,5.0,1558.0,2.0,5.0,76.1,2.0,4.0,394.4,2.0,4.0,2266.0
3.0,6.0,238.1,3.0,6.0,1819.0,2.0,6.0,2375.0,2.0,6.0,204.1,2.0,6.0,838.1,2.0,5.0,5083.0
4.0,2.0,4.8,4.0,1.0,112.3,4.0,1.0,393.3,3.0,1.0,189.3,3.0,1.0,1110.0,3.0,1.0,4059.0
4.0,3.0,14.3,4.0,3.0,494.4,4.0,2.0,981.8,3.0,2.0,404.7,3.0,2.0,1658.0,3.0,2.0,4609.0
4.0,5.0,6.2,4.0,5.0,296.5,4.0,5.0,756.5,3.0,5.0,323.1,3.0,4.0,1250.0,3.0,4.0,3021.0
4.0,6.0,37.1,4.0,6.0,760.7,4.0,6.0,1599.0,3.0,6.0,625.2,3.0,6.0,2461.0,3.0,5.0,4609.0
5.0,2.0,44.3,5.0,1.0,477.1,5.0,1.0,1022.0,5.0,1.0,18.7,4.0,1.0,101.1,4.0,1.0,1648.0
5.0,3.0,85.2,5.0,3.0,961.0,5.0,2.0,1599.0,5.0,2.0,42.2,4.0,2.0,222.6,4.0,2.0,2406.0
5.0,4.0,23.5,5.0,4.0,522.0,5.0,4.0,1227.0,5.0,3.0,135.7,4.0,3.0,524.0,4.0,3.0,3751.0
5.0,6.0,129.0,5.0,6.0,1506.0,5.0,6.0,2733.0,5.0,6.0,62.9,4.0,6.0,301.8,4.0,5.0,1506.0
6.0,2.0,345.1,6.0,1.0,1837.0,6.0,1.0,2518.0,6.0,1.0,146.4,6.0,1.0,894.6,5.0,1.0,3509.0
6.0,3.0,480.9,6.0,3.0,2590.0,6.0,2.0,2988.0,6.0,2.0,288.4,6.0,2.0,1442.0,5.0,2.0,4609.0
6.0,4.0,174.2,6.0,4.0,1435.0,6.0,4.0,2044.0,6.0,3.0,583.6,6.0,3.0,2461.0,5.0,3.0,4900.0
6.0,5.0,379.5,6.0,5.0,2385.0,6.0,5.0,3578.0,6.0,5.0,174.3,6.0,4.0,790.6,5.0,4.0,1783.0
