1,細川 裕子,細川 裕子.1,2,出口　舞有子,出口　舞有子.1,3,井上 未都,井上 未都.1,4,藤原 菜希,藤原 菜希.1,5,稲生 夏季,稲生 夏季.1,6,小池 礼乃,小池 礼乃.1
2.0,3.0,9.4,1.0,3.0,25.4,1.0,2.0,108.4,1.0,2.0,39.1,1.0,2.0,332.1,1.0,2.0,361.5
2.0,4.0,6.5,1.0,4.0,18.8,1.0,4.0,101.7,1.0,3.0,77.8,1.0,3.0,583.3,1.0,3.0,816.0
2.0,5.0,17.9,1.0,5.0,38.6,1.0,5.0,176.4,1.0,5.0,53.3,1.0,4.0,327.4,1.0,4.0,360.6
2.0,6.0,33.2,1.0,6.0,76.8,1.0,6.0,301.8,1.0,6.0,71.2,1.0,6.0,641.0,1.0,5.0,925.6
3.0,2.0,18.3,3.0,1.0,87.8,2.0,1.0,146.1,2.0,1.0,68.6,2.0,1.0,488.3,2.0,1.0,514.4
3.0,4.0,18.3,3.0,4.0,135.3,2.0,4.0,206.1,2.0,3.0,211.0,2.0,3.0,1353.0,2.0,3.0,1512.0
3.0,5.0,41.6,3.0,5.0,216.4,2.0,5.0,325.1,2.0,5.0,160.8,2.0,4.0,859.3,2.0,4.0,721.9
3.0,6.0,67.0,3.0,6.0,358.0,2.0,6.0,511.4,2.0,6.0,214.4,2.0,6.0,1396.0,2.0,5.0,1812.0
4.0,2.0,8.5,4.0,1.0,51.4,4.0,1.0,153.8,3.0,1.0,161.5,3.0,1.0,867.8,3.0,1.0,1334.0
4.0,3.0,16.6,4.0,3.0,132.0,4.0,2.0,249.4,3.0,2.0,321.2,3.0,2.0,1683.0,3.0,2.0,2194.0
4.0,5.0,19.8,4.0,5.0,147.5,4.0,5.0,373.5,3.0,5.0,438.9,3.0,4.0,1916.0,3.0,4.0,1871.0
4.0,6.0,28.2,4.0,6.0,193.1,4.0,6.0,425.2,3.0,6.0,525.2,3.0,6.0,2262.0,3.0,5.0,2606.0
5.0,2.0,54.2,5.0,1.0,195.1,5.0,1.0,428.2,5.0,1.0,87.0,4.0,1.0,328.3,4.0,1.0,414.8
5.0,3.0,92.5,5.0,3.0,538.5,5.0,2.0,746.5,5.0,2.0,153.7,4.0,2.0,531.0,4.0,2.0,718.3
5.0,4.0,62.8,5.0,4.0,409.5,5.0,4.0,869.5,5.0,3.0,321.5,4.0,3.0,1146.0,4.0,3.0,1442.0
5.0,6.0,123.0,5.0,6.0,705.0,5.0,6.0,1144.0,5.0,6.0,158.2,4.0,6.0,576.0,4.0,5.0,1090.0
6.0,2.0,100.7,6.0,1.0,270.3,6.0,1.0,729.7,6.0,1.0,144.4,6.0,1.0,1093.0,5.0,1.0,1301.0
6.0,3.0,180.4,6.0,3.0,801.8,6.0,2.0,1297.0,6.0,2.0,266.3,6.0,2.0,1706.0,5.0,2.0,2167.0
6.0,4.0,94.9,6.0,4.0,433.2,6.0,4.0,1006.0,6.0,3.0,473.5,6.0,3.0,2167.0,5.0,3.0,2480.0
6.0,5.0,200.1,6.0,5.0,911.2,6.0,5.0,1700.0,6.0,5.0,251.1,6.0,4.0,1217.0,5.0,4.0,1442.0
