1,吉村 正明,吉村 正明.1,2,新井 英孝,新井 英孝.1,3,山田 哲也,山田 哲也.1,4,岡村 慶太,岡村 慶太.1,5,山一 鉄也,山一 鉄也.1,6,井上 恵一,井上 恵一.1
2.0,3.0,28.2,1.0,3.0,104.5,1.0,2.0,64.8,1.0,2.0,60.4,1.0,2.0,226.4,1.0,2.0,2535.0
2.0,4.0,21.4,1.0,4.0,78.7,1.0,4.0,21.4,1.0,3.0,26.2,1.0,3.0,148.5,1.0,3.0,2885.0
2.0,5.0,44.5,1.0,5.0,171.2,1.0,5.0,31.7,1.0,5.0,23.0,1.0,4.0,108.3,1.0,4.0,2296.0
2.0,6.0,283.9,1.0,6.0,611.7,1.0,6.0,179.2,1.0,6.0,80.6,1.0,6.0,329.5,1.0,5.0,2049.0
3.0,2.0,21.0,3.0,1.0,227.0,2.0,1.0,173.5,2.0,1.0,156.7,2.0,1.0,493.9,2.0,1.0,4343.0
3.0,4.0,7.5,3.0,4.0,222.2,2.0,4.0,136.2,2.0,3.0,215.0,2.0,3.0,783.2,2.0,3.0,4569.0
3.0,5.0,16.6,3.0,5.0,498.4,2.0,5.0,273.6,2.0,5.0,185.7,2.0,4.0,522.1,2.0,4.0,3595.0
3.0,6.0,123.6,3.0,6.0,1419.0,2.0,6.0,781.8,2.0,6.0,378.1,2.0,6.0,1077.0,2.0,5.0,4617.0
4.0,2.0,17.6,4.0,1.0,193.4,4.0,1.0,32.7,3.0,1.0,46.1,3.0,1.0,245.4,3.0,1.0,3509.0
4.0,3.0,9.9,4.0,3.0,261.2,4.0,2.0,90.7,3.0,2.0,133.6,3.0,2.0,683.2,3.0,2.0,3686.0
4.0,5.0,13.2,4.0,5.0,360.7,4.0,5.0,38.8,3.0,5.0,48.4,3.0,4.0,246.9,3.0,4.0,2423.0
4.0,6.0,87.9,4.0,6.0,1121.0,4.0,6.0,161.8,3.0,6.0,156.8,3.0,6.0,687.5,3.0,5.0,2811.0
5.0,2.0,58.7,5.0,1.0,568.9,5.0,1.0,104.4,5.0,1.0,27.2,4.0,1.0,100.0,4.0,1.0,2237.0
5.0,3.0,45.3,5.0,3.0,853.3,5.0,2.0,263.1,5.0,2.0,73.1,4.0,2.0,236.2,4.0,2.0,3155.0
5.0,4.0,32.2,5.0,4.0,595.9,5.0,4.0,91.4,5.0,3.0,44.3,4.0,3.0,151.3,4.0,3.0,2423.0
5.0,6.0,203.6,5.0,6.0,1890.0,5.0,6.0,322.5,5.0,6.0,53.0,4.0,6.0,190.3,4.0,5.0,1267.0
6.0,2.0,664.6,6.0,1.0,2182.0,6.0,1.0,764.1,6.0,1.0,307.1,6.0,1.0,822.9,5.0,1.0,3004.0
6.0,3.0,571.8,6.0,3.0,2506.0,6.0,2.0,1301.0,6.0,2.0,542.8,6.0,2.0,1246.0,5.0,2.0,4024.0
6.0,4.0,537.5,6.0,4.0,2160.0,6.0,4.0,738.4,6.0,3.0,421.3,6.0,3.0,1099.0,5.0,3.0,3201.0
6.0,5.0,570.4,6.0,5.0,2410.0,6.0,5.0,856.7,6.0,5.0,233.6,6.0,4.0,568.1,5.0,4.0,1286.0
