1,三好 勇人,三好 勇人.1,2,藤丸 光一,藤丸 光一.1,3,土井 歩夢,土井 歩夢.1,4,山口 達也,山口 達也.1,5,寺嶋 雄,寺嶋 雄.1,6,室田 泰史,室田 泰史.1
2.0,3.0,21.5,1.0,3.0,109.1,1.0,2.0,82.9,1.0,2.0,22.7,1.0,2.0,386.3,1.0,2.0,712.6
2.0,4.0,9.2,1.0,4.0,53.4,1.0,4.0,46.0,1.0,3.0,41.3,1.0,3.0,522.5,1.0,3.0,1159.0
2.0,5.0,42.0,1.0,5.0,173.8,1.0,5.0,126.1,1.0,5.0,36.2,1.0,4.0,280.9,1.0,4.0,420.4
2.0,6.0,46.1,1.0,6.0,177.2,1.0,6.0,135.5,1.0,6.0,28.2,1.0,6.0,405.7,1.0,5.0,1132.0
3.0,2.0,23.9,3.0,1.0,211.6,2.0,1.0,159.4,2.0,1.0,55.4,2.0,1.0,571.5,2.0,1.0,1069.0
3.0,4.0,14.8,3.0,4.0,181.1,2.0,4.0,142.3,2.0,3.0,151.9,2.0,3.0,1085.0,2.0,3.0,1627.0
3.0,5.0,52.2,3.0,5.0,448.0,2.0,5.0,328.4,2.0,5.0,116.6,2.0,4.0,635.5,2.0,4.0,843.8
3.0,6.0,61.8,3.0,6.0,495.0,2.0,6.0,318.1,2.0,6.0,96.3,2.0,6.0,839.5,2.0,5.0,1227.0
4.0,2.0,7.6,4.0,1.0,80.5,4.0,1.0,49.9,3.0,1.0,73.6,3.0,1.0,794.1,3.0,1.0,1681.0
4.0,3.0,12.1,4.0,3.0,171.5,4.0,2.0,92.3,3.0,2.0,137.4,3.0,2.0,1071.0,3.0,2.0,1936.0
4.0,5.0,22.6,4.0,5.0,201.1,4.0,5.0,82.2,3.0,5.0,115.3,3.0,4.0,791.6,3.0,4.0,1346.0
4.0,6.0,17.9,4.0,6.0,170.4,4.0,6.0,76.4,3.0,6.0,106.6,3.0,6.0,1049.0,3.0,5.0,2302.0
5.0,2.0,84.9,5.0,1.0,402.8,5.0,1.0,267.8,5.0,1.0,58.8,4.0,1.0,276.9,4.0,1.0,434.7
5.0,3.0,113.2,5.0,3.0,608.4,5.0,2.0,402.8,5.0,2.0,95.1,4.0,2.0,435.8,4.0,2.0,682.4
5.0,4.0,70.3,5.0,4.0,430.2,5.0,4.0,253.9,5.0,3.0,180.5,4.0,3.0,625.1,4.0,3.0,1151.0
5.0,6.0,143.2,5.0,6.0,643.7,5.0,6.0,377.2,5.0,6.0,67.6,4.0,6.0,325.6,4.0,5.0,828.4
6.0,2.0,131.2,6.0,1.0,518.1,6.0,1.0,370.8,6.0,1.0,67.1,6.0,1.0,692.8,5.0,1.0,1464.0
6.0,3.0,184.3,6.0,3.0,862.7,6.0,2.0,550.1,6.0,2.0,97.3,6.0,2.0,900.0,5.0,2.0,1921.0
6.0,4.0,78.3,6.0,4.0,403.1,6.0,4.0,276.2,6.0,3.0,194.5,6.0,3.0,1127.0,5.0,3.0,2436.0
6.0,5.0,222.7,6.0,5.0,849.5,6.0,5.0,550.7,6.0,5.0,91.2,6.0,4.0,560.6,5.0,4.0,1058.0
