1,関 裕也,関 裕也.1,2,上野 秀和,上野 秀和.1,3,富永 修一,富永 修一.1,4,岡村 将也,岡村 将也.1,5,桑原 啓,桑原 啓.1,6,谷村 啓司,谷村 啓司.1
2.0,3.0,11.8,1.0,3.0,58.8,1.0,2.0,41.5,1.0,2.0,93.0,1.0,2.0,154.8,1.0,2.0,941.8
2.0,4.0,17.2,1.0,4.0,74.0,1.0,4.0,18.3,1.0,3.0,57.6,1.0,3.0,97.6,1.0,3.0,548.0
2.0,5.0,34.1,1.0,5.0,142.6,1.0,5.0,29.6,1.0,5.0,81.4,1.0,4.0,175.4,1.0,4.0,881.0
2.0,6.0,136.6,1.0,6.0,380.2,1.0,6.0,97.3,1.0,6.0,166.2,1.0,6.0,197.6,1.0,5.0,611.4
3.0,2.0,11.0,3.0,1.0,124.5,2.0,1.0,103.0,2.0,1.0,172.1,2.0,1.0,360.9,2.0,1.0,741.5
3.0,4.0,6.9,3.0,4.0,181.4,2.0,4.0,123.1,2.0,3.0,224.4,2.0,3.0,381.1,2.0,3.0,1862.0
3.0,5.0,15.2,3.0,5.0,272.2,2.0,5.0,169.4,2.0,5.0,335.1,2.0,4.0,609.2,2.0,4.0,2023.0
3.0,6.0,77.4,3.0,6.0,620.7,2.0,6.0,359.3,2.0,6.0,395.8,2.0,6.0,799.4,2.0,5.0,2308.0
4.0,2.0,19.8,4.0,1.0,173.7,4.0,1.0,32.9,3.0,1.0,63.6,3.0,1.0,163.3,3.0,1.0,975.4
4.0,3.0,12.2,4.0,3.0,274.5,4.0,2.0,77.7,3.0,2.0,148.9,3.0,2.0,409.6,3.0,2.0,1531.0
4.0,5.0,35.7,4.0,5.0,438.1,4.0,5.0,40.8,3.0,5.0,82.9,3.0,4.0,258.0,3.0,4.0,867.0
4.0,6.0,105.7,4.0,6.0,787.8,4.0,6.0,96.5,3.0,6.0,171.0,3.0,6.0,318.2,3.0,5.0,694.3
5.0,2.0,53.8,5.0,1.0,420.2,5.0,1.0,77.1,5.0,1.0,136.3,4.0,1.0,337.1,4.0,1.0,975.4
5.0,3.0,39.1,5.0,3.0,593.7,5.0,2.0,192.3,5.0,2.0,276.3,4.0,2.0,606.9,4.0,2.0,2409.0
5.0,4.0,43.4,5.0,4.0,674.3,5.0,4.0,97.0,5.0,3.0,162.7,4.0,3.0,286.0,4.0,3.0,697.3
5.0,6.0,117.3,5.0,6.0,941.8,5.0,6.0,156.5,5.0,6.0,199.8,4.0,6.0,348.6,4.0,5.0,623.1
6.0,2.0,302.9,6.0,1.0,1241.0,6.0,1.0,384.6,6.0,1.0,414.8,6.0,1.0,422.3,5.0,1.0,900.4
6.0,3.0,275.4,6.0,3.0,1575.0,6.0,2.0,461.6,6.0,2.0,807.2,6.0,2.0,734.8,5.0,2.0,1531.0
6.0,4.0,294.2,6.0,4.0,1546.0,6.0,4.0,299.5,6.0,3.0,496.6,6.0,3.0,355.4,5.0,3.0,637.6
6.0,5.0,262.6,6.0,5.0,1476.0,6.0,5.0,244.9,6.0,5.0,325.8,6.0,4.0,395.8,5.0,4.0,734.8
