1,春園 功太,春園 功太.1,2,岡村 仁,岡村 仁.1,3,平本 真之,平本 真之.1,4,太田 和美,太田 和美.1,5,古澤 光紀,古澤 光紀.1,6,市橋 卓士,市橋 卓士.1
2.0,3.0,9.7,1.0,3.0,24.1,1.0,2.0,48.3,1.0,2.0,60.1,1.0,2.0,307.1,1.0,2.0,790.9
2.0,4.0,9.4,1.0,4.0,22.7,1.0,4.0,37.2,1.0,3.0,85.0,1.0,3.0,372.1,1.0,3.0,1053.0
2.0,5.0,25.0,1.0,5.0,47.8,1.0,5.0,68.7,1.0,5.0,99.4,1.0,4.0,355.3,1.0,4.0,925.2
2.0,6.0,35.3,1.0,6.0,63.1,1.0,6.0,80.3,1.0,6.0,101.7,1.0,6.0,468.5,1.0,5.0,1671.0
3.0,2.0,13.2,3.0,1.0,59.1,2.0,1.0,76.4,2.0,1.0,89.7,2.0,1.0,514.4,2.0,1.0,982.9
3.0,4.0,13.7,3.0,4.0,72.0,2.0,4.0,77.5,2.0,3.0,140.0,2.0,3.0,540.2,2.0,3.0,898.9
3.0,5.0,32.0,3.0,5.0,116.0,2.0,5.0,114.7,2.0,5.0,153.4,2.0,4.0,497.5,2.0,4.0,1009.0
3.0,6.0,42.7,3.0,6.0,105.4,2.0,6.0,104.5,2.0,6.0,151.5,2.0,6.0,547.5,2.0,5.0,1294.0
4.0,2.0,16.9,4.0,1.0,57.4,4.0,1.0,74.3,3.0,1.0,138.3,3.0,1.0,557.2,3.0,1.0,1286.0
4.0,3.0,24.4,4.0,3.0,87.0,4.0,2.0,89.4,3.0,2.0,186.3,3.0,2.0,621.6,3.0,2.0,1055.0
4.0,5.0,37.5,4.0,5.0,122.1,4.0,5.0,120.2,3.0,5.0,273.7,3.0,4.0,716.5,3.0,4.0,1161.0
4.0,6.0,46.6,4.0,6.0,126.7,4.0,6.0,116.4,3.0,6.0,238.4,3.0,6.0,660.7,3.0,5.0,1527.0
5.0,2.0,61.6,5.0,1.0,190.7,5.0,1.0,205.6,5.0,1.0,127.1,4.0,1.0,372.4,4.0,1.0,1026.0
5.0,3.0,79.3,5.0,3.0,227.0,5.0,2.0,212.3,5.0,2.0,123.5,4.0,2.0,388.5,4.0,2.0,1024.0
5.0,4.0,88.4,5.0,4.0,258.1,5.0,4.0,239.7,5.0,3.0,253.3,4.0,3.0,713.0,4.0,3.0,1271.0
5.0,6.0,157.0,5.0,6.0,305.4,5.0,6.0,241.7,5.0,6.0,133.3,4.0,6.0,478.1,4.0,5.0,1447.0
6.0,2.0,136.4,6.0,1.0,307.1,6.0,1.0,348.6,6.0,1.0,182.2,6.0,1.0,931.1,5.0,1.0,2195.0
6.0,3.0,170.2,6.0,3.0,300.4,6.0,2.0,290.5,6.0,2.0,175.7,6.0,2.0,824.9,5.0,2.0,1491.0
6.0,4.0,168.5,6.0,4.0,336.4,6.0,4.0,313.6,6.0,3.0,323.1,6.0,3.0,862.0,5.0,3.0,1846.0
6.0,5.0,261.4,6.0,5.0,452.6,6.0,5.0,375.3,6.0,5.0,196.5,6.0,4.0,904.4,5.0,4.0,1758.0
