1,中越 博紀,中越 博紀.1,2,佐竹 太一,佐竹 太一.1,3,重成 一人,重成 一人.1,4,中野 和裕,中野 和裕.1,5,三原 司,三原 司.1,6,表 憲一,表 憲一.1
2.0,3.0,5.9,1.0,3.0,23.4,1.0,2.0,16.3,1.0,2.0,670.1,1.0,2.0,201.2,1.0,2.0,476.5
2.0,4.0,33.1,1.0,4.0,122.9,1.0,4.0,48.9,1.0,3.0,551.5,1.0,3.0,170.5,1.0,3.0,528.3
2.0,5.0,19.3,1.0,5.0,49.7,1.0,5.0,21.1,1.0,5.0,647.5,1.0,4.0,628.5,1.0,4.0,2071.0
2.0,6.0,32.7,1.0,6.0,90.4,1.0,6.0,31.2,1.0,6.0,742.4,1.0,6.0,377.7,1.0,5.0,1703.0
3.0,2.0,5.9,3.0,1.0,38.1,2.0,1.0,38.2,2.0,1.0,1142.0,2.0,1.0,286.1,2.0,1.0,589.8
3.0,4.0,19.1,3.0,4.0,189.3,2.0,4.0,161.5,2.0,3.0,946.8,2.0,3.0,242.2,2.0,3.0,867.9
3.0,5.0,10.2,3.0,5.0,64.6,2.0,5.0,63.3,2.0,5.0,1525.0,2.0,4.0,895.6,2.0,4.0,2496.0
3.0,6.0,14.3,3.0,6.0,129.0,2.0,6.0,100.9,2.0,6.0,1642.0,2.0,6.0,594.6,2.0,5.0,2196.0
4.0,2.0,109.7,4.0,1.0,472.2,4.0,1.0,200.3,3.0,1.0,802.9,3.0,1.0,203.4,3.0,1.0,532.9
4.0,3.0,81.5,4.0,3.0,428.3,4.0,2.0,276.5,3.0,2.0,902.3,3.0,2.0,271.0,3.0,2.0,867.9
4.0,5.0,140.6,4.0,5.0,522.2,4.0,5.0,245.3,3.0,5.0,1062.0,3.0,4.0,857.7,3.0,4.0,2157.0
4.0,6.0,175.7,4.0,6.0,745.4,4.0,6.0,321.1,3.0,6.0,1078.0,3.0,6.0,387.4,3.0,5.0,1375.0
5.0,2.0,47.7,5.0,1.0,128.1,5.0,1.0,68.9,5.0,1.0,810.1,4.0,1.0,886.9,4.0,1.0,2307.0
5.0,3.0,36.6,5.0,3.0,112.0,5.0,2.0,93.2,5.0,2.0,1375.0,4.0,2.0,1311.0,4.0,2.0,3314.0
5.0,4.0,141.0,5.0,4.0,466.1,5.0,4.0,250.2,5.0,3.0,974.7,4.0,3.0,1199.0,4.0,3.0,2531.0
5.0,6.0,112.4,5.0,6.0,318.9,5.0,6.0,142.0,5.0,6.0,904.5,4.0,6.0,1261.0,4.0,5.0,2222.0
6.0,2.0,125.7,6.0,1.0,355.6,6.0,1.0,158.7,6.0,1.0,1679.0,6.0,1.0,884.8,5.0,1.0,1850.0
6.0,3.0,99.1,6.0,3.0,394.1,6.0,2.0,219.0,6.0,2.0,2531.0,6.0,2.0,1041.0,5.0,2.0,2157.0
6.0,4.0,304.0,6.0,4.0,1345.0,6.0,4.0,456.8,6.0,3.0,2014.0,6.0,3.0,838.0,5.0,3.0,1292.0
6.0,5.0,236.5,6.0,5.0,633.9,6.0,5.0,279.1,6.0,5.0,1642.0,6.0,4.0,1672.0,5.0,4.0,2720.0
