1,金田 諭,金田 諭.1,2,佐藤 旭,佐藤 旭.1,3,白井 友晴,白井 友晴.1,4,橋口 真樹,橋口 真樹.1,5,伊藤 玲奈,伊藤 玲奈.1,6,三嶌　こころ,三嶌　こころ.1
2.0,3.0,3.7,1.0,3.0,26.8,1.0,2.0,70.6,1.0,2.0,100.6,1.0,2.0,184.8,1.0,2.0,951.1
2.0,4.0,5.8,1.0,4.0,34.8,1.0,4.0,130.8,1.0,3.0,146.9,1.0,3.0,320.2,1.0,3.0,1775.0
2.0,5.0,12.1,1.0,5.0,54.6,1.0,5.0,179.0,1.0,5.0,133.7,1.0,4.0,314.7,1.0,4.0,2344.0
2.0,6.0,67.1,1.0,6.0,186.2,1.0,6.0,451.1,1.0,6.0,339.1,1.0,6.0,410.9,1.0,5.0,2344.0
3.0,2.0,6.9,3.0,1.0,87.5,2.0,1.0,123.7,2.0,1.0,199.2,2.0,1.0,375.0,2.0,1.0,1175.0
3.0,4.0,12.5,3.0,4.0,260.3,2.0,4.0,361.7,2.0,3.0,446.0,2.0,3.0,798.6,2.0,3.0,3131.0
3.0,5.0,21.7,3.0,5.0,327.4,2.0,5.0,443.7,2.0,5.0,370.9,2.0,4.0,743.1,2.0,4.0,3372.0
3.0,6.0,88.8,3.0,6.0,868.2,2.0,6.0,1217.0,2.0,6.0,963.6,2.0,6.0,1466.0,2.0,5.0,3747.0
4.0,2.0,16.3,4.0,1.0,155.9,4.0,1.0,300.7,3.0,1.0,361.7,3.0,1.0,740.6,3.0,1.0,2505.0
4.0,3.0,23.0,4.0,3.0,349.6,4.0,2.0,467.4,3.0,2.0,700.4,3.0,2.0,1088.0,3.0,2.0,3914.0
4.0,5.0,39.6,4.0,5.0,400.0,4.0,5.0,794.3,3.0,5.0,844.8,3.0,4.0,1673.0,3.0,4.0,3321.0
4.0,6.0,109.3,4.0,6.0,976.5,4.0,6.0,1249.0,3.0,6.0,1451.0,3.0,6.0,2422.0,3.0,5.0,4520.0
5.0,2.0,35.1,5.0,1.0,252.4,5.0,1.0,542.6,5.0,1.0,204.6,4.0,1.0,498.2,4.0,1.0,2723.0
5.0,3.0,47.3,5.0,3.0,506.9,5.0,2.0,736.9,5.0,2.0,338.3,4.0,2.0,695.9,4.0,2.0,3087.0
5.0,4.0,67.0,5.0,4.0,544.6,5.0,4.0,1056.0,5.0,3.0,583.8,4.0,3.0,1274.0,4.0,3.0,3846.0
5.0,6.0,155.3,5.0,6.0,1308.0,5.0,6.0,1775.0,5.0,6.0,586.9,4.0,6.0,1090.0,4.0,5.0,3425.0
6.0,2.0,185.0,6.0,1.0,885.8,6.0,1.0,1811.0,6.0,1.0,878.7,6.0,1.0,871.7,5.0,1.0,3224.0
6.0,3.0,250.2,6.0,3.0,1768.0,6.0,2.0,2181.0,6.0,2.0,1026.0,6.0,2.0,1923.0,5.0,2.0,3715.0
6.0,4.0,263.6,6.0,4.0,1850.0,6.0,4.0,2564.0,6.0,3.0,1191.0,6.0,3.0,1138.0,5.0,3.0,4257.0
6.0,5.0,286.9,6.0,5.0,1923.0,6.0,5.0,2775.0,6.0,5.0,1181.0,6.0,4.0,1966.0,5.0,4.0,3536.0
