1,吉永 則雄,吉永 則雄.1,2,和田 操拓,和田 操拓.1,3,占部 一真,占部 一真.1,4,小川　竜太朗,小川　竜太朗.1,5,塩崎 優司,塩崎 優司.1,6,中村 真,中村 真.1
2.0,3.0,5.9,1.0,3.0,64.2,1.0,2.0,83.3,1.0,2.0,142.2,1.0,2.0,438.6,1.0,2.0,258.0
2.0,4.0,7.4,1.0,4.0,84.2,1.0,4.0,92.6,1.0,3.0,204.2,1.0,3.0,633.1,1.0,3.0,462.4
2.0,5.0,13.9,1.0,5.0,112.9,1.0,5.0,131.7,1.0,5.0,165.6,1.0,4.0,615.5,1.0,4.0,602.6
2.0,6.0,9.4,1.0,6.0,71.1,1.0,6.0,114.6,1.0,6.0,142.3,1.0,6.0,538.4,1.0,5.0,818.2
3.0,2.0,10.8,3.0,1.0,200.8,2.0,1.0,174.2,2.0,1.0,254.5,2.0,1.0,812.4,2.0,1.0,412.3
3.0,4.0,15.6,3.0,4.0,528.5,2.0,4.0,433.6,2.0,3.0,631.3,2.0,3.0,1529.0,2.0,3.0,1272.0
3.0,5.0,24.6,3.0,5.0,568.7,2.0,5.0,507.1,2.0,5.0,549.6,2.0,4.0,1737.0,2.0,4.0,1430.0
3.0,6.0,19.9,3.0,6.0,440.0,2.0,6.0,394.1,2.0,6.0,440.8,2.0,6.0,1325.0,2.0,5.0,1922.0
4.0,2.0,15.3,4.0,1.0,302.4,4.0,1.0,169.5,3.0,1.0,314.9,3.0,1.0,944.0,3.0,1.0,759.5
4.0,3.0,24.1,4.0,3.0,755.4,4.0,2.0,356.2,3.0,2.0,659.8,3.0,2.0,1840.0,3.0,2.0,1699.0
4.0,5.0,33.9,4.0,5.0,990.1,4.0,5.0,348.0,3.0,5.0,587.6,3.0,4.0,1895.0,3.0,4.0,1678.0
4.0,6.0,25.4,4.0,6.0,615.5,4.0,6.0,264.1,3.0,6.0,460.3,3.0,6.0,1424.0,3.0,5.0,2024.0
5.0,2.0,37.3,5.0,1.0,482.2,5.0,1.0,369.1,5.0,1.0,261.6,4.0,1.0,758.7,4.0,1.0,884.5
5.0,3.0,59.7,5.0,3.0,1001.0,5.0,2.0,684.7,5.0,2.0,450.0,4.0,2.0,1328.0,4.0,2.0,1413.0
5.0,4.0,66.2,5.0,4.0,1390.0,5.0,4.0,658.5,5.0,3.0,745.5,4.0,3.0,1695.0,4.0,3.0,1585.0
5.0,6.0,54.4,5.0,6.0,896.0,5.0,6.0,520.1,5.0,6.0,316.8,4.0,6.0,936.3,4.0,5.0,1830.0
6.0,2.0,28.3,6.0,1.0,271.9,6.0,1.0,328.4,6.0,1.0,258.1,6.0,1.0,1047.0,5.0,1.0,1436.0
6.0,3.0,50.8,6.0,3.0,643.1,6.0,2.0,589.7,6.0,2.0,446.2,6.0,2.0,1678.0,5.0,2.0,2389.0
6.0,4.0,58.1,6.0,4.0,841.3,6.0,4.0,563.1,6.0,3.0,617.7,6.0,3.0,1646.0,5.0,3.0,2301.0
6.0,5.0,72.6,6.0,5.0,924.9,6.0,5.0,680.0,6.0,5.0,440.0,6.0,4.0,1454.0,5.0,4.0,2091.0
