1,嘉手苅　徹哉,嘉手苅　徹哉.1,2,小川　日紀太,小川　日紀太.1,3,國弘 翔平,國弘 翔平.1,4,宮地 秀祈,宮地 秀祈.1,5,山下 心一,山下 心一.1,6,渡辺 空依,渡辺 空依.1
2.0,3.0,12.8,1.0,3.0,37.7,1.0,2.0,55.1,1.0,2.0,120.9,1.0,2.0,306.7,1.0,2.0,239.9
2.0,4.0,20.9,1.0,4.0,43.1,1.0,4.0,57.7,1.0,3.0,108.2,1.0,3.0,332.8,1.0,3.0,266.4
2.0,5.0,65.9,1.0,5.0,114.8,1.0,5.0,124.1,1.0,5.0,276.7,1.0,4.0,372.1,1.0,4.0,282.9
2.0,6.0,31.6,1.0,6.0,57.3,1.0,6.0,81.2,1.0,6.0,158.8,1.0,6.0,426.2,1.0,5.0,439.9
3.0,2.0,19.0,3.0,1.0,44.8,2.0,1.0,50.2,2.0,1.0,129.7,2.0,1.0,340.4,2.0,1.0,217.9
3.0,4.0,27.6,3.0,4.0,18.9,2.0,4.0,24.6,2.0,3.0,58.8,2.0,3.0,244.9,2.0,3.0,149.3
3.0,5.0,87.5,3.0,5.0,81.8,2.0,5.0,84.9,2.0,5.0,193.5,2.0,4.0,258.4,2.0,4.0,160.7
3.0,6.0,46.3,3.0,6.0,35.8,2.0,6.0,39.3,2.0,6.0,84.5,2.0,6.0,290.9,2.0,5.0,298.3
4.0,2.0,43.4,4.0,1.0,67.4,4.0,1.0,57.3,3.0,1.0,106.4,3.0,1.0,455.8,3.0,1.0,270.3
4.0,3.0,49.7,4.0,3.0,28.9,4.0,2.0,32.9,3.0,2.0,61.7,3.0,2.0,336.9,3.0,2.0,172.7
4.0,5.0,128.9,4.0,5.0,128.7,4.0,5.0,101.3,3.0,5.0,192.6,3.0,4.0,329.5,3.0,4.0,175.1
4.0,6.0,60.6,4.0,6.0,43.8,4.0,6.0,43.2,3.0,6.0,85.8,3.0,6.0,387.9,3.0,5.0,410.2
5.0,2.0,183.7,5.0,1.0,226.3,5.0,1.0,225.7,5.0,1.0,392.6,4.0,1.0,596.7,4.0,1.0,322.4
5.0,3.0,196.0,5.0,3.0,180.3,5.0,2.0,194.4,5.0,2.0,323.0,4.0,2.0,413.3,4.0,2.0,186.4
5.0,4.0,217.0,5.0,4.0,175.1,5.0,4.0,200.6,5.0,3.0,349.1,4.0,3.0,429.6,4.0,3.0,184.5
5.0,6.0,273.9,5.0,6.0,229.8,5.0,6.0,218.5,5.0,6.0,278.6,4.0,6.0,352.9,4.0,5.0,324.3
6.0,2.0,69.9,6.0,1.0,104.1,6.0,1.0,112.7,6.0,1.0,189.5,6.0,1.0,641.0,5.0,1.0,577.8
6.0,3.0,99.2,6.0,3.0,65.9,6.0,2.0,68.5,6.0,2.0,111.2,6.0,2.0,441.1,5.0,2.0,479.8
6.0,4.0,83.5,6.0,4.0,69.6,6.0,4.0,76.2,6.0,3.0,118.6,6.0,3.0,569.8,5.0,3.0,641.0
6.0,5.0,235.4,6.0,5.0,182.5,6.0,5.0,174.2,6.0,5.0,210.3,6.0,4.0,449.6,5.0,4.0,482.6
